Seed Number,Bin Number,Environment,Task,Terminated,Execution Time (s)
Unknown,Result_ACAS_5_9472,Env_430,Task_123,False,0.44
Unknown,Result_ACAS_5_9472,Env_430,Task_462,False,2.34
Unknown,Result_ACAS_5_9472,Env_430,Task_614,False,0.48
Unknown,Result_ACAS_5_9472,Env_430,Task_572,False,1.21
Unknown,Result_ACAS_5_9472,Env_430,Task_73,False,1.0
Unknown,Result_ACAS_5_9472,Env_430,Task_293,False,1.48
Unknown,Result_ACAS_5_9472,Env_430,Task_477,False,0.48
Unknown,Result_ACAS_5_9472,Env_430,Task_510,False,1.74
Unknown,Result_ACAS_5_9472,Env_430,Task_342,False,1.46
Unknown,Result_ACAS_5_9472,Env_430,Task_552,False,1.2
Unknown,Result_ACAS_5_9472,Env_430,Task_140,False,2.24
Unknown,Result_ACAS_5_9472,Env_430,Task_577,False,0.48
Unknown,Result_ACAS_5_9472,Env_430,Task_63,False,0.47
Unknown,Result_ACAS_5_9472,Env_430,Task_80,False,0.84
Unknown,Result_ACAS_5_9472,Env_430,Task_277,False,0.17
Unknown,Result_ACAS_5_9472,Env_430,Task_428,False,1.42
Unknown,Result_ACAS_5_9472,Env_430,Task_401,False,1.28
Unknown,Result_ACAS_5_9472,Env_430,Task_596,False,1.85
Unknown,Result_ACAS_5_9472,Env_430,Task_374,False,0.66
Unknown,Result_ACAS_5_9472,Env_430,Task_336,False,0.12
Unknown,Result_ACAS_5_9472,Env_430,Task_9,False,0.93
Unknown,Result_ACAS_5_9472,Env_430,Task_330,False,1.53
Unknown,Result_ACAS_5_9472,Env_430,Task_375,False,1.51
Unknown,Result_ACAS_5_9472,Env_430,Task_132,False,0.6
Unknown,Result_ACAS_5_9472,Env_430,Task_271,False,1.45
Unknown,Result_ACAS_5_9472,Env_430,Task_165,False,0.87
Unknown,Result_ACAS_5_9472,Env_430,Task_142,False,0.36
Unknown,Result_ACAS_5_9472,Env_430,Task_195,False,1.01
Unknown,Result_ACAS_5_9472,Env_430,Task_286,False,0.72
Unknown,Result_ACAS_5_9472,Env_430,Task_318,False,0.46
Unknown,Result_ACAS_5_9472,Env_430,Task_19,False,0.82
Unknown,Result_ACAS_5_9472,Env_430,Task_190,False,0.63
Unknown,Result_ACAS_5_9472,Env_430,Task_306,False,1.2
Unknown,Result_ACAS_5_9472,Env_430,Task_7,False,1.0
Unknown,Result_ACAS_5_9472,Env_430,Task_436,False,1.28
Unknown,Result_ACAS_5_9472,Env_430,Task_495,False,1.71
Unknown,Result_ACAS_5_9472,Env_430,Task_193,False,0.99
Unknown,Result_ACAS_5_9472,Env_430,Task_502,False,1.05
Unknown,Result_ACAS_5_9472,Env_430,Task_536,False,0.33
Unknown,Result_ACAS_5_9472,Env_430,Task_372,False,0.55
Unknown,Result_ACAS_5_9472,Env_430,Task_112,False,1.45
Unknown,Result_ACAS_5_9472,Env_430,Task_334,False,0.82
Unknown,Result_ACAS_5_9472,Env_430,Task_455,False,0.22
