Agent_1_X,Agent_1_Y,Agent_2_X,Agent_2_Y,Agent_3_X,Agent_3_Y
0.81870771,0.14998871,-0.58132855,0.11660513,0.42830074,-0.1393655
-0.63015272,0.64778285,-0.62087072,0.86916094,0.66519437,-0.86125995
0.45634296,0.74439155,0.00673309,-0.67027553,-0.42374999,0.45864942
-0.32076989,-0.92863645,-0.40236837,-0.35075653,-0.61616371,-0.23408087
0.57966565,-0.22085359,0.23925002,-0.24705299,0.00790027,-0.79236832
-0.17330712,-0.24155551,-0.16362422,-0.72465232,0.04642705,-0.2089955
-0.92822831,-0.33174353,-0.70710226,0.22636379,0.61878544,0.1834692
-0.12786123,0.82595434,0.7370503,-0.14601051,-0.1211403,-0.88446938
0.60343721,-0.46134645,0.71641174,0.27774938,0.17433348,0.94571116
0.76952345,-0.30325812,0.87682754,-0.34688539,-0.89262866,-0.82336187
-0.1186779,-0.08349749,0.29033679,0.63697716,-0.29617183,-0.62377884
-0.37136219,-0.3814421,-0.64516962,0.21114339,-0.71926699,-0.95502426
-0.47647323,-0.25288873,-0.55383733,0.92491857,0.98350877,0.62546831
-0.80859554,0.72806066,-0.79620442,-0.5185246,0.74180367,0.7691092
-0.39998199,0.53808078,-0.45198232,0.0523944,0.97324471,-0.51234784
-0.45536368,0.68971184,-0.11949948,0.28732828,-0.30898101,-0.98091384
0.74922929,0.93025411,-0.13504305,-0.47722543,0.1087868,-0.90389194
0.36756076,-0.21174269,0.88941415,-0.65963283,0.26445458,0.1587723
-0.69753827,-0.14413374,0.76283069,-0.50760249,0.84697887,-0.33835328
0.76640805,-0.26989273,0.95315354,0.01178771,0.92249661,-0.10286804
0.65970205,-0.96801803,0.11401949,0.61006328,-0.8642012,-0.1091483
0.74048639,0.29504931,0.68626905,-0.78371572,0.29159971,-0.48971096
-0.69751063,0.99220464,0.36554101,-0.81977389,0.80827531,0.87065954
0.61268301,0.66167963,-0.32565867,-0.59626987,0.01598572,0.89836787
0.24593808,0.17222406,-0.06914856,-0.31579646,-0.27840947,0.59305831
-0.48942958,0.00693756,-0.57710971,-0.39745865,-0.91536677,-0.45512319
0.90307502,0.15978481,0.84299145,0.48611527,0.0825447,-0.2563774
-0.92453136,-0.52189718,0.06508328,0.78447667,0.10806639,-0.97503022
0.55887297,0.38768541,0.28251722,-0.48393458,0.44552592,0.91191764
-0.54944078,0.48164452,-0.93790786,0.14576872,0.99555112,0.20564412
