Environment,Task,Seed,Bin,Test Cases,Collisions
Env_3,Task_6692,Unknown,5,43001,8
Env_3,Task_12607,Unknown,5,43001,0
Env_3,Task_12704,Unknown,5,43001,0
Env_3,Task_6222,Unknown,5,43001,72
Env_3,Task_6923,Unknown,5,43001,0
Env_3,Task_2976,Unknown,5,43001,0
Env_3,Task_4640,Unknown,5,43001,0
Env_3,Task_14352,Unknown,5,43001,0
Env_3,Task_7593,Unknown,5,43001,0
Env_3,Task_13954,Unknown,5,43001,8
Env_3,Task_10412,Unknown,5,43001,0
Env_3,Task_7131,Unknown,5,43001,0
Env_3,Task_10649,Unknown,5,43001,0
Env_3,Task_13063,Unknown,5,43001,0
Env_3,Task_12708,Unknown,5,43001,0
Env_3,Task_6188,Unknown,5,43001,0
Env_3,Task_123,Unknown,5,43001,0
Env_3,Task_11437,Unknown,5,43001,0
Env_3,Task_10772,Unknown,5,43001,0
Env_3,Task_4992,Unknown,5,43001,4
Env_3,Task_4691,Unknown,5,43001,0
Env_3,Task_15185,Unknown,5,43001,0
Env_3,Task_14208,Unknown,5,43001,0
Env_3,Task_1452,Unknown,5,43001,0
Env_3,Task_1126,Unknown,5,43001,0
Env_3,Task_8992,Unknown,5,43001,80
Env_3,Task_9403,Unknown,5,43001,34
Env_3,Task_9099,Unknown,5,43001,0
Env_3,Task_5012,Unknown,5,43001,0
Env_3,Task_11591,Unknown,5,43001,0
Env_3,Task_1183,Unknown,5,43001,0
Env_3,Task_15509,Unknown,5,43001,0
Env_3,Task_3400,Unknown,5,43001,68
Env_3,Task_8676,Unknown,5,43001,0
Env_3,Task_10323,Unknown,5,43001,80
Env_3,Task_11657,Unknown,5,43001,0
Env_3,Task_4047,Unknown,5,43001,0
Env_3,Task_5724,Unknown,5,43001,0
Env_3,Task_4835,Unknown,5,43001,0
Env_3,Task_462,Unknown,5,43001,0
Env_3,Task_6505,Unknown,5,43001,0
Env_3,Task_13386,Unknown,5,43001,204
Env_3,Task_12428,Unknown,5,43001,0
Env_3,Task_11966,Unknown,5,43001,4
Env_3,Task_15069,Unknown,5,43001,0
Env_3,Task_6896,Unknown,5,43001,0
Env_3,Task_4919,Unknown,5,43001,0
Env_3,Task_10828,Unknown,5,43001,2
Env_3,Task_12909,Unknown,5,43001,0
Env_3,Task_9851,Unknown,5,43001,0
Env_3,Task_11944,Unknown,5,43001,0
Env_3,Task_3226,Unknown,5,43001,0
Env_3,Task_15111,Unknown,5,43001,0
Env_3,Task_2185,Unknown,5,43001,0
Env_3,Task_8756,Unknown,5,43001,0
Env_3,Task_5422,Unknown,5,43001,10
Env_3,Task_5787,Unknown,5,43001,0
Env_3,Task_14191,Unknown,5,43001,0
Env_3,Task_5618,Unknown,5,43001,0
Env_3,Task_6280,Unknown,5,43001,26
Env_3,Task_5772,Unknown,5,43001,0
Env_3,Task_7681,Unknown,5,43001,62
Env_3,Task_9557,Unknown,5,43001,0
Env_3,Task_12944,Unknown,5,43001,4
Env_3,Task_12263,Unknown,5,43001,0
Env_3,Task_10864,Unknown,5,43001,0
Env_3,Task_3134,Unknown,5,43001,0
Env_3,Task_5347,Unknown,5,43001,0
Env_3,Task_5414,Unknown,5,43001,0
Env_3,Task_13745,Unknown,5,43001,0
Env_3,Task_9547,Unknown,5,43001,88
Env_3,Task_12641,Unknown,5,43001,12
Env_3,Task_3984,Unknown,5,43001,26
Env_3,Task_7212,Unknown,5,43001,0
Env_3,Task_9892,Unknown,5,43001,0
Env_3,Task_14732,Unknown,5,43001,0
Env_3,Task_12254,Unknown,5,43001,92
Env_3,Task_10181,Unknown,5,43001,20
Env_3,Task_9001,Unknown,5,43001,4
Env_3,Task_8032,Unknown,5,43001,4
Env_3,Task_7695,Unknown,5,43001,0
Env_3,Task_9627,Unknown,5,43001,0
Env_3,Task_2232,Unknown,5,43001,4
Env_3,Task_2980,Unknown,5,43001,0
Env_3,Task_13318,Unknown,5,43001,0
Env_3,Task_13884,Unknown,5,43001,0
Env_3,Task_8012,Unknown,5,43001,0
Env_3,Task_6919,Unknown,5,43001,0
Env_3,Task_8812,Unknown,5,43001,0
Env_3,Task_5097,Unknown,5,43001,0
Env_3,Task_13566,Unknown,5,43001,0
Env_3,Task_614,Unknown,5,43001,0
Env_3,Task_1616,Unknown,5,43001,0
Env_3,Task_10640,Unknown,5,43001,0
Env_3,Task_14906,Unknown,5,43001,0
Env_3,Task_7663,Unknown,5,43001,0
Env_3,Task_10510,Unknown,5,43001,0
Env_3,Task_2852,Unknown,5,43001,26
Env_3,Task_11867,Unknown,5,43001,0
Env_3,Task_2013,Unknown,5,43001,0
Env_3,Task_3579,Unknown,5,43001,0
Env_3,Task_6599,Unknown,5,43001,0
Env_3,Task_12813,Unknown,5,43001,0
Env_3,Task_5467,Unknown,5,43001,0
Env_3,Task_572,Unknown,5,43001,14
Env_3,Task_13927,Unknown,5,43001,0
Env_3,Task_14004,Unknown,5,43001,0
Env_3,Task_12875,Unknown,5,43001,0
Env_3,Task_3711,Unknown,5,43001,0
Env_3,Task_10605,Unknown,5,43001,18
Env_3,Task_73,Unknown,5,43001,0
Env_3,Task_12650,Unknown,5,43001,6
Env_3,Task_5493,Unknown,5,43001,154
Env_3,Task_11794,Unknown,5,43001,0
Env_3,Task_12494,Unknown,5,43001,8
Env_3,Task_7525,Unknown,5,43001,0
Env_3,Task_14500,Unknown,5,43001,0
Env_3,Task_8100,Unknown,5,43001,0
Env_3,Task_293,Unknown,5,43001,12
Env_3,Task_11279,Unknown,5,43001,8
Env_3,Task_10325,Unknown,5,43001,22
Env_3,Task_13504,Unknown,5,43001,0
Env_3,Task_13170,Unknown,5,43001,8
Env_3,Task_477,Unknown,5,43001,46
Env_3,Task_10587,Unknown,5,43001,0
Env_3,Task_13135,Unknown,5,43001,0
Env_3,Task_2541,Unknown,5,43001,0
Env_3,Task_13661,Unknown,5,43001,0
Env_3,Task_3003,Unknown,5,43001,4
Env_3,Task_11074,Unknown,5,43001,6
Env_3,Task_1401,Unknown,5,43001,0
Env_3,Task_9578,Unknown,5,43001,0
Env_3,Task_14517,Unknown,5,43001,0
Env_3,Task_13870,Unknown,5,43001,0
Env_3,Task_14236,Unknown,5,43001,112
Env_3,Task_798,Unknown,5,43001,0
Env_3,Task_6796,Unknown,5,43001,132
Env_3,Task_2156,Unknown,5,43001,0
Env_3,Task_5606,Unknown,5,43001,0
Env_3,Task_12918,Unknown,5,43001,0
Env_3,Task_5865,Unknown,5,43001,0
Env_3,Task_8662,Unknown,5,43001,0
Env_3,Task_3837,Unknown,5,43001,0
Env_3,Task_6087,Unknown,5,43001,28
Env_3,Task_9124,Unknown,5,43001,0
Env_3,Task_5343,Unknown,5,43001,0
Env_3,Task_2720,Unknown,5,43001,0
Env_3,Task_8637,Unknown,5,43001,12
Env_3,Task_13839,Unknown,5,43001,6
Env_3,Task_510,Unknown,5,43001,4
Env_3,Task_1899,Unknown,5,43001,0
Env_3,Task_10891,Unknown,5,43001,0
Env_3,Task_7240,Unknown,5,43001,2
Env_3,Task_5500,Unknown,5,43001,0
Env_3,Task_13627,Unknown,5,43001,0
Env_3,Task_13129,Unknown,5,43001,0
Env_3,Task_9377,Unknown,5,43001,0
Env_3,Task_14682,Unknown,5,43001,0
Env_3,Task_1728,Unknown,5,43001,6
Env_3,Task_8059,Unknown,5,43001,0
Env_3,Task_4853,Unknown,5,43001,0
Env_3,Task_3186,Unknown,5,43001,0
Env_3,Task_13741,Unknown,5,43001,0
Env_3,Task_4169,Unknown,5,43001,26
Env_3,Task_9745,Unknown,5,43001,4
Env_3,Task_4894,Unknown,5,43001,0
Env_3,Task_5491,Unknown,5,43001,0
Env_3,Task_8722,Unknown,5,43001,0
Env_3,Task_3688,Unknown,5,43001,0
