Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
7907, 10, 29, 1.0, 0, -2.0
7907, 10, 22, 1.0, 0, -2.0
7907, 10, 15, 1.0, 0, -6.0
7907, 10, 11, 1.0, 0, -15.0
7907, 10, 30, 0.0, 1, 98.0
7907, 10, 1, 1.0, 0, -1.0
7907, 10, 27, 0.0, 1, 93.0
9472, 10, 3, 0.0, 1, 92.0
9472, 10, 20, 0.0, 1, 87.0
9472, 10, 28, 0.0, 1, 89.0
7907, 10, 13, 1.0, 0, -5.0
7907, 10, 4, 1.0, 0, -3.0
9472, 10, 13, 1.0, 0, -4.0
7907, 10, 9, 1.0, 0, -2.0
9472, 10, 7, 1.0, 0, -2.0
9472, 10, 14, 1.0, 0, -8.0
7907, 10, 18, 0.0, 1, 92.0
9472, 10, 12, 1.0, 0, -5.0
9472, 10, 19, 0.0, 1, 91.0
7907, 10, 3, 0.0, 1, 95.0
7907, 10, 28, 1.0, 0, -10.0
7907, 10, 20, 0.0, 1, 89.0
9472, 10, 16, 1.0, 0, -13.0
9472, 10, 23, 1.0, 0, -1.0
9472, 10, 8, 1.0, 0, -10.0
7907, 10, 8, 1.0, 0, 84.0
9472, 10, 10, 1.0, 0, -2.0
9472, 10, 25, 1.0, 0, -1.0
7907, 10, 14, 1.0, 0, -1.0
7907, 10, 7, 0.0, 1, 90.0
9472, 10, 17, 1.0, 0, -7.0
7907, 10, 12, 1.0, 0, 97.0
7907, 10, 16, 1.0, 0, -11.0
9472, 10, 26, 1.0, 0, -8.0
9472, 10, 21, 1.0, 0, -3.0
7907, 10, 23, 1.0, 0, -2.0
9472, 10, 5, 1.0, 0, -14.0
7907, 10, 19, 0.0, 1, 93.0
9472, 10, 29, 1.0, 0, -4.0
9472, 10, 24, 1.0, 0, -7.0
9472, 10, 6, 0.0, 1, 81.0
9472, 10, 2, 1.0, 0, -1.0
7907, 10, 17, 1.0, 0, -4.0
7907, 10, 10, 1.0, 0, -8.0
7907, 10, 25, 1.0, 0, -6.0
9472, 10, 11, 0.0, 1, 84.0
9472, 10, 22, 1.0, 0, -11.0
7907, 10, 21, 1.0, 0, -6.0
7907, 10, 5, 1.0, 0, -8.0
7907, 10, 26, 1.0, 0, -1.0
9472, 10, 4, 0.0, 1, 95.0
9472, 10, 15, 0.0, 1, 89.0
9472, 10, 1, 0.0, 1, 98.0
9472, 10, 27, 1.0, 0, -4.0
9472, 10, 30, 0.0, 1, 89.0
7907, 10, 2, 1.0, 0, -2.0
7907, 10, 6, 0.0, 1, 91.0
7907, 10, 24, 1.0, 0, -3.0
9472, 10, 9, 0.0, 1, 85.0
9472, 10, 18, 0.0, 1, 84.0
8030, 10, 6, 1.0, 0, -7.0
