Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
9472, 11, 25, 1.0, 0, -7.0
9472, 11, 6, 0.0, 1, 96.0
9472, 11, 24, 0.0, 1, 90.0
9472, 11, 8, 0.0, 1, 92.0
9472, 11, 22, 0.0, 1, 86.0
9472, 11, 15, 0.0, 1, 89.0
9472, 11, 11, 0.0, 1, 93.0
9472, 11, 2, 1.0, 0, -4.0
9472, 11, 1, 0.0, 1, 94.0
9472, 11, 27, 0.0, 1, 97.0
9472, 11, 29, 0.0, 1, 84.0
9472, 11, 9, 0.0, 1, 93.0
9472, 11, 18, 0.0, 1, 89.0
9472, 11, 20, 1.0, 0, -2.0
9472, 11, 3, 0.0, 1, 90.0
9472, 11, 28, 1.0, 0, -1.0
9472, 11, 7, 0.0, 1, 98.0
9472, 11, 4, 1.0, 0, -8.0
9472, 11, 12, 1.0, 0, -8.0
9472, 11, 19, 0.0, 1, 96.0
9472, 11, 23, 0.0, 1, 94.0
7907, 11, 1, 0.0, 1, 94.0
7907, 11, 2, 1.0, 0, -2.0
7907, 11, 27, 1.0, 0, -2.0
9472, 11, 16, 1.0, 0, -5.0
9472, 11, 17, 0.0, 1, 88.0
9472, 11, 14, 1.0, 0, -4.0
9472, 11, 26, 0.0, 1, 94.0
9472, 11, 10, 0.0, 1, 85.0
9472, 11, 5, 0.0, 1, 93.0
7907, 11, 18, 1.0, 0, -6.0
7907, 11, 29, 1.0, 0, -1.0
9472, 11, 21, 0.0, 1, 93.0
7907, 11, 9, 1.0, 0, -3.0
9472, 11, 13, 1.0, 0, -1.0
7907, 11, 13, 1.0, 0, -5.0
7907, 11, 3, 1.0, 0, -3.0
7907, 11, 28, 1.0, 0, -3.0
7907, 11, 20, 1.0, 0, -1.0
7907, 11, 4, 1.0, 0, -2.0
7907, 11, 12, 1.0, 0, -6.0
7907, 11, 7, 1.0, 0, -2.0
7907, 11, 8, 1.0, 0, -1.0
7907, 11, 16, 1.0, 0, -1.0
7907, 11, 19, 1.0, 0, -6.0
7907, 11, 23, 1.0, 0, -1.0
7907, 11, 14, 1.0, 0, -1.0
7907, 11, 10, 1.0, 0, -1.0
7907, 11, 17, 1.0, 0, -4.0
7907, 11, 21, 1.0, 0, -2.0
7907, 11, 26, 1.0, 0, -1.0
7907, 11, 5, 1.0, 0, -1.0
7907, 11, 25, 1.0, 0, -3.0
7907, 11, 24, 1.0, 0, -1.0
7907, 11, 6, 1.0, 0, -3.0
7907, 11, 11, 1.0, 0, -1.0
7907, 11, 22, 1.0, 0, -5.0
7907, 11, 15, 1.0, 0, -3.0
534, 11, 8, 1.0, 0, -1.0
534, 11, 15, 1.0, 0, -1.0
534, 11, 22, 1.0, 0, -2.0
534, 11, 2, 1.0, 0, -1.0
534, 11, 11, 1.0, 0, -1.0
534, 11, 1, 1.0, 0, -1.0
