Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
9472, 14, 8, 0.0, 1, 91.0
9472, 14, 21, 1.0, 0, -200.0
9472, 14, 26, 0.0, 1, 84.0
9472, 14, 5, 0.0, 1, 86.0
9472, 14, 24, 0.0, 1, 91.0
9472, 14, 2, 0.0, 1, 91.0
9472, 14, 6, 0.0, 1, 79.0
9472, 14, 29, 1.0, 0, -200.0
9472, 14, 22, 0.0, 1, 88.0
9472, 14, 11, 0.0, 1, 85.0
9472, 14, 15, 0.0, 1, 82.0
9472, 14, 13, 1.0, 0, 81.0
9472, 14, 27, 1.0, 0, 86.0
9472, 14, 30, 0.0, 1, 77.0
9472, 14, 1, 0.0, 1, 93.0
9472, 14, 9, 1.0, 0, -200.0
9472, 14, 18, 0.0, 1, 80.0
9472, 14, 28, 0.0, 1, 80.0
9472, 14, 20, 0.0, 1, 97.0
9472, 14, 3, 0.0, 1, 95.0
9472, 14, 7, 0.0, 1, 84.0
9472, 14, 12, 0.0, 1, 87.0
7907, 14, 12, 0.0, 1, 91.0
7907, 14, 7, 0.0, 1, 89.0
7907, 14, 14, 1.0, 0, 95.0
7907, 14, 13, 1.0, 0, -200.0
9472, 14, 16, 0.0, 1, 83.0
7907, 14, 16, 0.0, 0, -90.0
7907, 14, 23, 0.0, 1, 94.0
7907, 14, 19, 0.0, 1, 79.0
9472, 14, 23, 1.0, 0, 92.0
9472, 14, 19, 0.0, 1, 88.0
9472, 14, 10, 0.0, 1, 86.0
9472, 14, 17, 0.0, 1, 77.0
9472, 14, 4, 0.0, 0, -90.0
7907, 14, 10, 1.0, 0, 78.0
7907, 14, 17, 0.0, 1, 84.0
7907, 14, 8, 0.0, 1, 91.0
7907, 14, 25, 0.0, 0, -90.0
7907, 14, 5, 0.0, 1, 92.0
7907, 14, 21, 0.0, 0, -90.0
7907, 14, 26, 0.0, 1, 91.0
9472, 14, 14, 0.0, 1, 93.0
9472, 14, 25, 0.0, 1, 73.0
8030, 14, 28, 0.0, 1, 55.0
8030, 14, 20, 0.0, 1, 93.0
8030, 14, 3, 0.0, 1, 17.0
