Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
9472, 2, 4, 1.0, 0, -2.0
7907, 2, 10, 1.0, 0, -5.0
7907, 2, 17, 1.0, 0, -3.0
7907, 2, 25, 1.0, 0, -4.0
7907, 2, 5, 1.0, 0, -2.0
7907, 2, 21, 1.0, 0, -1.0
7907, 2, 26, 1.0, 0, -6.0
7907, 2, 8, 1.0, 0, -2.0
7907, 2, 6, 1.0, 0, -2.0
7907, 2, 2, 1.0, 0, -7.0
9472, 2, 1, 1.0, 0, -1.0
7907, 2, 24, 1.0, 0, -6.0
7907, 2, 15, 1.0, 0, -1.0
7907, 2, 11, 1.0, 0, -1.0
7907, 2, 22, 1.0, 0, -5.0
7907, 2, 29, 1.0, 0, -4.0
7907, 2, 1, 1.0, 0, -1.0
7907, 2, 30, 1.0, 0, -1.0
7907, 2, 27, 1.0, 0, -1.0
7907, 2, 4, 1.0, 0, -3.0
7907, 2, 9, 0.0, 1, 95.0
7907, 2, 18, 1.0, 0, -1.0
9472, 2, 11, 1.0, 0, -1.0
7907, 2, 3, 1.0, 0, -1.0
7907, 2, 20, 1.0, 0, -3.0
9472, 2, 14, 1.0, 0, -1.0
7907, 2, 28, 1.0, 0, -4.0
7907, 2, 14, 1.0, 0, -1.0
7907, 2, 7, 1.0, 0, -3.0
7907, 2, 12, 0.0, 1, 99.0
7907, 2, 23, 0.0, 1, 94.0
7907, 2, 19, 0.0, 1, 95.0
9472, 2, 9, 1.0, 0, -1.0
7907, 2, 16, 1.0, 0, -1.0
9472, 2, 12, 1.0, 0, -1.0
9472, 2, 3, 1.0, 0, -1.0
9472, 2, 2, 1.0, 0, -1.0
9472, 2, 7, 1.0, 0, -1.0
9472, 2, 10, 1.0, 0, -1.0
9472, 2, 5, 1.0, 0, -2.0
9472, 2, 20, 1.0, 0, -2.0
9472, 2, 17, 1.0, 0, -1.0
9472, 2, 16, 1.0, 0, -1.0
9472, 2, 15, 1.0, 0, -1.0
9472, 2, 19, 1.0, 0, -1.0
9472, 2, 13, 1.0, 0, -1.0
9472, 2, 6, 0.0, 1, 100.0
9472, 2, 21, 1.0, 0, -1.0
9472, 2, 18, 1.0, 0, 100.0
9472, 2, 8, 1.0, 0, -3.0
8030, 2, 23, 0.0, 1, 97.0
8030, 2, 16, 0.0, 1, 72.0
8030, 2, 19, 0.0, 1, 45.0
8030, 2, 13, 0.0, 1, 61.0
7907, 2, 13, 0.0, 1, 94.0
8030, 2, 10, 0.0, 1, 75.0
8030, 2, 25, 0.0, 1, 61.0
8030, 2, 17, 0.0, 1, 36.0
534, 2, 4, 1.0, 0, -1.0
534, 2, 17, 1.0, 0, -1.0
534, 2, 19, 1.0, 0, -1.0
534, 2, 14, 1.0, 0, -1.0
534, 2, 10, 1.0, 0, -1.0
534, 2, 6, 1.0, 0, -1.0
534, 2, 5, 1.0, 0, -1.0
8030, 2, 21, 0.0, 1, 65.0
534, 2, 22, 1.0, 0, -1.0
534, 2, 25, 1.0, 0, -1.0
534, 2, 24, 1.0, 0, -1.0
534, 2, 1, 1.0, 0, -1.0
534, 2, 15, 1.0, 0, -1.0
534, 2, 9, 1.0, 0, -1.0
534, 2, 2, 1.0, 0, -1.0
534, 2, 16, 1.0, 0, -1.0
534, 2, 3, 1.0, 0, -1.0
534, 2, 18, 1.0, 0, -1.0
534, 2, 7, 1.0, 0, -1.0
8030, 2, 26, 0.0, 1, 63.0
534, 2, 20, 1.0, 0, -1.0
534, 2, 21, 1.0, 0, -1.0
534, 2, 13, 1.0, 0, -1.0
534, 2, 23, 1.0, 0, -1.0
8030, 2, 5, 0.0, 1, 40.0
534, 2, 12, 1.0, 0, -1.0
534, 2, 11, 1.0, 0, -1.0
534, 2, 8, 1.0, 0, -1.0
8030, 2, 8, 0.0, 1, 57.0
8030, 2, 24, 0.0, 1, 91.0
8030, 2, 2, 0.0, 1, 38.0
8030, 2, 6, 0.0, 1, 83.0
8030, 2, 11, 0.0, 1, 68.0
8030, 2, 22, 0.0, 1, 40.0
7027, 2, 20, 0.0, 1, 91.0
7027, 2, 13, 1.0, 0, -4.0
7027, 2, 3, 0.0, 1, 97.0
7027, 2, 14, 0.0, 1, 93.0
7027, 2, 7, 1.0, 0, -3.0
7027, 2, 28, 1.0, 0, -5.0
7027, 2, 19, 1.0, 0, -4.0
7027, 2, 12, 1.0, 0, 91.0
7027, 2, 8, 1.0, 0, -4.0
7027, 2, 23, 1.0, 0, -1.0
7027, 2, 25, 1.0, 0, -3.0
7027, 2, 17, 1.0, 0, -3.0
7027, 2, 26, 1.0, 0, -1.0
7027, 2, 16, 1.0, 0, -5.0
7027, 2, 10, 1.0, 0, -3.0
7027, 2, 29, 0.0, 1, 96.0
7027, 2, 5, 1.0, 0, -1.0
7027, 2, 2, 1.0, 0, -5.0
7027, 2, 6, 1.0, 0, -3.0
7027, 2, 21, 1.0, 0, -7.0
7027, 2, 4, 1.0, 0, -6.0
7027, 2, 15, 1.0, 0, -1.0
7027, 2, 30, 1.0, 0, -5.0
7027, 2, 1, 1.0, 0, -3.0
8030, 2, 29, 0.0, 1, 64.0
7027, 2, 11, 0.0, 1, 96.0
8030, 2, 15, 0.0, 1, 36.0
7027, 2, 18, 1.0, 0, -1.0
8030, 2, 27, 0.0, 1, 76.0
7027, 2, 22, 1.0, 0, -1.0
7027, 2, 24, 1.0, 0, -1.0
7027, 2, 9, 1.0, 0, -2.0
7027, 2, 27, 1.0, 0, -5.0
8030, 2, 30, 0.0, 1, 49.0
8030, 2, 1, 0.0, 1, 88.0
8030, 2, 9, 0.0, 1, 82.0
8030, 2, 18, 0.0, 1, 68.0
8030, 2, 4, 0.0, 1, 62.0
8030, 2, 7, 1.0, 0, -3.0
8030, 2, 20, 0.0, 1, 86.0
8030, 2, 28, 0.0, 1, 90.0
8030, 2, 3, 0.0, 1, 73.0
8030, 2, 12, 0.0, 1, 70.0
8030, 2, 14, 0.0, 1, 84.0
