Task_Dir,Solved,Time_Taken
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_76,True,6.0
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_43/Task_38,False,6.26
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_84/Task_55,False,6.46
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_53/Task_89,False,6.46
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_15/Task_10,False,6.59
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_33/Task_23,False,6.75
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_87/Task_70,False,6.83
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_69/Task_47,False,6.89
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/11223/Env_87/Task_58,False,6.97
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_15,True,7.42
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_100/Task_86,False,12.62
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_69/Task_41,False,13.39
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_27/Task_9,False,14.28
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_2/Task_32,False,14.55
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_54/Task_29,False,15.74
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/11223/Env_48/Task_55,False,15.77
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/11223/Env_78/Task_67,False,18.63
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_77,True,15.64
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_21/Task_61,False,23.85
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_53/Task_9,False,17.6
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_100/Task_9,False,12.94
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_2/Task_33,False,12.69
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_87/Task_76,False,24.51
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_78,True,11.49
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_2/Task_34,False,6.16
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_70/Task_1,False,13.14
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_87/Task_84,False,5.96
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_69/Task_42,False,24.77
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_70/Task_10,False,5.62
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_69/Task_47,False,5.92
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_21/Task_66,False,23.74
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_87/Task_85,False,16.53
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_79,True,26.49
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_21/Task_70,False,12.78
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_16,True,52.91
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_69/Task_50,False,16.91
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_17,True,2.95
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_87/Task_9,False,12.86
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_69/Task_51,False,5.93
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_87/Task_99,False,5.78
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_8,False,16.62
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_21/Task_8,False,16.24
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_5/Task_36,True,79.69
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_69/Task_53,False,14.89
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_21/Task_87,False,10.98
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_21/Task_89,False,5.36
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/11223/Env_5/Task_25,True,97.02
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_21/Task_9,False,15.35
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_26/Task_1,False,12.07
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_54/Task_3,True,108.27
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_26/Task_10,False,5.48
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_54/Task_38,False,10.65
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_54/Task_39,False,5.7
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_69/Task_58,True,74.08
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_33/Task_47,False,176.14
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_42/Task_34,True,177.97
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_33/Task_48,False,12.2
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_18,True,127.7
