Task_Dir,Solved,Time_Taken
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_31/Task_92,False,8.48
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_79/Task_20,False,8.5
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_9/Task_21,False,8.54
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_7/Task_89,False,8.55
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_71/Task_51,False,8.6
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_46/Task_47,False,8.61
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/11223/Env_35/Task_97,False,8.65
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_36/Task_42,False,8.61
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_61/Task_99,False,8.65
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_67/Task_42,False,8.63
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_75/Task_78,False,8.66
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_88/Task_78,False,8.66
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_54/Task_54,False,15.34
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_97/Task_27,False,16.22
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_32/Task_86,False,16.24
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_20/Task_86,False,16.49
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_65/Task_87,False,16.48
/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_42/Task_27,False,16.53
