Environment,Task,Seed,Bin,InaccuracyType,Steps,Collisions,TerminationReason,BugFound
1735,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
7264,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,16,2,Task Completed,False
6295,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,0,Task Completed,False
433,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,2,Task Completed,False
1971,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,0,Task Completed,False
6119,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,16,0,Task Completed,False
1286,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,16,4,Task Completed,False
5971,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,16,0,Task Completed,False
1388,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,0,Task Completed,False
7758,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,16,0,Task Completed,False
9185,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,0,Task Completed,False
9189,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,15,0,Task Completed,False
9802,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
2398,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
558,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,11,0,Task Completed,False
4518,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,16,2,Task Completed,False
1674,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,4,0,Task Completed,False
3759,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,7,2,Task Completed,False
9171,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
3420,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,16,1,Task Completed,False
7368,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,0,Task Completed,False
6093,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,19,1,Task Completed,False
8109,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,9,0,Task Completed,False
8232,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,6,0,Task Completed,False
3601,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,13,1,Task Completed,False
5198,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,14,1,Task Completed,False
1568,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,8,0,Task Completed,False
2468,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,12,1,Task Completed,False
1606,Unknown_Task,Unknown_Seed,Unknown_Bin,accurate,20,3,Task Completed,False
