Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
3768, 49, 74, 1.0, 0, 0.0
3768, 22, 85, 1.0, 0, 0.0
3768, 69, 61, 0.0, 1, 1.0
3768, 22, 87, 1.0, 0, 0.0
3768, 22, 95, 0.0, 1, 1.0
3768, 69, 47, 1.0, 0, 0.0
3768, 86, 29, 1.0, 0, 0.0
3768, 49, 72, 0.0, 1, 1.0
3768, 22, 37, 0.0, 1, 1.0
3768, 22, 17, 1.0, 0, 0.0
3768, 69, 67, 1.0, 0, 0.0
3768, 49, 31, 1.0, 0, 0.0
3768, 22, 6, 0.0, 1, 1.0
3768, 86, 78, 1.0, 0, 0.0
3768, 22, 91, 0.0, 1, 1.0
3768, 69, 1, 1.0, 0, 0.0
3768, 22, 74, 0.0, 1, 1.0
3768, 22, 72, 0.0, 1, 1.0
3768, 49, 51, 1.0, 0, 0.0
3768, 22, 31, 1.0, 0, 0.0
3768, 69, 82, 1.0, 0, 0.0
3768, 82, 20, 1.0, 0, 0.0
3768, 95, 18, 1.0, 0, 0.0
3768, 22, 51, 1.0, 0, 1.0
3768, 86, 20, 1.0, 0, 0.0
3768, 22, 79, 1.0, 0, 0.0
3768, 69, 60, 1.0, 0, 0.0
3768, 22, 11, 1.0, 0, 1.0
3768, 49, 79, 1.0, 0, 0.0
3768, 22, 3, 1.0, 0, 1.0
3768, 81, 8, 1.0, 0, 0.0
3768, 69, 36, 1.0, 0, 0.0
3768, 86, 42, 1.0, 0, 0.0
3768, 22, 34, 0.0, 1, 1.0
3768, 22, 93, 0.0, 1, 1.0
3768, 49, 11, 1.0, 0, 0.0
3768, 22, 92, 1.0, 0, 0.0
3768, 86, 59, 1.0, 0, 0.0
3768, 22, 30, 0.0, 1, 1.0
3768, 49, 3, 1.0, 0, 0.0
3768, 22, 15, 0.0, 1, 1.0
3768, 22, 23, 0.0, 1, 1.0
3768, 49, 34, 0.0, 1, 1.0
3768, 82, 42, 1.0, 0, 0.0
3768, 22, 83, 1.0, 0, 0.0
3768, 20, 9, 1.0, 0, 0.0
3768, 86, 98, 1.0, 0, 0.0
3768, 22, 35, 0.0, 1, 1.0
3768, 49, 93, 1.0, 0, 0.0
3768, 22, 13, 0.0, 1, 1.0
3768, 22, 44, 0.0, 1, 1.0
3768, 86, 77, 1.0, 0, 0.0
3768, 22, 50, 1.0, 0, 0.0
3768, 49, 92, 1.0, 0, 0.0
3768, 22, 24, 1.0, 0, 0.0
3768, 22, 8, 1.0, 0, 0.0
3768, 82, 59, 1.0, 0, 0.0
3768, 49, 30, 1.0, 0, 1.0
3768, 22, 81, 0.0, 1, 1.0
3768, 86, 48, 1.0, 0, 0.0
3768, 22, 97, 1.0, 0, 0.0
3768, 22, 70, 1.0, 0, 0.0
3768, 49, 15, 1.0, 0, 0.0
3768, 83, 76, 1.0, 0, 0.0
3768, 22, 90, 1.0, 0, 0.0
3768, 86, 52, 0.0, 1, 1.0
3768, 22, 22, 0.0, 1, 1.0
3768, 22, 54, 0.0, 1, 1.0
3768, 95, 89, 1.0, 0, 0.0
3768, 49, 23, 1.0, 0, 0.0
3768, 82, 98, 1.0, 0, 0.0
3768, 22, 58, 1.0, 0, 0.0
3768, 86, 61, 1.0, 0, 0.0
3768, 49, 83, 1.0, 0, 0.0
3768, 22, 76, 0.0, 1, 1.0
3768, 22, 84, 0.0, 1, 1.0
3768, 31, 62, 1.0, 0, 0.0
3768, 49, 35, 1.0, 0, 0.0
3768, 22, 38, 0.0, 1, 1.0
3768, 86, 47, 1.0, 0, 0.0
3768, 22, 86, 1.0, 0, 0.0
3768, 49, 13, 1.0, 0, 0.0
3768, 22, 43, 0.0, 1, 1.0
3768, 82, 77, 1.0, 0, 0.0
3768, 22, 33, 0.0, 1, 1.0
3768, 86, 67, 1.0, 0, 0.0
3768, 49, 44, 1.0, 0, 0.0
3768, 77, 16, 1.0, 0, 0.0
3768, 22, 32, 1.0, 0, 0.0
3768, 49, 50, 1.0, 0, 0.0
3768, 22, 21, 0.0, 1, 1.0
3768, 86, 1, 1.0, 0, 0.0
3768, 22, 12, 1.0, 0, 0.0
3768, 20, 19, 1.0, 0, 0.0
3768, 49, 24, 1.0, 0, 0.0
3768, 22, 16, 0.0, 1, 1.0
3768, 83, 84, 1.0, 0, 0.0
3768, 82, 48, 1.0, 0, 0.0
3768, 49, 8, 1.0, 0, 0.0
3768, 22, 49, 1.0, 0, 0.0
3768, 86, 82, 1.0, 0, 0.0
3768, 49, 81, 1.0, 0, 0.0
3768, 22, 18, 1.0, 0, 0.0
3768, 37, 67, 1.0, 0, 0.0
3768, 49, 97, 1.0, 0, 0.0
3768, 22, 89, 1.0, 0, 1.0
3768, 22, 100, 1.0, 0, 0.0
3768, 49, 70, 1.0, 0, 0.0
3768, 86, 60, 1.0, 0, 0.0
3768, 22, 25, 1.0, 0, 0.0
3768, 49, 90, 1.0, 0, 0.0
3768, 76, 26, 1.0, 0, 0.0
3768, 22, 2, 1.0, 0, 0.0
3768, 49, 22, 0.0, 1, 1.0
3768, 82, 52, 0.0, 1, 1.0
3768, 22, 55, 1.0, 0, 0.0
3768, 86, 36, 1.0, 0, 0.0
3768, 49, 54, 1.0, 0, 0.0
3768, 22, 96, 1.0, 0, 0.0
3768, 49, 58, 1.0, 0, 0.0
3768, 22, 53, 1.0, 0, 0.0
3768, 49, 76, 1.0, 0, 0.0
3768, 81, 81, 1.0, 0, 0.0
3768, 22, 29, 0.0, 1, 1.0
3768, 49, 84, 1.0, 0, 0.0
3768, 22, 78, 0.0, 1, 1.0
