Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
90785, 94, 10, 1.0, 0, 0.0
90785, 94, 6, 0.0, 1, 1.0
90785, 94, 3, 0.0, 1, 1.0
90785, 94, 8, 1.0, 0, 0.0
90785, 94, 2, 0.0, 1, 1.0
90785, 94, 1, 0.0, 1, 1.0
90785, 126, 8, 0.0, 1, 1.0
90785, 126, 2, 0.0, 1, 1.0
90785, 126, 1, 0.0, 1, 1.0
90785, 134, 9, 0.0, 1, 1.0
90785, 134, 7, 0.0, 1, 1.0
90785, 152, 5, 0.0, 1, 1.0
90785, 134, 4, 0.0, 1, 1.0
90785, 134, 5, 0.0, 1, 1.0
90785, 152, 10, 0.0, 1, 1.0
90785, 134, 10, 0.0, 1, 1.0
90785, 187, 3, 0.0, 1, 1.0
90785, 134, 6, 0.0, 1, 1.0
90785, 134, 3, 0.0, 1, 1.0
90785, 152, 6, 0.0, 1, 1.0
90785, 134, 8, 0.0, 1, 1.0
90785, 134, 2, 0.0, 1, 1.0
90785, 134, 1, 0.0, 1, 1.0
90785, 152, 3, 0.0, 1, 1.0
90785, 187, 8, 0.0, 1, 1.0
90785, 152, 8, 0.0, 1, 1.0
90785, 96, 1, 0.0, 1, 1.0
90785, 187, 2, 0.0, 1, 1.0
90785, 152, 2, 0.0, 1, 1.0
90785, 83, 9, 0.0, 1, 1.0
90785, 83, 7, 0.0, 1, 1.0
90785, 152, 1, 0.0, 1, 1.0
90785, 83, 4, 0.0, 1, 1.0
90785, 83, 5, 0.0, 1, 1.0
90785, 187, 1, 0.0, 1, 1.0
90785, 85, 9, 0.0, 1, 1.0
90785, 83, 10, 0.0, 1, 1.0
90785, 85, 7, 0.0, 1, 1.0
90785, 85, 4, 0.0, 1, 1.0
90785, 85, 5, 0.0, 1, 1.0
90785, 83, 6, 0.0, 1, 1.0
90785, 85, 10, 0.0, 1, 1.0
90785, 85, 6, 0.0, 1, 1.0
90785, 85, 3, 0.0, 1, 1.0
90785, 83, 3, 0.0, 1, 1.0
90785, 85, 8, 0.0, 1, 1.0
90785, 21, 4, 0.0, 1, 1.0
90785, 85, 2, 0.0, 1, 1.0
90785, 85, 1, 0.0, 1, 1.0
90785, 83, 8, 0.0, 1, 1.0
90785, 183, 9, 0.0, 1, 1.0
90785, 21, 5, 1.0, 0, 0.0
90785, 83, 2, 0.0, 1, 1.0
90785, 21, 10, 0.0, 1, 1.0
90785, 83, 1, 0.0, 1, 1.0
90785, 21, 6, 0.0, 1, 1.0
90785, 21, 3, 0.0, 1, 1.0
90785, 21, 8, 0.0, 1, 1.0
90785, 200, 9, 0.0, 1, 1.0
90785, 21, 2, 0.0, 1, 1.0
90785, 21, 1, 0.0, 1, 1.0
90785, 121, 9, 0.0, 1, 1.0
90785, 165, 9, 0.0, 1, 1.0
90785, 165, 7, 0.0, 1, 1.0
90785, 165, 4, 0.0, 1, 1.0
90785, 165, 5, 0.0, 1, 1.0
90785, 109, 9, 0.0, 1, 1.0
90785, 165, 10, 0.0, 1, 1.0
90785, 183, 7, 0.0, 1, 1.0
90785, 165, 6, 0.0, 1, 1.0
90785, 165, 3, 0.0, 1, 1.0
90785, 165, 8, 0.0, 1, 1.0
90785, 165, 2, 0.0, 1, 1.0
90785, 165, 1, 0.0, 1, 1.0
90785, 128, 6, 0.0, 1, 1.0
90785, 128, 3, 1.0, 0, 0.0
90785, 128, 8, 0.0, 1, 1.0
90785, 128, 2, 0.0, 1, 1.0
90785, 128, 1, 0.0, 1, 1.0
90785, 110, 9, 0.0, 1, 1.0
90785, 147, 2, 0.0, 1, 1.0
90785, 135, 9, 0.0, 1, 1.0
90785, 183, 4, 0.0, 1, 1.0
90785, 110, 7, 0.0, 1, 1.0
90785, 131, 7, 0.0, 1, 1.0
90785, 110, 4, 0.0, 1, 1.0
90785, 147, 1, 0.0, 1, 1.0
90785, 109, 7, 0.0, 1, 1.0
90785, 110, 5, 0.0, 1, 1.0
90785, 113, 9, 0.0, 1, 1.0
90785, 200, 7, 0.0, 1, 1.0
90785, 135, 7, 0.0, 1, 1.0
90785, 131, 4, 0.0, 1, 1.0
90785, 110, 10, 0.0, 1, 1.0
90785, 110, 6, 0.0, 1, 1.0
90785, 183, 5, 0.0, 1, 1.0
90785, 142, 9, 0.0, 1, 1.0
90785, 8, 8, 0.0, 1, 1.0
90785, 131, 5, 0.0, 1, 1.0
90785, 8, 2, 0.0, 1, 1.0
90785, 8, 1, 0.0, 1, 1.0
90785, 110, 3, 0.0, 1, 1.0
90785, 110, 8, 0.0, 1, 1.0
90785, 135, 4, 0.0, 1, 1.0
90785, 131, 10, 0.0, 1, 1.0
90785, 121, 7, 0.0, 1, 1.0
90785, 116, 9, 0.0, 1, 1.0
90785, 110, 2, 0.0, 1, 1.0
90785, 34, 3, 0.0, 1, 1.0
90785, 34, 8, 0.0, 1, 1.0
90785, 34, 2, 0.0, 1, 1.0
90785, 34, 1, 0.0, 1, 1.0
90785, 110, 1, 0.0, 1, 1.0
90785, 150, 5, 0.0, 1, 1.0
90785, 63, 4, 0.0, 1, 1.0
90785, 109, 4, 0.0, 1, 1.0
90785, 63, 5, 0.0, 1, 1.0
90785, 63, 10, 0.0, 1, 1.0
90785, 115, 1, 0.0, 1, 1.0
90785, 63, 6, 0.0, 1, 1.0
90785, 63, 3, 0.0, 1, 1.0
90785, 183, 10, 0.0, 1, 1.0
90785, 63, 8, 0.0, 1, 1.0
90785, 63, 2, 0.0, 1, 1.0
90785, 63, 1, 0.0, 1, 1.0
90785, 3, 9, 0.0, 1, 1.0
90785, 150, 10, 0.0, 1, 1.0
90785, 185, 10, 0.0, 1, 1.0
90785, 131, 6, 0.0, 1, 1.0
90785, 71, 9, 0.0, 1, 1.0
90785, 135, 5, 0.0, 1, 1.0
90785, 3, 7, 0.0, 1, 1.0
90785, 122, 9, 0.0, 1, 1.0
90785, 150, 6, 0.0, 1, 1.0
90785, 3, 4, 0.0, 1, 1.0
90785, 131, 3, 0.0, 1, 1.0
90785, 86, 9, 0.0, 1, 1.0
90785, 150, 3, 0.0, 1, 1.0
90785, 3, 5, 0.0, 1, 1.0
90785, 135, 10, 0.0, 1, 1.0
90785, 122, 7, 0.0, 1, 1.0
90785, 150, 8, 0.0, 1, 1.0
90785, 3, 10, 0.0, 1, 1.0
90785, 116, 7, 0.0, 1, 1.0
90785, 200, 4, 0.0, 1, 1.0
90785, 150, 2, 0.0, 1, 1.0
90785, 71, 7, 0.0, 1, 1.0
90785, 3, 6, 0.0, 1, 1.0
90785, 131, 8, 0.0, 1, 1.0
90785, 113, 7, 0.0, 1, 1.0
90785, 183, 6, 0.0, 1, 1.0
90785, 3, 3, 0.0, 1, 1.0
90785, 122, 4, 0.0, 1, 1.0
90785, 150, 1, 1.0, 0, 0.0
90785, 109, 5, 0.0, 1, 1.0
90785, 60, 2, 1.0, 0, 0.0
90785, 60, 1, 0.0, 1, 1.0
90785, 3, 8, 0.0, 1, 1.0
90785, 131, 2, 0.0, 1, 1.0
90785, 135, 6, 0.0, 1, 1.0
90785, 3, 2, 0.0, 1, 1.0
90785, 9, 9, 0.0, 1, 1.0
90785, 122, 5, 0.0, 1, 1.0
90785, 3, 1, 0.0, 1, 1.0
90785, 30, 9, 0.0, 1, 1.0
90785, 30, 7, 0.0, 1, 1.0
90785, 30, 4, 1.0, 0, 0.0
90785, 30, 5, 0.0, 1, 1.0
90785, 30, 10, 0.0, 1, 1.0
90785, 30, 6, 0.0, 1, 1.0
90785, 30, 3, 0.0, 1, 1.0
90785, 30, 8, 1.0, 0, 0.0
90785, 30, 2, 0.0, 1, 1.0
90785, 30, 1, 1.0, 0, 0.0
90785, 86, 7, 0.0, 1, 1.0
90785, 84, 7, 0.0, 1, 1.0
90785, 131, 1, 0.0, 1, 1.0
90785, 75, 9, 0.0, 1, 1.0
90785, 75, 7, 0.0, 1, 1.0
90785, 75, 4, 0.0, 1, 1.0
90785, 75, 5, 0.0, 1, 1.0
90785, 75, 10, 0.0, 1, 1.0
90785, 75, 6, 0.0, 1, 1.0
90785, 9, 7, 0.0, 1, 1.0
90785, 75, 3, 0.0, 1, 1.0
90785, 75, 8, 0.0, 1, 1.0
90785, 75, 2, 0.0, 1, 1.0
90785, 75, 1, 0.0, 1, 1.0
90785, 71, 4, 0.0, 1, 1.0
90785, 17, 9, 0.0, 1, 1.0
90785, 122, 10, 0.0, 1, 1.0
90785, 17, 7, 0.0, 1, 1.0
90785, 183, 3, 0.0, 1, 1.0
90785, 17, 4, 0.0, 1, 1.0
90785, 17, 5, 0.0, 1, 1.0
90785, 17, 10, 0.0, 1, 1.0
90785, 17, 6, 0.0, 1, 1.0
90785, 17, 3, 0.0, 1, 1.0
90785, 17, 8, 0.0, 1, 1.0
90785, 135, 3, 0.0, 1, 1.0
90785, 84, 4, 0.0, 1, 1.0
90785, 17, 2, 0.0, 1, 1.0
90785, 116, 4, 0.0, 1, 1.0
90785, 17, 1, 0.0, 1, 1.0
90785, 9, 4, 0.0, 1, 1.0
90785, 142, 7, 0.0, 1, 1.0
90785, 109, 10, 0.0, 1, 1.0
90785, 84, 5, 0.0, 1, 1.0
90785, 122, 6, 0.0, 1, 1.0
90785, 9, 5, 0.0, 1, 1.0
90785, 121, 4, 0.0, 1, 1.0
90785, 84, 10, 0.0, 1, 1.0
90785, 71, 5, 0.0, 1, 1.0
90785, 9, 10, 0.0, 1, 1.0
90785, 135, 8, 0.0, 1, 1.0
90785, 122, 3, 0.0, 1, 1.0
90785, 185, 6, 0.0, 1, 1.0
90785, 26, 9, 0.0, 1, 1.0
90785, 104, 9, 0.0, 1, 1.0
90785, 84, 6, 0.0, 1, 1.0
90785, 183, 8, 0.0, 1, 1.0
90785, 200, 5, 0.0, 1, 1.0
90785, 86, 4, 0.0, 1, 1.0
90785, 179, 9, 0.0, 1, 1.0
90785, 163, 9, 0.0, 1, 1.0
90785, 9, 6, 0.0, 1, 1.0
90785, 195, 5, 1.0, 0, 0.0
90785, 84, 3, 0.0, 1, 1.0
90785, 26, 7, 0.0, 1, 1.0
90785, 122, 8, 0.0, 1, 1.0
90785, 116, 5, 0.0, 1, 1.0
90785, 73, 10, 0.0, 1, 1.0
90785, 135, 2, 0.0, 1, 1.0
90785, 71, 10, 0.0, 1, 1.0
90785, 9, 3, 0.0, 1, 1.0
90785, 195, 10, 0.0, 1, 1.0
90785, 113, 4, 0.0, 1, 1.0
90785, 84, 8, 0.0, 1, 1.0
90785, 122, 2, 0.0, 1, 1.0
90785, 26, 4, 0.0, 1, 1.0
90785, 104, 7, 0.0, 1, 1.0
90785, 9, 8, 0.0, 1, 1.0
90785, 84, 2, 0.0, 1, 1.0
90785, 195, 6, 0.0, 1, 1.0
90785, 183, 2, 0.0, 1, 1.0
90785, 33, 6, 0.0, 1, 1.0
90785, 26, 5, 0.0, 1, 1.0
90785, 109, 6, 0.0, 1, 1.0
90785, 122, 1, 0.0, 1, 1.0
90785, 9, 2, 0.0, 1, 1.0
90785, 84, 1, 0.0, 1, 1.0
90785, 135, 1, 0.0, 1, 1.0
90785, 61, 8, 0.0, 1, 1.0
90785, 97, 9, 0.0, 1, 1.0
90785, 195, 3, 0.0, 1, 1.0
90785, 76, 9, 0.0, 1, 1.0
90785, 67, 9, 0.0, 1, 1.0
90785, 86, 5, 0.0, 1, 1.0
90785, 97, 7, 0.0, 1, 1.0
90785, 76, 7, 0.0, 1, 1.0
90785, 26, 10, 1.0, 0, 0.0
90785, 116, 10, 0.0, 1, 1.0
90785, 67, 7, 0.0, 1, 1.0
90785, 76, 4, 0.0, 1, 1.0
90785, 97, 4, 0.0, 1, 1.0
90785, 9, 1, 0.0, 1, 1.0
90785, 76, 5, 0.0, 1, 1.0
90785, 67, 4, 0.0, 1, 1.0
90785, 18, 9, 0.0, 1, 1.0
90785, 71, 6, 0.0, 1, 1.0
90785, 104, 4, 0.0, 1, 1.0
90785, 97, 5, 0.0, 1, 1.0
90785, 76, 10, 0.0, 1, 1.0
90785, 18, 7, 0.0, 1, 1.0
90785, 195, 8, 0.0, 1, 1.0
90785, 67, 5, 0.0, 1, 1.0
90785, 18, 4, 0.0, 1, 1.0
90785, 76, 6, 0.0, 1, 1.0
90785, 97, 10, 0.0, 1, 1.0
90785, 18, 5, 0.0, 1, 1.0
90785, 76, 3, 0.0, 1, 1.0
90785, 67, 10, 0.0, 1, 1.0
90785, 20, 9, 0.0, 1, 1.0
90785, 18, 10, 0.0, 1, 1.0
90785, 76, 8, 0.0, 1, 1.0
90785, 97, 6, 0.0, 1, 1.0
90785, 26, 6, 0.0, 1, 1.0
90785, 18, 6, 0.0, 1, 1.0
90785, 67, 6, 0.0, 1, 1.0
90785, 76, 2, 0.0, 1, 1.0
90785, 18, 3, 0.0, 1, 1.0
90785, 195, 2, 0.0, 1, 1.0
90785, 97, 3, 0.0, 1, 1.0
90785, 76, 1, 0.0, 1, 1.0
90785, 18, 8, 0.0, 1, 1.0
90785, 185, 3, 0.0, 0, 0.0
90785, 67, 3, 0.0, 1, 1.0
90785, 200, 10, 0.0, 1, 1.0
90785, 18, 2, 0.0, 1, 1.0
90785, 183, 1, 0.0, 1, 1.0
90785, 97, 8, 0.0, 1, 1.0
90785, 18, 1, 0.0, 1, 1.0
90785, 67, 8, 0.0, 1, 1.0
90785, 193, 9, 0.0, 1, 1.0
90785, 59, 6, 0.0, 1, 1.0
90785, 59, 3, 0.0, 1, 1.0
90785, 59, 8, 1.0, 0, 0.0
90785, 97, 2, 0.0, 1, 1.0
90785, 59, 2, 0.0, 1, 1.0
90785, 26, 3, 0.0, 1, 1.0
90785, 67, 2, 0.0, 1, 1.0
90785, 59, 1, 0.0, 1, 1.0
90785, 195, 1, 0.0, 1, 1.0
90785, 97, 1, 0.0, 1, 1.0
90785, 164, 9, 1.0, 0, 0.0
90785, 67, 1, 0.0, 1, 1.0
90785, 164, 7, 0.0, 1, 1.0
90785, 104, 5, 0.0, 1, 1.0
90785, 164, 4, 0.0, 1, 1.0
90785, 164, 5, 0.0, 1, 1.0
90785, 71, 3, 0.0, 1, 1.0
90785, 164, 10, 0.0, 1, 1.0
90785, 164, 6, 0.0, 1, 1.0
90785, 164, 3, 0.0, 1, 1.0
90785, 109, 3, 0.0, 1, 1.0
90785, 164, 8, 0.0, 1, 1.0
90785, 164, 2, 0.0, 1, 1.0
90785, 164, 1, 0.0, 1, 1.0
90785, 86, 10, 0.0, 1, 1.0
90785, 167, 9, 0.0, 1, 1.0
90785, 121, 5, 0.0, 0, 0.0
90785, 81, 9, 0.0, 1, 1.0
90785, 167, 7, 0.0, 1, 1.0
90785, 26, 8, 0.0, 1, 1.0
90785, 23, 4, 0.0, 1, 1.0
90785, 180, 10, 0.0, 1, 1.0
90785, 180, 6, 0.0, 1, 1.0
90785, 167, 4, 0.0, 1, 1.0
90785, 95, 3, 0.0, 0, 0.0
90785, 180, 3, 0.0, 1, 1.0
90785, 81, 7, 0.0, 1, 1.0
90785, 180, 8, 1.0, 0, 0.0
90785, 142, 4, 0.0, 1, 1.0
90785, 180, 2, 0.0, 1, 1.0
90785, 180, 1, 0.0, 1, 1.0
90785, 167, 5, 0.0, 1, 1.0
90785, 73, 6, 0.0, 1, 1.0
90785, 26, 2, 0.0, 1, 1.0
90785, 113, 5, 0.0, 1, 1.0
90785, 104, 10, 0.0, 1, 1.0
90785, 116, 6, 0.0, 1, 1.0
90785, 81, 4, 0.0, 1, 1.0
90785, 167, 10, 0.0, 1, 1.0
90785, 127, 9, 0.0, 1, 1.0
90785, 35, 2, 0.0, 1, 1.0
90785, 51, 9, 0.0, 1, 1.0
90785, 61, 2, 0.0, 1, 1.0
90785, 92, 1, 0.0, 1, 1.0
90785, 52, 8, 0.0, 1, 1.0
90785, 167, 6, 0.0, 1, 1.0
90785, 14, 9, 0.0, 1, 1.0
90785, 81, 5, 0.0, 1, 1.0
90785, 71, 8, 1.0, 0, 0.0
90785, 51, 7, 0.0, 1, 1.0
90785, 167, 3, 0.0, 1, 1.0
90785, 26, 1, 0.0, 1, 1.0
90785, 81, 10, 0.0, 1, 1.0
90785, 52, 2, 0.0, 1, 1.0
