Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
12876, 86, 10, 0.0, 1, 94.0
12876, 31, 91, 1.0, 0, -10.0
12876, 86, 41, 1.0, 0, -10.0
12876, 94, 73, 1.0, 0, -10.0
12876, 19, 62, 1.0, 0, -11.0
12876, 86, 75, 0.0, 1, 95.0
12876, 18, 91, 0.0, 1, 92.0
12876, 8, 62, 0.0, 1, 88.0
12876, 86, 57, 0.0, 1, 96.0
12876, 94, 63, 1.0, 0, 94.0
12876, 82, 10, 1.0, 0, -10.0
12876, 63, 49, 1.0, 0, -10.0
12876, 96, 23, 1.0, 0, -10.0
12876, 19, 46, 1.0, 0, -11.0
12876, 31, 74, 1.0, 0, 96.0
12876, 86, 39, 1.0, 0, -10.0
12876, 31, 72, 1.0, 0, -12.0
12876, 18, 74, 0.0, 1, 98.0
12876, 86, 71, 1.0, 0, -10.0
12876, 63, 18, 1.0, 0, 89.0
12876, 82, 41, 1.0, 0, -10.0
12876, 86, 85, 0.0, 1, 91.0
12876, 94, 80, 0.0, 1, 93.0
12876, 86, 87, 0.0, 1, 93.0
12876, 19, 66, 0.0, 1, 94.0
12876, 31, 31, 1.0, 0, -11.0
12876, 76, 49, 0.0, 1, 96.0
12876, 86, 95, 0.0, 1, 93.0
12876, 96, 83, 1.0, 0, -10.0
12876, 86, 37, 0.0, 1, 99.0
12876, 64, 49, 1.0, 0, -10.0
12876, 86, 17, 0.0, 1, 97.0
12876, 18, 72, 0.0, 1, 89.0
12876, 63, 89, 0.0, 1, 96.0
12876, 19, 45, 1.0, 0, -10.0
12876, 31, 51, 1.0, 0, -10.0
12876, 86, 6, 1.0, 0, -10.0
12876, 82, 75, 1.0, 0, -10.0
12876, 94, 9, 1.0, 0, -16.0
12876, 10, 22, 0.0, 1, 91.0
12876, 44, 22, 0.0, 1, 91.0
12876, 86, 91, 0.0, 1, 94.0
12876, 31, 79, 1.0, 0, -10.0
12876, 8, 46, 0.0, 1, 84.0
12876, 96, 35, 1.0, 0, -10.0
12876, 86, 74, 0.0, 1, 99.0
12876, 18, 31, 0.0, 1, 91.0
12876, 6, 42, 0.0, 1, 77.0
12876, 19, 5, 1.0, 0, -10.0
12876, 94, 19, 1.0, 0, 96.0
12876, 63, 100, 1.0, 0, -10.0
12876, 86, 72, 0.0, 1, 95.0
12876, 94, 7, 1.0, 0, -11.0
12876, 31, 11, 1.0, 0, -10.0
12876, 82, 57, 1.0, 0, -10.0
12876, 86, 31, 0.0, 1, 97.0
12876, 94, 99, 0.0, 1, 97.0
12876, 19, 56, 1.0, 0, -10.0
12876, 86, 51, 1.0, 0, -10.0
12876, 86, 79, 0.0, 1, 96.0
12876, 76, 18, 0.0, 1, 87.0
12876, 94, 68, 1.0, 0, -17.0
12876, 18, 51, 0.0, 1, 91.0
12876, 31, 3, 1.0, 0, -10.0
12876, 86, 11, 0.0, 1, 95.0
12876, 63, 25, 1.0, 0, -18.0
12876, 86, 3, 0.0, 1, 97.0
12876, 94, 65, 1.0, 0, -10.0
12876, 86, 34, 0.0, 1, 99.0
12876, 96, 13, 1.0, 0, -12.0
12876, 86, 93, 1.0, 0, -10.0
12876, 31, 34, 1.0, 0, -10.0
12876, 82, 39, 1.0, 0, -17.0
12876, 19, 40, 1.0, 0, -13.0
12876, 94, 14, 0.0, 1, 90.0
12876, 86, 92, 0.0, 1, 99.0
12876, 18, 79, 0.0, 1, 85.0
12876, 86, 30, 0.0, 1, 97.0
12876, 86, 15, 0.0, 1, 91.0
12876, 31, 93, 1.0, 0, -11.0
12876, 45, 23, 1.0, 0, -12.0
12876, 63, 2, 0.0, 1, 86.0
12876, 94, 94, 1.0, 0, 96.0
12876, 86, 23, 0.0, 1, 97.0
12876, 37, 22, 0.0, 1, 88.0
12876, 8, 66, 0.0, 1, 93.0
12876, 64, 18, 0.0, 1, 82.0
12876, 31, 92, 1.0, 0, -10.0
12876, 86, 83, 0.0, 1, 98.0
12876, 19, 26, 1.0, 0, -12.0
12876, 96, 44, 1.0, 0, -10.0
12876, 76, 89, 0.0, 1, 95.0
12876, 86, 35, 0.0, 1, 97.0
12876, 31, 30, 1.0, 0, -10.0
12876, 94, 4, 1.0, 0, -10.0
12876, 86, 13, 0.0, 1, 94.0
12876, 27, 91, 1.0, 0, -10.0
12876, 63, 55, 1.0, 0, 83.0
12876, 18, 11, 1.0, 0, 88.0
12876, 86, 44, 1.0, 0, 89.0
12876, 86, 50, 0.0, 1, 93.0
12876, 94, 62, 1.0, 0, 89.0
12876, 82, 71, 0.0, 1, 73.0
12876, 31, 15, 1.0, 0, -12.0
12876, 86, 24, 0.0, 1, 94.0
12876, 19, 69, 1.0, 0, -10.0
12876, 94, 46, 0.0, 1, 93.0
12876, 86, 8, 0.0, 1, 97.0
12876, 96, 50, 1.0, 0, -10.0
12876, 86, 81, 0.0, 1, 100.0
12876, 18, 3, 0.0, 1, 92.0
12876, 10, 54, 0.0, 1, 57.0
12876, 31, 23, 1.0, 0, -10.0
