Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
534, 94, 73, 1.0, 0, 0.0
534, 94, 63, 1.0, 0, 0.0
534, 94, 80, 1.0, 0, 0.0
534, 89, 10, 1.0, 0, 0.0
534, 89, 41, 1.0, 0, 0.0
534, 89, 75, 1.0, 0, 0.0
534, 89, 57, 1.0, 0, 0.0
534, 89, 39, 1.0, 0, 0.0
534, 89, 71, 1.0, 0, 0.0
534, 89, 85, 1.0, 0, 0.0
534, 89, 87, 1.0, 0, 0.0
534, 19, 46, 1.0, 0, 0.0
534, 94, 9, 1.0, 0, 0.0
534, 89, 95, 1.0, 0, 0.0
534, 89, 37, 1.0, 0, 0.0
534, 89, 17, 1.0, 0, 0.0
534, 89, 6, 1.0, 0, 0.0
534, 89, 91, 1.0, 0, 0.0
534, 89, 74, 1.0, 0, 0.0
534, 89, 72, 1.0, 0, 0.0
534, 89, 31, 1.0, 0, 0.0
534, 89, 51, 1.0, 0, 0.0
534, 89, 79, 1.0, 0, 0.0
534, 19, 66, 1.0, 0, 0.0
534, 89, 11, 1.0, 0, 0.0
534, 89, 3, 1.0, 0, 0.0
534, 89, 34, 1.0, 0, 0.0
534, 89, 93, 1.0, 0, 0.0
534, 89, 92, 1.0, 0, 0.0
534, 89, 30, 1.0, 0, 0.0
534, 89, 15, 1.0, 0, 0.0
534, 89, 23, 1.0, 0, 0.0
534, 89, 83, 1.0, 0, 0.0
534, 89, 35, 1.0, 0, 0.0
534, 19, 45, 1.0, 0, 0.0
534, 89, 13, 1.0, 0, 0.0
534, 89, 44, 1.0, 0, 0.0
534, 89, 50, 1.0, 0, 0.0
534, 89, 24, 1.0, 0, 0.0
534, 89, 8, 1.0, 0, 0.0
534, 94, 19, 1.0, 0, 0.0
534, 89, 81, 1.0, 0, 0.0
534, 96, 23, 1.0, 0, 0.0
534, 89, 97, 1.0, 0, 0.0
534, 89, 70, 1.0, 0, 0.0
534, 89, 90, 1.0, 0, 0.0
534, 19, 5, 1.0, 0, 0.0
534, 89, 22, 1.0, 0, 0.0
534, 89, 54, 1.0, 0, 0.0
534, 89, 58, 1.0, 0, 0.0
534, 89, 76, 1.0, 0, 0.0
534, 89, 84, 1.0, 0, 0.0
534, 89, 38, 1.0, 0, 0.0
534, 89, 86, 1.0, 0, 0.0
534, 89, 43, 1.0, 0, 0.0
534, 27, 74, 1.0, 0, 0.0
534, 89, 33, 1.0, 0, 0.0
534, 89, 32, 1.0, 0, 0.0
534, 96, 83, 1.0, 0, 0.0
534, 19, 56, 1.0, 0, 0.0
534, 89, 21, 1.0, 0, 0.0
534, 89, 12, 1.0, 0, 0.0
534, 89, 16, 1.0, 0, 0.0
534, 89, 49, 1.0, 0, 0.0
534, 89, 18, 1.0, 0, 0.0
534, 89, 89, 1.0, 0, 0.0
534, 89, 100, 1.0, 0, 0.0
534, 89, 25, 1.0, 0, 0.0
534, 94, 7, 1.0, 0, 0.0
534, 89, 2, 1.0, 0, 0.0
534, 19, 40, 1.0, 0, 0.0
534, 89, 55, 1.0, 0, 0.0
534, 89, 96, 1.0, 0, 0.0
534, 96, 35, 1.0, 0, 0.0
534, 89, 53, 1.0, 0, 0.0
534, 44, 54, 1.0, 0, 0.0
534, 89, 29, 1.0, 0, 0.0
534, 89, 78, 0.0, 1, 1.0
534, 89, 20, 1.0, 0, 0.0
534, 89, 42, 1.0, 0, 0.0
534, 89, 59, 1.0, 0, 0.0
534, 27, 72, 1.0, 0, 0.0
534, 89, 98, 1.0, 0, 0.0
534, 89, 77, 1.0, 0, 0.0
534, 89, 48, 1.0, 0, 0.0
534, 19, 26, 0.0, 1, 1.0
534, 89, 52, 1.0, 0, 0.0
534, 89, 61, 1.0, 0, 0.0
534, 89, 47, 1.0, 0, 0.0
534, 89, 67, 1.0, 0, 0.0
534, 89, 1, 1.0, 0, 0.0
534, 44, 58, 1.0, 0, 0.0
534, 89, 82, 1.0, 0, 0.0
534, 89, 60, 1.0, 0, 0.0
534, 96, 13, 1.0, 0, 0.0
534, 89, 36, 1.0, 0, 0.0
534, 99, 73, 1.0, 0, 0.0
534, 99, 63, 1.0, 0, 0.0
534, 19, 69, 1.0, 0, 0.0
534, 94, 99, 1.0, 0, 0.0
534, 99, 80, 1.0, 0, 0.0
534, 99, 9, 1.0, 0, 0.0
534, 99, 19, 1.0, 0, 0.0
534, 44, 76, 1.0, 0, 0.0
534, 27, 31, 1.0, 0, 0.0
534, 99, 7, 1.0, 0, 0.0
534, 99, 99, 1.0, 0, 0.0
534, 99, 68, 1.0, 0, 0.0
534, 76, 49, 1.0, 0, 0.0
534, 19, 64, 1.0, 0, 0.0
534, 99, 65, 1.0, 0, 0.0
534, 99, 14, 1.0, 0, 0.0
534, 96, 44, 1.0, 0, 0.0
534, 99, 94, 1.0, 0, 0.0
534, 44, 84, 1.0, 0, 0.0
534, 99, 4, 1.0, 0, 0.0
534, 99, 62, 1.0, 0, 0.0
534, 99, 46, 1.0, 0, 0.0
534, 99, 66, 1.0, 0, 0.0
534, 99, 45, 1.0, 0, 0.0
534, 99, 5, 1.0, 0, 0.0
534, 19, 88, 1.0, 0, 0.0
534, 99, 56, 1.0, 0, 0.0
534, 99, 40, 1.0, 0, 0.0
534, 27, 51, 1.0, 0, 0.0
534, 44, 38, 1.0, 0, 0.0
534, 94, 68, 1.0, 0, 0.0
534, 99, 26, 1.0, 0, 0.0
534, 99, 69, 1.0, 0, 0.0
534, 96, 50, 1.0, 0, 0.0
534, 99, 64, 1.0, 0, 0.0
534, 99, 88, 1.0, 0, 0.0
534, 99, 28, 1.0, 0, 0.0
534, 99, 27, 1.0, 0, 0.0
534, 99, 10, 1.0, 0, 0.0
534, 19, 28, 1.0, 0, 0.0
534, 44, 86, 1.0, 0, 0.0
534, 99, 41, 1.0, 0, 0.0
534, 99, 75, 1.0, 0, 0.0
534, 99, 57, 1.0, 0, 0.0
534, 99, 39, 1.0, 0, 0.0
534, 76, 18, 1.0, 0, 0.0
534, 99, 71, 1.0, 0, 0.0
534, 99, 85, 1.0, 0, 0.0
534, 99, 87, 1.0, 0, 0.0
534, 96, 24, 1.0, 0, 0.0
534, 44, 43, 1.0, 0, 0.0
534, 19, 27, 1.0, 0, 0.0
534, 99, 95, 1.0, 0, 0.0
534, 99, 37, 1.0, 0, 0.0
534, 27, 79, 1.0, 0, 0.0
534, 99, 17, 1.0, 0, 0.0
534, 99, 6, 1.0, 0, 0.0
534, 99, 91, 1.0, 0, 0.0
534, 99, 74, 1.0, 0, 0.0
534, 99, 72, 1.0, 0, 0.0
534, 44, 33, 1.0, 0, 0.0
534, 19, 10, 1.0, 0, 0.0
534, 99, 31, 1.0, 0, 0.0
534, 99, 51, 1.0, 0, 0.0
534, 96, 8, 1.0, 0, 0.0
534, 99, 79, 1.0, 0, 0.0
534, 94, 65, 1.0, 0, 0.0
534, 99, 11, 1.0, 0, 0.0
534, 99, 3, 1.0, 0, 0.0
534, 99, 34, 1.0, 0, 0.0
534, 99, 93, 1.0, 0, 0.0
534, 44, 32, 1.0, 0, 0.0
534, 19, 41, 1.0, 0, 0.0
534, 99, 92, 1.0, 0, 0.0
534, 99, 30, 1.0, 0, 0.0
534, 27, 11, 1.0, 0, 0.0
534, 99, 15, 1.0, 0, 0.0
534, 76, 89, 1.0, 0, 0.0
534, 96, 81, 1.0, 0, 0.0
534, 99, 23, 1.0, 0, 0.0
534, 99, 83, 1.0, 0, 0.0
534, 99, 35, 1.0, 0, 0.0
534, 44, 21, 1.0, 0, 0.0
534, 99, 13, 1.0, 0, 0.0
534, 19, 75, 1.0, 0, 0.0
534, 99, 44, 1.0, 0, 0.0
534, 99, 50, 1.0, 0, 0.0
534, 99, 24, 1.0, 0, 0.0
534, 99, 8, 1.0, 0, 0.0
534, 99, 81, 1.0, 0, 0.0
