Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
5698, 36, 18, 1.0, 0, -10.0
5698, 91, 98, 1.0, 0, -11.0
5698, 91, 77, 1.0, 0, -10.0
5698, 91, 48, 1.0, 0, -10.0
5698, 91, 52, 0.0, 1, 89.0
5698, 91, 61, 1.0, 0, -13.0
5698, 91, 47, 1.0, 0, -15.0
5698, 91, 67, 1.0, 0, 90.0
5698, 91, 1, 1.0, 0, -10.0
5698, 91, 82, 1.0, 0, -13.0
5698, 91, 60, 1.0, 0, -10.0
5698, 91, 36, 1.0, 0, -12.0
5698, 80, 73, 1.0, 0, -18.0
5698, 80, 63, 0.0, 1, 86.0
5698, 80, 80, 1.0, 0, -10.0
5698, 36, 89, 0.0, 1, 33.0
5698, 80, 9, 1.0, 0, -10.0
5698, 80, 19, 1.0, 0, -39.0
5698, 80, 7, 1.0, 0, -12.0
5698, 80, 99, 1.0, 0, -14.0
5698, 94, 73, 1.0, 0, -12.0
5698, 80, 68, 0.0, 1, 72.0
5698, 80, 65, 1.0, 0, -13.0
5698, 80, 14, 1.0, 0, -17.0
5698, 80, 94, 1.0, 0, -10.0
5698, 36, 100, 1.0, 0, -11.0
5698, 80, 4, 1.0, 0, -10.0
5698, 80, 62, 1.0, 0, -10.0
5698, 80, 46, 1.0, 0, -10.0
5698, 80, 66, 1.0, 0, -10.0
5698, 94, 63, 1.0, 0, -10.0
5698, 80, 45, 1.0, 0, -12.0
5698, 80, 5, 1.0, 0, -10.0
5698, 80, 56, 1.0, 0, -10.0
5698, 80, 40, 1.0, 0, -10.0
5698, 48, 80, 0.0, 1, 98.0
5698, 48, 9, 0.0, 1, 96.0
5698, 48, 19, 0.0, 1, 96.0
5698, 48, 7, 0.0, 1, 97.0
5698, 48, 99, 0.0, 1, 100.0
5698, 48, 68, 0.0, 1, 97.0
5698, 48, 65, 0.0, 1, 99.0
5698, 48, 14, 0.0, 1, 97.0
5698, 48, 94, 0.0, 1, 99.0
5698, 48, 4, 0.0, 1, 96.0
5698, 48, 62, 0.0, 1, 96.0
5698, 48, 46, 0.0, 1, 98.0
5698, 48, 66, 0.0, 1, 97.0
5698, 48, 45, 0.0, 1, 96.0
5698, 48, 5, 0.0, 1, 98.0
5698, 48, 56, 0.0, 1, 99.0
5698, 48, 40, 0.0, 1, 97.0
5698, 48, 26, 0.0, 1, 99.0
5698, 48, 69, 0.0, 1, 96.0
5698, 48, 64, 0.0, 1, 96.0
5698, 48, 88, 0.0, 1, 98.0
5698, 48, 28, 0.0, 1, 98.0
5698, 48, 27, 0.0, 1, 100.0
5698, 48, 10, 0.0, 1, 96.0
5698, 48, 41, 0.0, 1, 98.0
5698, 48, 75, 0.0, 1, 96.0
5698, 48, 57, 0.0, 1, 100.0
5698, 48, 39, 0.0, 1, 96.0
5698, 48, 71, 0.0, 1, 99.0
5698, 48, 85, 0.0, 1, 96.0
5698, 48, 87, 0.0, 1, 96.0
5698, 48, 95, 0.0, 1, 97.0
5698, 48, 37, 0.0, 1, 97.0
5698, 48, 17, 0.0, 1, 99.0
5698, 48, 6, 0.0, 1, 99.0
5698, 48, 91, 0.0, 1, 99.0
5698, 48, 74, 0.0, 1, 97.0
5698, 48, 72, 0.0, 1, 94.0
5698, 48, 31, 0.0, 1, 97.0
5698, 48, 51, 0.0, 1, 99.0
5698, 48, 79, 0.0, 1, 99.0
5698, 48, 11, 0.0, 1, 97.0
5698, 48, 3, 0.0, 1, 99.0
5698, 48, 34, 0.0, 1, 100.0
5698, 80, 26, 1.0, 0, -10.0
5698, 48, 93, 0.0, 1, 97.0
5698, 48, 92, 0.0, 1, 95.0
5698, 48, 30, 0.0, 1, 98.0
5698, 48, 15, 0.0, 1, 100.0
5698, 48, 23, 0.0, 1, 96.0
5698, 48, 83, 0.0, 1, 97.0
5698, 48, 35, 0.0, 1, 95.0
