Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
90785, 78, 24, 1.0, 0, 0.0
90785, 80, 43, 1.0, 0, 0.0
90785, 78, 8, 1.0, 0, 0.0
90785, 94, 73, 1.0, 0, 0.0
90785, 80, 33, 1.0, 0, 0.0
90785, 80, 32, 1.0, 0, 0.0
90785, 94, 63, 0.0, 1, 1.0
90785, 78, 81, 1.0, 0, 0.0
90785, 80, 21, 1.0, 0, 0.0
90785, 94, 80, 1.0, 0, 0.0
90785, 80, 12, 1.0, 0, 0.0
90785, 78, 97, 1.0, 0, 0.0
90785, 94, 9, 0.0, 1, 1.0
90785, 80, 16, 1.0, 0, 0.0
90785, 78, 70, 1.0, 0, 0.0
90785, 94, 19, 1.0, 0, 0.0
90785, 80, 49, 1.0, 0, 0.0
90785, 78, 90, 1.0, 0, 0.0
90785, 94, 7, 0.0, 1, 1.0
90785, 78, 22, 1.0, 0, 0.0
90785, 80, 18, 1.0, 0, 0.0
90785, 94, 99, 1.0, 0, 0.0
90785, 80, 89, 1.0, 0, 0.0
90785, 78, 54, 1.0, 0, 0.0
90785, 94, 68, 0.0, 1, 1.0
90785, 80, 100, 1.0, 0, 0.0
90785, 85, 67, 1.0, 0, 0.0
90785, 85, 1, 1.0, 0, 0.0
90785, 85, 82, 1.0, 0, 0.0
90785, 85, 60, 1.0, 0, 0.0
90785, 85, 36, 1.0, 0, 0.0
90785, 96, 73, 1.0, 0, 0.0
90785, 80, 25, 1.0, 0, 0.0
90785, 94, 65, 1.0, 0, 0.0
90785, 48, 96, 1.0, 0, 0.0
90785, 96, 63, 0.0, 1, 1.0
90785, 78, 58, 1.0, 0, 0.0
90785, 96, 80, 1.0, 0, 0.0
90785, 94, 14, 0.0, 1, 1.0
90785, 96, 9, 1.0, 0, 0.0
90785, 80, 2, 1.0, 0, 0.0
90785, 48, 53, 0.0, 1, 1.0
90785, 96, 19, 1.0, 0, 0.0
90785, 78, 76, 1.0, 0, 0.0
90785, 96, 7, 1.0, 0, 0.0
90785, 94, 94, 1.0, 0, 0.0
90785, 96, 99, 1.0, 0, 0.0
90785, 48, 29, 1.0, 0, 0.0
90785, 80, 55, 1.0, 0, 0.0
90785, 44, 65, 1.0, 0, 0.0
90785, 76, 64, 1.0, 0, 0.0
90785, 96, 68, 1.0, 0, 0.0
90785, 76, 88, 1.0, 0, 0.0
90785, 78, 84, 1.0, 0, 0.0
90785, 94, 4, 1.0, 0, 0.0
90785, 80, 96, 1.0, 0, 0.0
90785, 76, 28, 1.0, 0, 0.0
90785, 96, 65, 1.0, 0, 0.0
90785, 76, 27, 1.0, 0, 0.0
90785, 80, 53, 0.0, 1, 1.0
90785, 76, 10, 1.0, 0, 0.0
90785, 96, 14, 1.0, 0, 0.0
90785, 76, 41, 1.0, 0, 0.0
90785, 48, 78, 1.0, 0, 0.0
90785, 76, 75, 1.0, 0, 0.0
90785, 30, 37, 1.0, 0, 0.0
90785, 96, 94, 1.0, 0, 0.0
90785, 76, 57, 1.0, 0, 0.0
90785, 80, 29, 1.0, 0, 0.0
90785, 94, 62, 1.0, 0, 0.0
90785, 96, 4, 0.0, 1, 1.0
90785, 76, 39, 1.0, 0, 0.0
90785, 78, 38, 1.0, 0, 0.0
90785, 76, 71, 1.0, 0, 0.0
90785, 96, 62, 1.0, 0, 0.0
90785, 76, 85, 1.0, 0, 0.0
90785, 96, 46, 1.0, 0, 0.0
