Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
12876, 32, 3, 0.0, 1, 1.0
12876, 65, 2, 0.0, 1, 1.0
12876, 32, 2, 0.0, 1, 1.0
12876, 32, 1, 0.0, 1, 1.0
12876, 65, 1, 1.0, 0, 0.0
12876, 26, 4, 0.0, 1, 1.0
12876, 94, 1, 0.0, 1, 1.0
12876, 13, 5, 0.0, 1, 1.0
12876, 85, 4, 0.0, 1, 1.0
12876, 34, 2, 0.0, 1, 1.0
12876, 46, 5, 0.0, 1, 1.0
12876, 88, 1, 0.0, 1, 1.0
12876, 36, 4, 0.0, 1, 1.0
12876, 36, 5, 1.0, 0, 0.0
12876, 36, 3, 0.0, 1, 1.0
12876, 36, 2, 0.0, 1, 1.0
12876, 26, 5, 0.0, 1, 1.0
12876, 36, 1, 1.0, 0, 0.0
12876, 13, 3, 0.0, 1, 1.0
12876, 98, 5, 0.0, 1, 1.0
12876, 58, 4, 0.0, 1, 1.0
12876, 85, 5, 0.0, 1, 1.0
12876, 26, 3, 0.0, 1, 1.0
12876, 13, 2, 0.0, 1, 1.0
12876, 62, 1, 0.0, 1, 1.0
12876, 21, 4, 0.0, 1, 1.0
12876, 3, 4, 0.0, 1, 1.0
12876, 98, 3, 0.0, 1, 1.0
12876, 34, 1, 0.0, 1, 1.0
12876, 26, 2, 0.0, 1, 1.0
12876, 13, 1, 0.0, 1, 1.0
12876, 97, 1, 0.0, 1, 1.0
12876, 85, 3, 0.0, 1, 1.0
12876, 78, 4, 0.0, 1, 1.0
12876, 26, 1, 0.0, 1, 1.0
12876, 98, 2, 0.0, 1, 1.0
12876, 46, 3, 0.0, 1, 1.0
12876, 64, 4, 0.0, 1, 1.0
12876, 42, 4, 0.0, 1, 1.0
12876, 85, 2, 0.0, 1, 1.0
12876, 98, 1, 0.0, 1, 1.0
12876, 3, 5, 0.0, 1, 1.0
12876, 42, 5, 0.0, 1, 1.0
12876, 59, 1, 0.0, 1, 1.0
12876, 42, 3, 0.0, 1, 1.0
12876, 85, 1, 0.0, 1, 1.0
12876, 42, 2, 0.0, 1, 1.0
12876, 58, 5, 0.0, 1, 1.0
12876, 42, 1, 0.0, 1, 1.0
12876, 64, 5, 0.0, 1, 1.0
12876, 3, 3, 0.0, 1, 1.0
12876, 46, 2, 0.0, 1, 1.0
12876, 33, 4, 0.0, 1, 1.0
12876, 1, 1, 0.0, 1, 1.0
12876, 91, 4, 0.0, 1, 1.0
12876, 69, 4, 0.0, 1, 1.0
12876, 54, 4, 0.0, 1, 1.0
12876, 3, 2, 0.0, 1, 1.0
12876, 64, 3, 0.0, 1, 1.0
12876, 46, 1, 0.0, 1, 1.0
12876, 21, 5, 0.0, 1, 1.0
12876, 78, 5, 0.0, 1, 1.0
12876, 3, 1, 0.0, 1, 1.0
12876, 58, 3, 0.0, 1, 1.0
12876, 69, 5, 1.0, 0, 0.0
