Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
4532, 36, 4, 1.0, 0, -10.0
4532, 36, 5, 1.0, 0, 100.0
4532, 36, 3, 0.0, 1, 95.0
4532, 36, 2, 0.0, 1, 94.0
4532, 36, 1, 0.0, 1, 94.0
4532, 78, 4, 0.0, 1, 75.0
4532, 78, 5, 0.0, 1, 68.0
4532, 32, 3, 0.0, 1, 96.0
4532, 32, 2, 0.0, 1, 96.0
4532, 32, 1, 0.0, 1, 94.0
4532, 85, 4, 0.0, 1, 85.0
4532, 65, 1, 0.0, 1, 92.0
4532, 85, 5, 0.0, 1, 83.0
4532, 85, 3, 0.0, 1, 70.0
4532, 85, 2, 0.0, 1, 86.0
4532, 21, 4, 0.0, 1, 75.0
4532, 85, 1, 0.0, 1, 78.0
4532, 3, 4, 0.0, 1, 82.0
4532, 100, 4, 0.0, 1, 75.0
4532, 78, 3, 0.0, 1, 43.0
4532, 3, 5, 0.0, 1, 78.0
4532, 91, 5, 0.0, 1, 51.0
4532, 3, 3, 0.0, 1, 62.0
4532, 21, 5, 0.0, 1, 68.0
4532, 100, 5, 0.0, 1, 70.0
4532, 3, 2, 0.0, 1, 83.0
4532, 34, 1, 0.0, 1, 72.0
4532, 78, 2, 0.0, 1, 74.0
4532, 3, 1, 0.0, 1, 72.0
4532, 42, 4, 0.0, 1, 89.0
4532, 42, 5, 0.0, 1, 86.0
4532, 96, 4, 0.0, 1, 63.0
4532, 42, 3, 0.0, 1, 77.0
4532, 21, 3, 0.0, 1, 43.0
4532, 42, 2, 0.0, 1, 89.0
4532, 42, 1, 0.0, 1, 82.0
4532, 100, 3, 0.0, 1, 45.0
4532, 69, 4, 0.0, 1, 79.0
4532, 30, 4, 0.0, 1, 72.0
4532, 78, 1, 0.0, 1, 60.0
4532, 98, 5, 0.0, 1, 84.0
4532, 69, 5, 0.0, 1, 74.0
4532, 21, 2, 0.0, 1, 74.0
4532, 98, 3, 0.0, 1, 72.0
4532, 100, 2, 0.0, 1, 76.0
4532, 98, 2, 0.0, 1, 87.0
4532, 19, 4, 0.0, 1, 81.0
4532, 98, 1, 0.0, 1, 78.0
4532, 69, 3, 0.0, 1, 56.0
4532, 83, 2, 0.0, 1, 51.0
4532, 14, 2, 0.0, 1, 46.0
4532, 19, 5, 0.0, 1, 78.0
4532, 30, 5, 0.0, 1, 66.0
4532, 46, 3, 0.0, 1, 59.0
4532, 69, 2, 0.0, 1, 80.0
4532, 19, 3, 0.0, 1, 59.0
4532, 21, 1, 0.0, 1, 60.0
4532, 100, 1, 0.0, 1, 61.0
4532, 46, 2, 0.0, 1, 81.0
4532, 19, 2, 0.0, 1, 82.0
4532, 91, 3, 0.0, 1, 11.0
4532, 69, 1, 0.0, 1, 67.0
4532, 96, 5, 0.0, 1, 54.0
4532, 17, 5, 0.0, 1, 34.0
4532, 76, 4, 0.0, 1, 89.0
4532, 76, 5, 0.0, 1, 86.0
4532, 33, 5, 0.0, 1, 57.0
4532, 46, 1, 0.0, 1, 69.0
4532, 76, 3, 0.0, 1, 77.0
4532, 16, 2, 0.0, 1, 62.0
4532, 19, 1, 0.0, 1, 71.0
4532, 76, 2, 0.0, 1, 89.0
4532, 76, 1, 0.0, 1, 82.0
4532, 30, 3, 0.0, 1, 38.0
4532, 97, 4, 0.0, 1, 75.0
4532, 88, 4, 0.0, 1, 85.0
4532, 88, 5, 0.0, 1, 83.0
4532, 88, 3, 0.0, 1, 70.0
4532, 26, 5, 0.0, 1, 86.0
4532, 1, 1, 0.0, 1, 56.0
4532, 57, 4, 0.0, 1, 50.0
4532, 54, 4, 0.0, 1, 78.0
4532, 26, 3, 0.0, 1, 75.0
4532, 88, 2, 0.0, 1, 86.0
4532, 26, 2, 0.0, 1, 88.0
4532, 88, 1, 0.0, 1, 78.0
4532, 60, 4, 0.0, 1, 55.0
4532, 26, 1, 0.0, 1, 80.0
4532, 97, 5, 0.0, 1, 68.0
4532, 84, 4, 0.0, 1, 67.0
4532, 54, 5, 0.0, 1, 76.0
4532, 38, 4, 0.0, 1, 60.0
4532, 30, 2, 0.0, 1, 72.0
4532, 91, 4, 0.0, 1, 61.0
4532, 54, 3, 0.0, 1, 54.0
4532, 97, 3, 0.0, 1, 43.0
4532, 33, 3, 0.0, 1, 23.0
4532, 54, 2, 0.0, 1, 80.0
4532, 96, 3, 0.0, 1, 18.0
4532, 30, 1, 0.0, 1, 55.0
4532, 73, 1, 0.0, 1, 41.0
4532, 54, 1, 0.0, 1, 66.0
4532, 2, 3, 0.0, 0, -90.0
4532, 97, 2, 0.0, 1, 74.0
4532, 91, 2, 0.0, 1, 63.0
4532, 13, 3, 0.0, 1, 75.0
4532, 84, 5, 0.0, 1, 58.0
4532, 58, 5, 0.0, 1, 71.0
4532, 71, 3, 0.0, 0, -90.0
4532, 13, 2, 0.0, 1, 88.0
4532, 13, 1, 0.0, 1, 80.0
4532, 81, 2, 0.0, 1, 55.0
4532, 16, 1, 0.0, 1, 38.0
4532, 64, 4, 0.0, 1, 81.0
4532, 99, 3, 0.0, 0, -90.0
4532, 87, 2, 0.0, 1, 65.0
4532, 58, 3, 0.0, 1, 50.0
4532, 61, 4, 0.0, 1, 53.0
4532, 97, 1, 0.0, 1, 60.0
4532, 64, 5, 0.0, 1, 78.0
4532, 28, 3, 0.0, 1, 15.0
4532, 40, 4, 0.0, 1, 64.0
4532, 35, 4, 0.0, 1, 52.0
4532, 64, 3, 0.0, 1, 59.0
4532, 38, 5, 0.0, 1, 51.0
4532, 74, 4, 0.0, 1, 89.0
4532, 33, 2, 0.0, 1, 67.0
4532, 74, 5, 0.0, 1, 88.0
4532, 58, 2, 0.0, 1, 78.0
4532, 92, 2, 0.0, 1, 50.0
4532, 74, 3, 0.0, 1, 79.0
4532, 64, 2, 0.0, 1, 82.0
4532, 74, 2, 0.0, 1, 91.0
4532, 90, 4, 0.0, 1, 48.0
4532, 74, 1, 0.0, 1, 83.0
4532, 64, 1, 0.0, 1, 71.0
4532, 58, 1, 0.0, 1, 64.0
4532, 96, 2, 0.0, 1, 65.0
4532, 84, 3, 0.0, 1, 25.0
4532, 9, 4, 0.0, 1, 94.0
4532, 60, 5, 0.0, 1, 45.0
4532, 9, 5, 0.0, 1, 93.0
4532, 9, 3, 0.0, 1, 87.0
4532, 9, 2, 0.0, 1, 94.0
4532, 9, 1, 0.0, 1, 89.0
4532, 77, 4, 0.0, 1, 57.0
4532, 47, 4, 0.0, 1, 70.0
4532, 91, 1, 0.0, 1, 38.0
4532, 87, 1, 0.0, 1, 43.0
4532, 83, 1, 0.0, 1, 18.0
4532, 40, 5, 0.0, 1, 56.0
4532, 18, 4, 0.0, 1, 65.0
4532, 10, 4, 0.0, 1, 48.0
4532, 33, 1, 0.0, 1, 46.0
4532, 57, 5, 0.0, 1, 38.0
4532, 23, 1, 0.0, 1, 20.0
4532, 47, 5, 0.0, 1, 62.0
4532, 28, 2, 0.0, 1, 63.0
4532, 31, 4, 0.0, 1, 54.0
4532, 24, 4, 0.0, 1, 90.0
4532, 84, 2, 0.0, 1, 68.0
4532, 24, 5, 0.0, 1, 90.0
4532, 24, 3, 0.0, 1, 81.0
4532, 38, 3, 0.0, 1, 11.0
4532, 24, 2, 0.0, 1, 90.0
4532, 17, 3, 0.0, 0, -90.0
4532, 24, 1, 0.0, 1, 85.0
4532, 94, 4, 0.0, 1, 86.0
4532, 96, 1, 0.0, 1, 42.0
4532, 94, 5, 0.0, 1, 84.0
4532, 80, 4, 0.0, 1, 77.0
4532, 94, 3, 0.0, 1, 72.0
4532, 6, 4, 0.0, 1, 74.0
4532, 94, 2, 1.0, 0, 85.0
4532, 18, 5, 0.0, 1, 57.0
4532, 37, 4, 0.0, 1, 50.0
4532, 94, 1, 0.0, 1, 78.0
