Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
5698, 94, 4, 0.0, 1, 99.0
5698, 94, 5, 0.0, 1, 82.0
5698, 94, 3, 0.0, 1, 82.0
5698, 94, 2, 0.0, 1, 87.0
5698, 94, 1, 0.0, 1, 94.0
5698, 36, 4, 0.0, 1, 100.0
5698, 36, 5, 0.0, 1, 97.0
5698, 36, 3, 1.0, 0, -10.0
5698, 36, 2, 0.0, 1, 99.0
5698, 36, 1, 0.0, 1, 100.0
5698, 78, 3, 0.0, 1, 72.0
5698, 48, 1, 0.0, 1, 95.0
5698, 80, 2, 0.0, 1, 77.0
5698, 78, 4, 0.0, 1, 98.0
5698, 85, 1, 0.0, 1, 94.0
5698, 44, 4, 0.0, 1, 99.0
5698, 78, 2, 0.0, 1, 75.0
5698, 76, 5, 0.0, 1, 86.0
5698, 44, 5, 0.0, 1, 76.0
5698, 76, 3, 0.0, 1, 88.0
5698, 76, 2, 0.0, 1, 90.0
5698, 80, 1, 0.0, 1, 91.0
5698, 78, 5, 0.0, 1, 66.0
5698, 44, 3, 0.0, 1, 80.0
5698, 76, 1, 0.0, 1, 95.0
5698, 88, 4, 0.0, 1, 99.0
5698, 38, 3, 0.0, 1, 57.0
5698, 44, 2, 0.0, 1, 82.0
5698, 88, 5, 0.0, 1, 82.0
5698, 88, 3, 0.0, 1, 85.0
5698, 30, 3, 0.0, 1, 69.0
5698, 88, 2, 0.0, 1, 87.0
5698, 44, 1, 0.0, 1, 93.0
5698, 65, 4, 0.0, 1, 100.0
5698, 65, 5, 0.0, 1, 97.0
5698, 65, 3, 0.0, 1, 94.0
5698, 65, 2, 0.0, 1, 97.0
5698, 65, 1, 0.0, 1, 96.0
5698, 78, 1, 0.0, 1, 90.0
5698, 88, 1, 0.0, 1, 94.0
5698, 93, 2, 0.0, 1, 65.0
5698, 19, 4, 0.0, 1, 96.0
5698, 3, 4, 0.0, 1, 99.0
5698, 29, 4, 0.0, 1, 98.0
5698, 69, 5, 0.0, 1, 73.0
5698, 3, 5, 0.0, 1, 77.0
5698, 19, 5, 0.0, 1, 75.0
5698, 43, 1, 0.0, 1, 89.0
5698, 86, 4, 0.0, 1, 100.0
5698, 86, 5, 1.0, 0, 99.0
5698, 86, 3, 1.0, 0, 94.0
5698, 86, 2, 0.0, 1, 98.0
5698, 86, 1, 0.0, 1, 100.0
5698, 69, 3, 0.0, 1, 78.0
5698, 30, 2, 0.0, 1, 72.0
5698, 3, 3, 0.0, 1, 82.0
5698, 21, 4, 0.0, 1, 98.0
5698, 19, 3, 0.0, 1, 79.0
5698, 6, 2, 0.0, 1, 78.0
5698, 29, 5, 0.0, 1, 68.0
5698, 3, 2, 0.0, 1, 82.0
5698, 69, 2, 0.0, 1, 79.0
5698, 19, 2, 0.0, 1, 83.0
5698, 96, 4, 0.0, 1, 97.0
5698, 3, 1, 0.0, 1, 94.0
5698, 21, 5, 0.0, 1, 66.0
5698, 29, 3, 0.0, 1, 74.0
5698, 19, 1, 0.0, 1, 93.0
5698, 69, 1, 0.0, 1, 92.0
5698, 6, 1, 0.0, 1, 91.0
5698, 56, 4, 0.0, 1, 99.0
5698, 56, 5, 0.0, 1, 93.0
5698, 60, 2, 0.0, 1, 54.0
5698, 56, 3, 0.0, 1, 92.0
5698, 56, 2, 0.0, 1, 95.0
5698, 56, 1, 0.0, 1, 99.0
5698, 98, 4, 0.0, 1, 99.0
5698, 18, 4, 0.0, 1, 94.0
5698, 98, 5, 0.0, 1, 82.0
5698, 30, 1, 0.0, 1, 90.0
5698, 98, 3, 0.0, 1, 84.0
5698, 21, 3, 0.0, 1, 72.0
5698, 98, 2, 0.0, 1, 87.0
5698, 29, 2, 0.0, 1, 73.0
5698, 38, 2, 0.0, 1, 58.0
5698, 98, 1, 0.0, 1, 94.0
5698, 84, 1, 0.0, 1, 88.0
5698, 93, 1, 0.0, 1, 88.0
5698, 97, 4, 0.0, 1, 98.0
5698, 45, 5, 0.0, 1, 47.0
5698, 82, 5, 0.0, 1, 89.0
5698, 82, 3, 0.0, 1, 90.0
5698, 82, 2, 0.0, 1, 92.0
5698, 82, 1, 0.0, 1, 96.0
5698, 5, 3, 0.0, 1, 94.0
5698, 5, 2, 0.0, 1, 97.0
5698, 5, 1, 0.0, 1, 96.0
5698, 30, 4, 0.0, 1, 97.0
5698, 21, 2, 0.0, 1, 75.0
5698, 68, 1, 0.0, 1, 88.0
5698, 11, 4, 0.0, 1, 97.0
5698, 29, 1, 0.0, 1, 91.0
5698, 97, 5, 0.0, 1, 66.0
5698, 64, 1, 0.0, 1, 93.0
5698, 52, 4, 0.0, 1, 99.0
5698, 52, 5, 0.0, 1, 91.0
5698, 52, 3, 0.0, 1, 91.0
5698, 52, 2, 0.0, 1, 92.0
5698, 34, 4, 0.0, 1, 99.0
5698, 52, 1, 0.0, 1, 99.0
5698, 8, 4, 0.0, 1, 97.0
5698, 55, 3, 0.0, 1, 55.0
5698, 96, 5, 0.0, 1, 49.0
5698, 34, 5, 0.0, 1, 77.0
5698, 72, 4, 0.0, 1, 97.0
5698, 18, 5, 0.0, 1, 53.0
5698, 53, 4, 0.0, 1, 97.0
5698, 59, 4, 0.0, 1, 94.0
5698, 97, 3, 0.0, 1, 72.0
5698, 34, 3, 0.0, 1, 82.0
5698, 21, 1, 0.0, 1, 90.0
5698, 30, 5, 0.0, 1, 61.0
5698, 76, 4, 0.0, 1, 99.0
5698, 16, 4, 0.0, 1, 94.0
5698, 34, 2, 0.0, 1, 82.0
5698, 8, 5, 0.0, 1, 65.0
5698, 34, 1, 0.0, 1, 94.0
5698, 42, 4, 0.0, 1, 99.0
5698, 53, 5, 0.0, 1, 65.0
5698, 97, 2, 0.0, 1, 75.0
5698, 63, 3, 0.0, 1, 41.0
5698, 42, 5, 0.0, 1, 86.0
5698, 27, 4, 0.0, 1, 95.0
5698, 42, 3, 0.0, 1, 88.0
5698, 59, 5, 0.0, 1, 64.0
5698, 45, 3, 0.0, 1, 59.0
5698, 42, 2, 0.0, 1, 90.0
5698, 47, 4, 0.0, 1, 97.0
5698, 42, 1, 0.0, 1, 95.0
5698, 10, 3, 0.0, 1, 43.0
5698, 89, 4, 0.0, 1, 96.0
5698, 8, 3, 0.0, 1, 71.0
5698, 11, 5, 0.0, 1, 55.0
