Environment,Task,Seed,Bin,InaccuracyType,Steps,TerminationReason,BugFound,Timestep_Count,Task_Dir
Env_44,Task_47,11223,100_Bin,accurate,1014,Crashed,True,1234,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/11223/Env_44/Task_47
Env_44,Task_50,11223,100_Bin,accurate,1170,Crashed,True,1234,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/11223/Env_44/Task_50
Env_47,Task_79,11223,100_Bin,accurate,173,Crashed,True,719,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/11223/Env_47/Task_79
Env_5,Task_86,11223,100_Bin,accurate,146,Crashed,True,361,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/11223/Env_5/Task_86
Env_6,Task_36,11223,100_Bin,accurate,1385,Crashed,True,1600,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/11223/Env_6/Task_36
Env_6,Task_37,11223,100_Bin,accurate,1139,Crashed,True,1600,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/11223/Env_6/Task_37
Env_88,Task_87,11223,100_Bin,accurate,114,Crashed,True,1259,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/11223/Env_88/Task_87
Env_88,Task_88,11223,100_Bin,accurate,1131,Crashed,True,1259,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/11223/Env_88/Task_88
Env_16,Task_12,12876,100_Bin,accurate,324,Crashed,True,697,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_16/Task_12
Env_16,Task_23,12876,100_Bin,accurate,590,Crashed,True,697,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_16/Task_23
Env_28,Task_30,12876,100_Bin,accurate,1229,Crashed,True,1913,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_28/Task_30
Env_54,Task_3,12876,100_Bin,accurate,212,Crashed,True,544,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_54/Task_3
Env_54,Task_42,12876,100_Bin,accurate,447,Crashed,True,544,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_54/Task_42
Env_83,Task_16,12876,100_Bin,accurate,1467,Crashed,True,1542,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_83/Task_16
Env_84,Task_56,12876,100_Bin,accurate,433,Crashed,True,445,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_84/Task_56
Env_84,Task_57,12876,100_Bin,accurate,213,Crashed,True,445,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_84/Task_57
Env_84,Task_59,12876,100_Bin,accurate,432,Crashed,True,445,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_84/Task_59
Env_84,Task_60,12876,100_Bin,accurate,432,Crashed,True,445,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/12876/Env_84/Task_60
Env_13,Task_61,15098,100_Bin,accurate,255,Crashed,True,377,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_13/Task_61
Env_33,Task_43,15098,100_Bin,accurate,62,Crashed,True,112,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_33/Task_43
Env_33,Task_44,15098,100_Bin,accurate,70,Crashed,True,112,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_33/Task_44
Env_33,Task_48,15098,100_Bin,accurate,74,Crashed,True,112,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_33/Task_48
Env_69,Task_63,15098,100_Bin,accurate,291,Crashed,True,737,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_69/Task_63
Env_69,Task_74,15098,100_Bin,accurate,226,Crashed,True,737,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_69/Task_74
Env_71,Task_40,15098,100_Bin,accurate,184,Crashed,True,1032,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/15098/Env_71/Task_40
Env_17,Task_53,21456,100_Bin,accurate,262,Crashed,True,416,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_17/Task_53
Env_3,Task_17,21456,100_Bin,accurate,527,Crashed,True,1357,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_3/Task_17
Env_3,Task_52,21456,100_Bin,accurate,561,Crashed,True,1357,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_3/Task_52
Env_42,Task_34,21456,100_Bin,accurate,753,Crashed,True,1146,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_42/Task_34
Env_42,Task_37,21456,100_Bin,accurate,449,Crashed,True,1146,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_42/Task_37
Env_42,Task_4,21456,100_Bin,accurate,334,Crashed,True,1146,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_42/Task_4
Env_87,Task_18,21456,100_Bin,accurate,73,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_18
Env_87,Task_19,21456,100_Bin,accurate,57,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_19
Env_87,Task_22,21456,100_Bin,accurate,62,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_22
Env_87,Task_32,21456,100_Bin,accurate,48,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_32
Env_87,Task_36,21456,100_Bin,accurate,54,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_36
Env_87,Task_39,21456,100_Bin,accurate,53,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_39
Env_87,Task_50,21456,100_Bin,accurate,51,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_50
Env_87,Task_51,21456,100_Bin,accurate,73,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_51
Env_87,Task_56,21456,100_Bin,accurate,58,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_56
Env_87,Task_77,21456,100_Bin,accurate,72,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_77
Env_87,Task_78,21456,100_Bin,accurate,59,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_78
Env_87,Task_86,21456,100_Bin,accurate,49,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_86
Env_87,Task_88,21456,100_Bin,accurate,70,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_88
Env_87,Task_90,21456,100_Bin,accurate,52,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_90
Env_87,Task_99,21456,100_Bin,accurate,58,Crashed,True,97,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/21456/Env_87/Task_99
Env_5,Task_36,22589,100_Bin,accurate,459,Crashed,True,555,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_5/Task_36
Env_5,Task_4,22589,100_Bin,accurate,359,Crashed,True,555,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_5/Task_4
Env_5,Task_48,22589,100_Bin,accurate,437,Crashed,True,555,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_5/Task_48
Env_5,Task_53,22589,100_Bin,accurate,451,Crashed,True,555,/scratch/projects/AIProbe-Main/Result/FlappyBird/Flappybird/Approch_1/100_Bin/22589/Env_5/Task_53
