agent_x,agent_y,pipe_gap,timestep_count
61,351,135,5266
98,385,229,7526
66,50,192,8939
33,354,139,4420
82,17,91,5537
60,263,214,6956
8,145,137,4363
4,86,108,8031
105,54,76,1890
34,59,187,8812
41,312,206,3752
108,225,56,2762
3,352,39,3204
68,47,129,2841
12,216,95,3543
98,260,235,1625
27,188,151,8514
58,319,167,4933
105,301,93,3735
80,225,177,2844
12,284,21,1697
58,122,225,7184
109,246,41,4577
73,63,185,5715
68,23,98,6583
92,79,126,4602
82,117,212,4434
86,85,223,9491
42,89,247,2632
18,97,192,2268
53,326,21,4282
57,102,168,2810
97,161,183,9395
111,327,238,4260
47,50,121,9605
110,194,211,4321
52,173,58,1182
111,88,248,6565
29,349,215,2589
36,240,121,2671
52,30,70,826
32,121,24,1128
50,294,160,362
32,47,241,2965
101,138,43,6613
110,160,114,3855
47,356,41,5736
112,6,169,1433
73,85,161,3049
36,168,127,3603
85,24,46,2552
98,371,189,117
13,204,157,8327
112,133,59,9440
52,100,202,5281
66,233,232,3794
35,66,129,7323
100,200,197,3627
100,232,139,6971
78,47,247,2669
7,345,235,3263
49,302,241,4037
89,164,35,4457
8,226,87,3430
83,315,128,807
60,346,202,435
66,152,152,4044
3,304,167,9628
72,304,202,3261
42,371,96,2656
12,59,159,212
66,91,21,4711
20,338,85,7953
85,243,55,5675
11,146,185,9109
95,19,158,1029
44,28,248,4832
22,91,66,9890
92,194,86,6496
89,390,67,8004
46,86,190,716
18,229,138,4556
39,163,229,3256
34,311,110,8270
88,14,79,5950
31,271,63,7373
46,217,190,5607
89,127,230,294
34,322,22,6631
42,264,86,7888
6,100,222,1189
23,216,104,9066
40,124,247,6177
8,174,119,3016
12,356,188,9298
17,172,165,5555
108,347,94,7389
76,394,148,5527
92,155,141,9243
47,277,133,2634
38,393,230,2162
9,288,215,2980
58,333,235,3286
98,217,24,1193
4,197,50,6396
40,169,21,9299
52,370,173,9412
102,331,172,4348
103,170,139,1791
26,348,251,8981
88,109,61,3853
72,298,86,4756
64,315,204,2311
27,107,104,7077
56,80,228,4836
104,53,247,4973
10,334,80,6635
1,212,248,3252
68,165,60,7189
7,206,114,1610
66,205,152,6075
36,216,117,2473
95,127,125,9677
15,266,226,4482
53,225,243,326
39,150,104,8887
25,315,75,3100
6,40,138,4520
28,294,182,7886
44,139,68,2769
70,202,232,9593
98,329,22,1283
47,343,116,7012
17,335,78,7388
23,173,148,7972
58,100,217,6147
24,196,144,5914
10,78,27,4867
32,338,226,2134
21,29,55,1268
47,68,177,1671
3,375,85,293
87,326,113,7858
102,78,31,377
67,52,141,3214
101,330,130,9541
55,348,214,7701
76,293,152,7353
102,297,186,1927
17,38,207,1816
91,391,76,549
6,55,177,7629
