Task_Dir,Solved,Time_Taken
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5427,False,8193.04
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5429,False,1246.04
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_543,False,1.2
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5430,False,121.64
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5432,False,802.45
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5433,False,176.72
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5434,False,101.69
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5436,False,1889.82
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5437,False,7379.1
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5439,False,1.78
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5440,False,9073.17
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5442,False,164.9
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5443,False,1062.03
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5498,False,183.42
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5571,False,229.25
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5572,False,202.83
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5573,False,296.93
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5574,False,1.69
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5575,False,2365.73
/scratch/projects/AIProbe-Main/AIProbe/Catcher_Flappy_Continuous/state_coverage_analysis/configurations/configurations/config_5577,False,16525.45
