ConfigIndex,InaccuracyType,Steps,TerminationReason,BugFound
config_5498,accurate,57,Crashed,True
config_5426,accurate,7525,Complete,False
config_5427,accurate,5069,Crashed,True
config_5428,accurate,5805,Complete,False
config_5429,accurate,2366,Crashed,True
config_543,accurate,4,Crashed,True
config_5430,accurate,52,Crashed,True
config_5431,accurate,3296,Complete,False
config_5432,accurate,288,Crashed,True
config_5433,accurate,68,Crashed,True
config_5434,accurate,34,Crashed,True
config_5435,accurate,4781,Complete,False
config_5436,accurate,1221,Crashed,True
config_5437,accurate,2724,Crashed,True
config_5438,accurate,1782,Complete,False
config_5439,accurate,3,Crashed,True
config_544,accurate,6402,Complete,False
config_5440,accurate,2918,Crashed,True
config_5441,accurate,996,Complete,False
config_5442,accurate,26,Crashed,True
config_5443,accurate,97,Crashed,True
config_5624,accurate,236,Crashed,True
config_5625,accurate,440,Crashed,True
config_5626,accurate,1717,Complete,False
config_5627,accurate,1114,Crashed,True
config_5628,accurate,1,Crashed,True
config_5629,accurate,8,Crashed,True
config_563,accurate,2795,Complete,False
config_5630,accurate,3322,Crashed,True
config_5631,accurate,243,Crashed,True
config_5632,accurate,3,Crashed,True
config_5633,accurate,63,Crashed,True
config_5634,accurate,57,Crashed,True
config_5635,accurate,3476,Crashed,True
config_5636,accurate,2131,Crashed,True
config_5637,accurate,8091,Crashed,True
config_5638,accurate,1250,Crashed,True
config_5639,accurate,42,Crashed,True
config_564,accurate,52,Crashed,True
config_5640,accurate,480,Crashed,True
config_5641,accurate,59,Crashed,True
config_5697,accurate,1,Crashed,True
config_5698,accurate,3910,Crashed,True
config_5699,accurate,616,Complete,False
config_57,accurate,78,Crashed,True
config_570,accurate,48,Crashed,True
config_5700,accurate,16,Crashed,True
config_5701,accurate,1253,Complete,False
config_5702,accurate,1,Crashed,True
config_5703,accurate,34,Crashed,True
config_5704,accurate,477,Crashed,True
config_5705,accurate,66,Crashed,True
config_5706,accurate,549,Crashed,True
config_5707,accurate,191,Complete,False
config_5708,accurate,1078,Complete,False
config_5709,accurate,3479,Complete,False
config_571,accurate,4755,Crashed,True
config_5710,accurate,16,Crashed,True
config_5711,accurate,77,Complete,False
config_5712,accurate,9490,Complete,False
config_5713,accurate,2,Crashed,True
config_5840,accurate,68,Crashed,True
config_5841,accurate,56,Crashed,True
config_5842,accurate,1,Crashed,True
config_5843,accurate,2,Crashed,True
config_5844,accurate,541,Crashed,True
config_5845,accurate,9,Crashed,True
config_5846,accurate,7,Crashed,True
config_5847,accurate,1774,Crashed,True
config_5848,accurate,2,Crashed,True
config_5849,accurate,371,Crashed,True
config_585,accurate,3030,Crashed,True
config_5850,accurate,12,Crashed,True
config_5851,accurate,20,Crashed,True
config_5852,accurate,60,Crashed,True
config_5853,accurate,2343,Complete,False
config_5854,accurate,78,Crashed,True
config_5855,accurate,466,Crashed,True
config_5856,accurate,66,Crashed,True
config_5857,accurate,3111,Complete,False
config_5858,accurate,16,Crashed,True
config_5859,accurate,1023,Complete,False
config_586,accurate,1,Crashed,True
config_5860,accurate,46,Crashed,True
config_5861,accurate,859,Crashed,True
config_5862,accurate,214,Complete,False
config_5863,accurate,54,Crashed,True
config_5864,accurate,452,Crashed,True
config_5865,accurate,439,Crashed,True
config_5866,accurate,976,Crashed,True
config_5867,accurate,141,Crashed,True
config_5868,accurate,1178,Complete,False
config_5869,accurate,1423,Crashed,True
config_587,accurate,450,Crashed,True
config_5870,accurate,361,Complete,False
config_5871,accurate,242,Crashed,True
config_5872,accurate,518,Crashed,True
config_5873,accurate,815,Complete,False
config_5874,accurate,5,Crashed,True
config_5875,accurate,1012,Crashed,True
config_5876,accurate,1467,Crashed,True
config_5714,accurate,64,Crashed,True
config_5715,accurate,2,Crashed,True
config_5716,accurate,4841,Crashed,True
config_5717,accurate,545,Complete,False
config_5718,accurate,1906,Crashed,True
config_5719,accurate,2133,Crashed,True
config_572,accurate,75,Complete,False
config_5720,accurate,6223,Crashed,True
config_5721,accurate,459,Crashed,True
config_5722,accurate,57,Crashed,True
config_5723,accurate,974,Crashed,True
config_5724,accurate,1700,Crashed,True
config_5725,accurate,2908,Complete,False
config_5726,accurate,440,Crashed,True
config_5727,accurate,243,Crashed,True
config_5728,accurate,483,Crashed,True
config_5729,accurate,1851,Complete,False
config_573,accurate,238,Crashed,True
config_5730,accurate,252,Crashed,True
config_5731,accurate,210,Crashed,True
config_5679,accurate,96,Crashed,True
config_568,accurate,3112,Crashed,True
config_5680,accurate,3530,Crashed,True
config_5681,accurate,873,Crashed,True
config_5682,accurate,1683,Crashed,True
config_5683,accurate,128,Crashed,True
config_5684,accurate,800,Crashed,True
config_5685,accurate,3,Crashed,True
config_5686,accurate,5758,Crashed,True
config_5687,accurate,56,Crashed,True
config_5688,accurate,38,Crashed,True
config_5689,accurate,68,Crashed,True
config_569,accurate,2650,Crashed,True
config_5690,accurate,258,Crashed,True
config_5691,accurate,1,Crashed,True
config_5692,accurate,1,Crashed,True
config_5693,accurate,59,Crashed,True
config_5694,accurate,1,Crashed,True
config_5695,accurate,2466,Complete,False
config_5696,accurate,5365,Complete,False
config_5750,accurate,68,Crashed,True
config_5751,accurate,50,Crashed,True
config_5752,accurate,44,Crashed,True
config_5753,accurate,655,Complete,False
config_5754,accurate,864,Crashed,True
config_5755,accurate,76,Crashed,True
config_5756,accurate,64,Crashed,True
config_5757,accurate,32,Crashed,True
config_5758,accurate,4491,Crashed,True
config_5759,accurate,1917,Complete,False
config_576,accurate,6,Crashed,True
config_5760,accurate,9983,Complete,False
config_5761,accurate,68,Crashed,True
config_5762,accurate,3161,Crashed,True
config_5763,accurate,3382,Complete,False
config_5764,accurate,1244,Complete,False
config_5765,accurate,247,Crashed,True
config_5766,accurate,69,Crashed,True
config_5767,accurate,4,Crashed,True
config_5768,accurate,483,Crashed,True
config_5732,accurate,2042,Crashed,True
config_5733,accurate,8,Crashed,True
config_5734,accurate,6,Crashed,True
config_5735,accurate,235,Crashed,True
config_5736,accurate,8017,Complete,False
config_5737,accurate,2266,Complete,False
config_5738,accurate,2853,Crashed,True
config_5739,accurate,94,Crashed,True
config_574,accurate,1122,Complete,False
config_5740,accurate,40,Crashed,True
config_5741,accurate,4,Crashed,True
config_5742,accurate,246,Crashed,True
config_5743,accurate,28,Crashed,True
config_5744,accurate,75,Crashed,True
