SeedID,Environment,Task,Solved,UsedSeed,StepsOrNote,RuntimeSeconds
54321,Env_66,Task_88,True,10,64,0.06
32456,Env_45,Task_86,True,10,163,0.198
54321,Env_88,Task_21,True,10,104,0.134
61987,Env_19,Task_19,True,10,184,0.231
32456,Env_77,Task_63,True,10,157,0.293
61987,Env_19,Task_54,True,10,61,0.116
54321,Env_48,Task_47,True,10,303,0.364
22589,Env_9,Task_14,True,10,175,0.42
61987,Env_32,Task_24,True,10,90,0.097
32456,Env_25,Task_73,True,10,96,0.206
54321,Env_50,Task_96,True,10,272,0.518
22589,Env_29,Task_63,True,10,273,0.688
37012,Env_66,Task_54,True,10,101,0.69
32456,Env_28,Task_69,True,10,565,0.761
22589,Env_68,Task_8,True,10,267,0.919
22589,Env_86,Task_6,True,10,468,0.84
32456,Env_98,Task_36,True,10,153,1.282
32456,Env_30,Task_6,True,10,396,0.651
32456,Env_50,Task_66,True,10,174,1.538
32456,Env_95,Task_24,True,10,173,0.13
32456,Env_41,Task_5,True,10,172,1.821
32456,Env_95,Task_47,True,10,177,0.23
61987,Env_79,Task_17,True,10,147,2.324
22589,Env_28,Task_62,True,10,161,3.164
22589,Env_30,Task_98,True,10,174,0.207
22589,Env_8,Task_13,True,10,281,0.224
61987,Env_36,Task_30,True,10,175,3.708
32456,Env_4,Task_68,True,10,304,4.284
22589,Env_7,Task_59,True,10,183,4.587
54321,Env_6,Task_8,True,23,53,6.049
37012,Env_88,Task_80,True,23,70,6.181
37012,Env_7,Task_62,True,10,150,2.77
32456,Env_48,Task_78,True,10,91,7.497
37012,Env_35,Task_39,True,10,190,7.895
37012,Env_3,Task_41,True,10,162,1.433
32456,Env_44,Task_5,True,10,172,1.676
37012,Env_3,Task_2,True,10,612,0.88
54321,Env_50,Task_50,True,32,56,8.963
37012,Env_3,Task_90,True,10,283,0.284
32456,Env_57,Task_98,True,10,193,9.538
61987,Env_28,Task_82,True,10,325,10.81
22589,Env_74,Task_19,True,23,48,10.837
37012,Env_9,Task_67,True,10,147,16.097
54321,Env_51,Task_5,True,10,139,10.762
54321,Env_51,Task_13,True,10,172,0.462
32456,Env_41,Task_75,True,10,221,15.905
32456,Env_24,Task_80,True,10,237,4.364
37012,Env_88,Task_94,True,10,238,19.973
61987,Env_80,Task_52,True,10,210,29.665
37012,Env_9,Task_31,True,66,140,14.889
37012,Env_9,Task_29,True,10,208,0.141
37012,Env_78,Task_87,True,10,154,10.644
37012,Env_78,Task_91,True,10,275,0.216
32456,Env_37,Task_38,True,23,264,28.048
22589,Env_40,Task_46,True,10,301,40.749
22589,Env_40,Task_76,True,10,179,5.394
54321,Env_10,Task_59,False,,,46.832
54321,Env_57,Task_23,False,,,49.172
22589,Env_8,Task_65,True,10,265,46.6
54321,Env_37,Task_33,True,10,590,3.116
61987,Env_32,Task_47,False,,,56.677
54321,Env_77,Task_5,True,10,139,10.343
61987,Env_23,Task_43,True,10,262,58.09
54321,Env_50,Task_15,True,71203,149,48.795
