SeedID,Environment,Task,Solved,UsedSeed,StepsOrNote,RuntimeSeconds
54321,Env_66,Task_88,True,10,64,0.059
32456,Env_45,Task_86,True,10,163,0.191
54321,Env_88,Task_21,True,10,104,0.135
61987,Env_19,Task_19,True,10,184,0.272
32456,Env_77,Task_63,True,10,157,0.296
54321,Env_48,Task_47,True,10,303,0.366
61987,Env_19,Task_54,True,10,61,0.116
22589,Env_9,Task_14,True,10,175,0.46
61987,Env_32,Task_24,True,10,90,0.101
32456,Env_25,Task_73,True,10,96,0.208
54321,Env_50,Task_96,True,10,272,0.605
22589,Env_29,Task_63,True,10,273,0.687
37012,Env_66,Task_54,True,10,101,0.691
32456,Env_28,Task_69,True,10,565,0.73
22589,Env_68,Task_8,True,10,267,0.922
22589,Env_86,Task_6,True,10,468,0.837
32456,Env_30,Task_6,True,10,396,0.562
32456,Env_98,Task_36,True,10,153,1.301
32456,Env_41,Task_5,True,10,172,1.815
32456,Env_50,Task_66,True,10,174,1.99
32456,Env_95,Task_24,True,10,173,0.134
61987,Env_36,Task_30,True,10,175,2.326
61987,Env_79,Task_17,True,10,147,2.326
32456,Env_95,Task_47,True,10,177,0.234
22589,Env_28,Task_62,True,10,161,3.188
22589,Env_30,Task_98,True,10,174,0.25
32456,Env_4,Task_68,True,10,304,3.642
22589,Env_8,Task_13,True,10,281,0.276
22589,Env_7,Task_59,True,10,183,4.402
54321,Env_6,Task_8,True,23,53,6.29
37012,Env_7,Task_62,True,10,150,2.728
32456,Env_48,Task_78,True,10,91,6.739
37012,Env_88,Task_80,True,23,70,6.314
37012,Env_35,Task_39,True,10,190,7.691
37012,Env_3,Task_41,True,10,162,1.406
32456,Env_44,Task_5,True,10,172,1.649
37012,Env_3,Task_2,True,10,612,0.879
37012,Env_3,Task_90,True,10,283,0.3
54321,Env_50,Task_50,True,32,56,8.983
22589,Env_74,Task_19,True,23,48,9.637
61987,Env_28,Task_82,True,10,325,10.12
32456,Env_57,Task_98,True,10,193,10.834
37012,Env_9,Task_67,True,10,147,16.119
54321,Env_51,Task_5,True,10,139,10.722
32456,Env_41,Task_75,True,10,221,15.594
54321,Env_51,Task_13,True,10,172,0.439
32456,Env_24,Task_80,True,10,237,4.157
37012,Env_88,Task_94,True,10,238,20.109
61987,Env_80,Task_52,True,10,210,29.698
37012,Env_9,Task_31,True,66,140,16.817
37012,Env_9,Task_29,True,10,208,0.155
37012,Env_78,Task_87,True,10,154,9.273
37012,Env_78,Task_91,True,10,275,0.185
22589,Env_40,Task_46,True,10,301,39.289
32456,Env_37,Task_38,True,23,264,29.265
22589,Env_8,Task_65,True,10,265,40.041
22589,Env_40,Task_76,True,10,179,5.225
54321,Env_57,Task_23,False,,,47.747
54321,Env_10,Task_59,False,,,50.605
54321,Env_37,Task_33,True,10,590,3.049
61987,Env_32,Task_47,False,,,54.102
54321,Env_50,Task_15,True,71203,149,51.241
54321,Env_95,Task_47,True,10,303,0.24
54321,Env_77,Task_5,True,10,139,11.43
61987,Env_23,Task_43,True,10,262,62.702
22589,Env_86,Task_58,True,66,201,62.329
22589,Env_74,Task_44,True,23,199,54.14
32456,Env_93,Task_67,True,23,18065,44.168
37012,Env_32,Task_70,False,,,68.698
61987,Env_1,Task_82,True,10,325,6.638
61987,Env_1,Task_63,True,10,205,0.345
37012,Env_32,Task_9,True,10,322,2.464
37012,Env_36,Task_8,True,881,154,72.129
22589,Env_97,Task_85,True,10,173,8.539
61987,Env_80,Task_8,False,,,44.927
37012,Env_32,Task_27,True,10,133,10.282
37012,Env_78,Task_83,False,,,47.637
32456,Env_73,Task_43,False,,,91.508
61987,Env_3,Task_32,True,32,176,97.521
61987,Env_26,Task_95,True,10,282,0.957
61987,Env_26,Task_45,True,10,170,0.16
37012,Env_32,Task_94,True,10,238,18.7
37012,Env_87,Task_67,True,10,147,17.247
37012,Env_98,Task_62,True,10,150,2.938
32456,Env_36,Task_15,True,10,139,14.262
54321,Env_61,Task_73,True,10,156,112.711
54321,Env_11,Task_6,True,10,284,0.465
54321,Env_14,Task_46,False,,,56.473
54321,Env_11,Task_50,True,32,56,8.9
32456,Env_44,Task_76,False,,,132.226
61987,Env_1,Task_34,True,10,229,84.567
61987,Env_4,Task_24,True,10,90,0.069
37012,Env_31,Task_42,True,71203,214,155.891
61987,Env_79,Task_10,False,,,155.877
67890,Env_7,Task_73,True,10,129,8.875
22589,Env_7,Task_80,True,10,185,162.459
22589,Env_7,Task_66,True,10,57,0.468
61987,Env_78,Task_5,False,,,169.114
32456,Env_8,Task_30,False,,,168.005
37012,Env_96,Task_81,True,10,254,14.043
22589,Env_41,Task_28,True,71203,232,173.47
22589,Env_24,Task_13,True,10,281,0.199
32456,Env_18,Task_80,True,10,237,4.463
32456,Env_18,Task_63,True,10,157,0.252
37012,Env_42,Task_10,False,,,75.07
37012,Env_42,Task_97,True,10,136,0.193
22589,Env_10,Task_43,False,,,176.533
22589,Env_10,Task_53,True,10,403,0.458
22589,Env_96,Task_28,True,71203,232,180.778
22589,Env_48,Task_70,False,,,182.182
22589,Env_23,Task_25,True,10,201,5.58
22589,Env_23,Task_59,True,10,183,3.976
61987,Env_21,Task_92,False,,,97.157
22589,Env_18,Task_32,True,10,179,153.95
32456,Env_35,Task_39,False,,,212.587
22589,Env_40,Task_28,True,71203,232,168.564
54321,Env_41,Task_52,False,,,241.416
54321,Env_51,Task_83,False,,,236.42
54321,Env_58,Task_50,True,32,56,8.263
61987,Env_32,Task_38,True,73,162,207.588
54321,Env_14,Task_24,False,,,152.72
61987,Env_62,Task_77,False,,,272.68
61987,Env_62,Task_4,True,10,61,0.042
54321,Env_64,Task_99,True,10,335,26.421
54321,Env_12,Task_94,False,,,293.11
54321,Env_8,Task_87,True,10,186,0.159
54321,Env_8,Task_5,True,10,139,10.456
54321,Env_8,Task_92,True,10,138,2.356
54321,Env_8,Task_34,True,10,198,0.145
22589,Env_48,Task_56,False,,,127.882
32456,Env_35,Task_19,False,,,101.944
61987,Env_28,Task_73,False,,,309.81
61987,Env_84,Task_74,True,23,227,320.547
32456,Env_84,Task_21,False,,,321.86
61987,Env_42,Task_25,True,10,229,62.768
54321,Env_94,Task_17,False,,,273.491
54321,Env_94,Task_96,True,10,272,0.433
61987,Env_28,Task_44,True,10,225,15.541
54321,Env_53,Task_73,True,10,156,102.746
54321,Env_31,Task_96,True,10,272,0.547
37012,Env_37,Task_57,False,,,240.707
61987,Env_28,Task_80,True,10,173,13.106
61987,Env_91,Task_48,True,10,194,77.36
54321,Env_31,Task_50,True,32,56,8.245
54321,Env_31,Task_76,True,10,248,0.672
54321,Env_96,Task_61,True,10,322,2.393
37012,Env_72,Task_100,False,,,358.588
54321,Env_84,Task_10,False,,,90.225
54321,Env_96,Task_50,True,32,56,8.801
54321,Env_48,Task_16,False,,,369.951
54321,Env_44,Task_5,True,10,139,10.079
22589,Env_39,Task_39,False,,,184.607
54321,Env_94,Task_36,False,,,60.799
54321,Env_96,Task_26,True,10,166,35.898
61987,Env_24,Task_71,True,10,68,52.251
32456,Env_66,Task_31,False,,,402.684
61987,Env_93,Task_95,True,10,282,0.688
22589,Env_24,Task_16,False,,,229.374
54321,Env_94,Task_71,True,10,111,14.86
37012,Env_52,Task_25,False,,,67.346
37012,Env_52,Task_6,True,10,137,3.339
37012,Env_52,Task_16,True,10,192,1.898
54321,Env_81,Task_46,False,,,48.906
54321,Env_16,Task_60,True,10,157,5.236
54321,Env_63,Task_61,True,10,322,1.87
