SeedID,Environment,Task,Solved,UsedSeed,StepsOrNote,RuntimeSeconds
61987,Env_70,Task_22,True,12,209,0.225
61987,Env_66,Task_17,True,12,193,0.235
32456,Env_15,Task_57,True,12,187,0.443
32456,Env_89,Task_57,True,12,187,0.483
37012,Env_40,Task_73,True,12,167,0.659
32456,Env_77,Task_63,True,12,124,0.813
32456,Env_18,Task_63,True,12,124,0.826
61987,Env_26,Task_45,True,12,188,0.831
61987,Env_32,Task_38,True,12,133,1.023
22589,Env_7,Task_59,True,12,183,1.077
37012,Env_97,Task_39,True,12,191,1.932
61987,Env_42,Task_25,True,12,235,1.988
37012,Env_97,Task_54,True,34,59,1.525
32456,Env_25,Task_73,True,12,82,3.824
22589,Env_82,Task_6,True,12,439,5.67
54321,Env_45,Task_33,True,12,804,10.605
54321,Env_61,Task_51,True,12,439,1.514
22589,Env_75,Task_26,True,12,222,12.753
37012,Env_88,Task_94,True,12,172,13.629
32456,Env_92,Task_50,True,12,243,18.021
37012,Env_73,Task_88,False,,,19.741
61987,Env_70,Task_26,False,,,21.261
61987,Env_66,Task_92,False,,,22.396
61987,Env_21,Task_92,False,,,22.491
22589,Env_56,Task_41,True,12,188,23.856
61987,Env_66,Task_1,True,12,194,3.651
37012,Env_41,Task_75,True,12,149,26.923
37012,Env_41,Task_23,True,12,165,0.729
54321,Env_84,Task_10,False,,,29.621
37012,Env_15,Task_82,False,,,31.582
37012,Env_12,Task_52,False,,,30.18
37012,Env_12,Task_28,True,12,181,0.117
61987,Env_91,Task_48,True,12,87,34.148
37012,Env_70,Task_47,True,12,214,0.55
37012,Env_28,Task_38,True,12,157,0.173
37012,Env_8,Task_98,True,12,442,1.272
54321,Env_13,Task_27,False,,,36.802
61987,Env_28,Task_82,True,12,450,15.376
54321,Env_68,Task_24,False,,,38.523
54321,Env_29,Task_97,False,,,39.821
54321,Env_100,Task_41,True,12,291,0.205
54321,Env_100,Task_79,True,12,284,0.395
54321,Env_13,Task_100,True,34,70,4.582
61987,Env_100,Task_87,False,,,45.846
61987,Env_20,Task_45,True,12,188,0.67
61987,Env_20,Task_65,True,12,309,0.567
61987,Env_67,Task_38,True,12,133,0.815
37012,Env_24,Task_99,False,,,24.677
54321,Env_69,Task_34,True,12,196,52.734
22589,Env_56,Task_70,False,,,35.455
22589,Env_56,Task_82,True,12,163,0.143
22589,Env_75,Task_37,False,,,46.799
54321,Env_50,Task_96,True,12,308,60.585
54321,Env_50,Task_50,True,34,101,4.222
61987,Env_67,Task_82,True,12,450,18.118
61987,Env_67,Task_54,True,12,94,0.058
22589,Env_66,Task_46,True,12,540,8.026
22589,Env_41,Task_28,False,,,71.077
22589,Env_40,Task_28,False,,,71.204
22589,Env_24,Task_13,True,12,282,0.184
61987,Env_24,Task_71,True,12,142,38.366
61987,Env_93,Task_95,True,12,289,1.348
54321,Env_59,Task_30,False,,,44.622
32456,Env_39,Task_96,False,,,83.458
32456,Env_84,Task_21,False,,,79.986
54321,Env_20,Task_94,False,,,44.751
67890,Env_2,Task_68,False,,,86.023
32456,Env_37,Task_38,True,76,280,86.911
67890,Env_3,Task_10,True,12,133,1.636
54321,Env_34,Task_24,False,,,36.402
54321,Env_34,Task_58,True,12,178,1.533
32456,Env_39,Task_80,True,12,227,11.083
54321,Env_79,Task_46,False,,,10.915
37012,Env_78,Task_87,True,12,171,82.629
54321,Env_79,Task_41,True,12,291,0.208
54321,Env_91,Task_85,False,,,96.572
37012,Env_78,Task_91,True,12,268,1.87
32456,Env_39,Task_93,True,12,178,3.568
54321,Env_50,Task_15,False,,,36.395
67890,Env_3,Task_13,False,,,15.142
32456,Env_52,Task_50,True,12,243,16.873
32456,Env_55,Task_47,True,12,239,1.433
61987,Env_93,Task_36,True,56,186,32.827
37012,Env_78,Task_83,False,,,9.096
37012,Env_87,Task_67,True,12,201,0.331
37012,Env_98,Task_62,True,12,203,0.568
37012,Env_8,Task_7,False,,,74.134
54321,Env_41,Task_35,True,12,312,16.226
61987,Env_28,Task_73,False,,,76.179
61987,Env_28,Task_44,True,12,228,1.313
67890,Env_26,Task_27,False,,,14.346
22589,Env_15,Task_35,False,,,47.007
37012,Env_37,Task_57,False,,,12.303
22589,Env_66,Task_81,False,,,52.992
22589,Env_24,Task_16,False,,,50.403
22589,Env_87,Task_83,True,12,101,1.564
54321,Env_95,Task_47,True,12,311,21.294
61987,Env_22,Task_21,False,,,96.5
32456,Env_55,Task_11,False,,,17.976
32456,Env_92,Task_13,False,,,108.89
61987,Env_59,Task_7,False,,,135.439
37012,Env_52,Task_25,False,,,15.272
54321,Env_61,Task_73,True,12,206,123.929
61987,Env_28,Task_80,True,34,469,22.104
37012,Env_52,Task_6,True,12,125,2.939
37012,Env_52,Task_16,True,12,190,3.303
32456,Env_19,Task_82,True,12,344,17.202
54321,Env_34,Task_34,True,12,196,55.146
54321,Env_59,Task_5,True,78,178,66.079
54321,Env_59,Task_79,True,12,284,0.541
