SeedID,Environment,Task,Solved,UsedSeed,StepsOrNote,RuntimeSeconds
54321,Env_66,Task_88,True,10,64,0.09
32456,Env_45,Task_86,True,10,163,0.192
54321,Env_88,Task_21,True,10,104,0.194
32456,Env_77,Task_63,True,10,157,0.293
61987,Env_19,Task_19,True,10,184,0.286
54321,Env_48,Task_47,True,10,303,0.363
22589,Env_9,Task_14,True,10,175,0.41
61987,Env_19,Task_54,True,10,61,0.12
32456,Env_25,Task_73,True,10,96,0.207
61987,Env_32,Task_24,True,10,90,0.103
22589,Env_29,Task_63,True,10,273,0.533
54321,Env_50,Task_96,True,10,272,0.596
22589,Env_68,Task_8,True,10,267,0.642
37012,Env_66,Task_54,True,10,101,0.695
32456,Env_28,Task_69,True,10,565,0.797
32456,Env_98,Task_36,True,10,153,0.898
22589,Env_86,Task_6,True,10,468,0.811
61987,Env_79,Task_17,True,10,147,1.356
32456,Env_30,Task_6,True,10,396,0.585
32456,Env_50,Task_66,True,10,174,1.507
32456,Env_95,Task_24,True,10,173,0.137
32456,Env_95,Task_47,True,10,177,0.236
22589,Env_28,Task_62,True,10,161,2.051
22589,Env_30,Task_98,True,10,174,0.202
22589,Env_8,Task_13,True,10,281,0.22
32456,Env_41,Task_5,True,10,172,2.599
32456,Env_4,Task_68,True,10,304,3.814
61987,Env_36,Task_30,True,10,175,3.838
32456,Env_48,Task_78,True,10,91,6.613
37012,Env_7,Task_62,True,10,150,2.805
37012,Env_88,Task_80,True,23,70,6.309
22589,Env_7,Task_59,True,10,183,7.733
37012,Env_3,Task_41,True,10,162,1.408
37012,Env_35,Task_39,True,10,190,8.226
32456,Env_44,Task_5,True,10,172,1.652
37012,Env_3,Task_2,True,10,612,0.882
37012,Env_3,Task_90,True,10,283,0.281
22589,Env_74,Task_19,True,23,48,9.379
54321,Env_50,Task_50,True,32,56,8.999
54321,Env_6,Task_8,True,23,53,11.164
32456,Env_57,Task_98,True,10,193,11.261
61987,Env_28,Task_82,True,10,325,12.608
37012,Env_9,Task_67,True,10,147,17.716
32456,Env_41,Task_75,True,10,221,15.875
54321,Env_51,Task_5,True,10,139,10.918
32456,Env_24,Task_80,True,10,237,4.048
54321,Env_51,Task_13,True,10,172,0.528
37012,Env_88,Task_94,True,10,238,18.113
37012,Env_9,Task_31,True,66,140,17.534
37012,Env_9,Task_29,True,10,208,0.161
37012,Env_78,Task_87,True,10,154,11.28
37012,Env_78,Task_91,True,10,275,0.211
32456,Env_37,Task_38,True,23,264,25.202
22589,Env_40,Task_46,True,10,301,37.77
61987,Env_80,Task_52,True,10,210,38.38
22589,Env_40,Task_76,True,10,179,5.188
22589,Env_8,Task_65,True,10,265,40.904
54321,Env_10,Task_59,False,,,51.269
22589,Env_86,Task_58,True,66,201,56.574
54321,Env_57,Task_23,False,,,60.342
32456,Env_93,Task_67,True,23,18065,38.578
22589,Env_74,Task_44,True,23,199,52.56
54321,Env_77,Task_5,True,10,139,11.082
54321,Env_50,Task_15,True,71203,149,53.435
54321,Env_95,Task_47,True,10,303,0.311
54321,Env_37,Task_33,True,10,590,4.021
61987,Env_23,Task_43,True,10,262,64.726
22589,Env_97,Task_85,True,10,173,8.253
61987,Env_32,Task_47,False,,,68.659
61987,Env_1,Task_82,True,10,325,6.438
61987,Env_1,Task_63,True,10,205,0.381
37012,Env_36,Task_8,True,881,154,86.227
37012,Env_32,Task_70,False,,,87.994
37012,Env_78,Task_83,False,,,53.424
37012,Env_32,Task_9,True,10,322,2.521
32456,Env_73,Task_43,False,,,94.502
61987,Env_3,Task_32,True,32,176,95.702
61987,Env_80,Task_8,False,,,57.899
61987,Env_26,Task_95,True,10,282,0.683
61987,Env_26,Task_45,True,10,170,0.206
37012,Env_32,Task_27,True,10,133,10.629
54321,Env_61,Task_73,True,10,156,102.573
54321,Env_11,Task_6,True,10,284,0.462
37012,Env_87,Task_67,True,10,147,18.188
32456,Env_36,Task_15,True,10,139,14.417
37012,Env_98,Task_62,True,10,150,3.066
54321,Env_14,Task_46,False,,,48.965
54321,Env_11,Task_50,True,32,56,8.448
37012,Env_32,Task_94,True,10,238,23.353
32456,Env_8,Task_30,False,,,147.798
32456,Env_18,Task_80,True,10,237,4.728
32456,Env_18,Task_63,True,10,157,0.209
61987,Env_79,Task_10,False,,,156.388
61987,Env_1,Task_34,True,10,229,89.154
61987,Env_4,Task_24,True,10,90,0.058
37012,Env_31,Task_42,True,71203,214,161.379
32456,Env_44,Task_76,False,,,153.599
22589,Env_10,Task_43,False,,,168.643
67890,Env_7,Task_73,True,10,129,7.885
22589,Env_10,Task_53,True,10,403,0.432
22589,Env_41,Task_28,True,71203,232,172.163
22589,Env_24,Task_13,True,10,281,0.197
22589,Env_7,Task_80,True,10,185,165.633
22589,Env_7,Task_66,True,10,57,0.386
37012,Env_96,Task_81,True,10,254,14.195
22589,Env_96,Task_28,True,71203,232,177.911
61987,Env_78,Task_5,False,,,178.601
22589,Env_48,Task_70,False,,,181.349
61987,Env_21,Task_92,False,,,86.053
22589,Env_23,Task_25,True,10,201,5.06
22589,Env_18,Task_32,True,10,179,142.655
22589,Env_23,Task_59,True,10,183,3.957
37012,Env_42,Task_10,False,,,80.648
37012,Env_42,Task_97,True,10,136,0.14
22589,Env_40,Task_28,True,71203,232,170.897
32456,Env_35,Task_39,False,,,215.146
54321,Env_14,Task_24,False,,,143.409
54321,Env_41,Task_52,False,,,256.108
54321,Env_51,Task_83,False,,,248.507
54321,Env_58,Task_50,True,32,56,8.354
54321,Env_12,Task_94,False,,,282.917
54321,Env_8,Task_87,True,10,186,0.176
54321,Env_8,Task_5,True,10,139,10.127
54321,Env_8,Task_92,True,10,138,2.263
54321,Env_8,Task_34,True,10,198,0.13
61987,Env_32,Task_38,True,73,162,230.357
61987,Env_62,Task_77,False,,,301.575
61987,Env_62,Task_4,True,10,61,0.043
54321,Env_64,Task_99,True,10,335,26.823
22589,Env_48,Task_56,False,,,126.046
32456,Env_35,Task_19,False,,,101.684
32456,Env_84,Task_21,False,,,331.584
54321,Env_94,Task_17,False,,,278.486
54321,Env_94,Task_96,True,10,272,0.424
61987,Env_84,Task_74,True,23,227,344.476
54321,Env_84,Task_10,False,,,90.842
37012,Env_72,Task_100,False,,,349.089
37012,Env_37,Task_57,False,,,240.685
54321,Env_53,Task_73,True,10,156,100.643
54321,Env_31,Task_96,True,10,272,0.571
61987,Env_28,Task_73,False,,,344.791
22589,Env_39,Task_39,False,,,177.265
61987,Env_42,Task_25,True,10,229,64.149
54321,Env_31,Task_50,True,32,56,8.595
54321,Env_31,Task_76,True,10,248,0.619
54321,Env_96,Task_61,True,10,322,1.823
61987,Env_28,Task_44,True,10,225,15.572
54321,Env_48,Task_16,False,,,374.221
54321,Env_96,Task_50,True,32,56,8.521
61987,Env_91,Task_48,True,10,194,76.226
32456,Env_66,Task_31,False,,,380.393
54321,Env_44,Task_5,True,10,139,10.05
61987,Env_28,Task_80,True,10,173,13.32
22589,Env_24,Task_16,False,,,218.846
54321,Env_94,Task_36,False,,,60.073
54321,Env_96,Task_26,True,10,166,37.396
54321,Env_94,Task_71,True,10,111,14.557
37012,Env_52,Task_25,False,,,66.707
37012,Env_52,Task_6,True,10,137,3.245
37012,Env_52,Task_16,True,10,192,1.86
61987,Env_24,Task_71,True,10,68,51.569
61987,Env_93,Task_95,True,10,282,0.648
54321,Env_81,Task_46,False,,,49.061
54321,Env_16,Task_60,True,10,157,5.052
54321,Env_63,Task_61,True,10,322,1.787
54321,Env_63,Task_21,True,10,104,0.101
54321,Env_40,Task_4,True,10,147,26.377
37012,Env_97,Task_17,False,,,415.986
37012,Env_97,Task_39,True,10,190,7.007
37012,Env_97,Task_54,True,10,101,0.516
61987,Env_93,Task_36,True,23,196,31.63
32456,Env_39,Task_96,False,,,309.404
32456,Env_39,Task_80,True,10,237,3.919
54321,Env_60,Task_63,True,32,168,24.274
32456,Env_39,Task_93,True,10,185,0.115
54321,Env_27,Task_81,True,10,234,0.195
37012,Env_96,Task_89,True,10,540,294.759
22589,Env_3,Task_47,False,,,298.484
22589,Env_15,Task_35,False,,,262.098
32456,Env_81,Task_96,False,,,315.668
32456,Env_29,Task_31,False,,,377.927
61987,Env_36,Task_15,False,,,487.602
61987,Env_80,Task_100,False,,,395.626
61987,Env_29,Task_17,True,10,147,1.164
61987,Env_29,Task_60,True,10,295,6.925
61987,Env_29,Task_76,True,10,84,1.76
61987,Env_78,Task_55,False,,,323.007
61987,Env_13,Task_1,True,10,203,0.133
67890,Env_2,Task_68,False,,,336.636
67890,Env_3,Task_10,True,10,89,0.741
54321,Env_11,Task_85,False,,,397.934
54321,Env_11,Task_43,True,10,419,5.84
32456,Env_22,Task_30,False,,,145.138
32456,Env_52,Task_50,True,73,262,494.575
32456,Env_55,Task_47,True,10,177,0.22
22589,Env_20,Task_40,False,,,534.762
61987,Env_59,Task_7,False,,,541.493
22589,Env_24,Task_80,True,10,185,160.801
22589,Env_23,Task_78,False,,,366.406
61987,Env_100,Task_25,True,10,229,62.834
67890,Env_3,Task_13,False,,,58.149
22589,Env_97,Task_40,False,,,519.736
32456,Env_55,Task_11,False,,,57.987
37012,Env_12,Task_52,False,,,134.509
37012,Env_12,Task_28,True,10,182,0.147
37012,Env_70,Task_47,True,10,200,0.137
37012,Env_28,Task_38,True,10,228,0.9
37012,Env_8,Task_98,True,10,326,0.348
22589,Env_4,Task_65,True,10,265,42.192
22589,Env_39,Task_73,False,,,236.846
32456,Env_27,Task_20,False,,,288.227
32456,Env_27,Task_42,True,10,248,0.494
32456,Env_80,Task_87,True,10,362,0.69
32456,Env_80,Task_27,True,10,147,0.301
32456,Env_81,Task_76,False,,,131.905
37012,Env_43,Task_43,False,,,187.657
32456,Env_16,Task_57,True,10,182,3.563
67890,Env_26,Task_27,False,,,54.905
32456,Env_7,Task_35,False,,,28.217
32456,Env_7,Task_59,True,10,195,3.75
22589,Env_15,Task_43,False,,,163.88
37012,Env_71,Task_7,False,,,291.31
37012,Env_68,Task_39,True,10,190,8.892
61987,Env_82,Task_55,False,,,320.351
61987,Env_53,Task_2,False,,,227.5
61987,Env_53,Task_14,True,10,253,0.184
22589,Env_20,Task_37,False,,,165.491
22589,Env_20,Task_54,True,10,176,0.748
61987,Env_45,Task_11,False,,,522.597
22589,Env_12,Task_33,True,10,169,134.353
67890,Env_26,Task_57,True,73,100,103.459
67890,Env_45,Task_15,True,10,97,0.763
22589,Env_12,Task_25,True,10,201,5.047
54321,Env_88,Task_31,False,,,725.471
61987,Env_45,Task_86,True,23,197,33.427
37012,Env_90,Task_24,False,,,533.471
61987,Env_45,Task_72,True,10,196,2.341
54321,Env_37,Task_11,True,66,125,678.281
22589,Env_12,Task_2,True,10,174,19.181
22589,Env_75,Task_21,True,10,163,0.248
61987,Env_61,Task_83,True,23,191,4.526
22589,Env_44,Task_51,True,23,190,446.978
67890,Env_61,Task_70,True,10,212,33.59
