Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
12876, 86, 42, 0.0, 1, 92.0
12876, 86, 59, 0.0, 1, 97.0
12876, 49, 79, 1.0, 0, -15.0
12876, 86, 98, 0.0, 1, 93.0
12876, 95, 2, 0.0, 1, 86.0
12876, 94, 19, 0.0, 1, 96.0
12876, 86, 77, 0.0, 1, 99.0
12876, 22, 17, 1.0, 0, -10.0
12876, 83, 86, 0.0, 1, 89.0
12876, 86, 48, 0.0, 1, 94.0
12876, 31, 5, 1.0, 0, -10.0
12876, 33, 35, 0.0, 1, 90.0
12876, 49, 11, 1.0, 0, -10.0
12876, 86, 52, 0.0, 1, 90.0
12876, 94, 7, 1.0, 0, -17.0
12876, 95, 55, 1.0, 0, 83.0
12876, 86, 61, 0.0, 1, 96.0
12876, 22, 6, 1.0, 0, -10.0
12876, 95, 96, 1.0, 0, -10.0
12876, 86, 47, 0.0, 1, 99.0
12876, 94, 99, 1.0, 0, -10.0
12876, 49, 3, 1.0, 0, -15.0
12876, 95, 53, 1.0, 0, -14.0
12876, 86, 67, 0.0, 1, 90.0
12876, 22, 91, 1.0, 0, -10.0
12876, 31, 56, 1.0, 0, -10.0
12876, 94, 68, 0.0, 1, 80.0
12876, 83, 43, 1.0, 0, -10.0
12876, 95, 29, 0.0, 1, 87.0
12876, 76, 28, 0.0, 1, 79.0
12876, 86, 1, 1.0, 0, -10.0
12876, 94, 65, 1.0, 0, -10.0
12876, 86, 82, 0.0, 1, 91.0
12876, 95, 78, 1.0, 0, -15.0
12876, 22, 74, 1.0, 0, -10.0
12876, 82, 77, 1.0, 0, -21.0
12876, 33, 13, 0.0, 1, 79.0
12876, 49, 34, 1.0, 0, -10.0
12876, 86, 60, 0.0, 1, 95.0
12876, 95, 20, 1.0, 0, -17.0
12876, 94, 14, 0.0, 1, 84.0
12876, 83, 33, 1.0, 0, -16.0
12876, 86, 36, 0.0, 1, 91.0
12876, 95, 42, 1.0, 0, -10.0
12876, 22, 72, 1.0, 0, -10.0
12876, 94, 94, 0.0, 1, 94.0
12876, 22, 31, 1.0, 0, -14.0
12876, 31, 40, 1.0, 0, -10.0
12876, 95, 59, 1.0, 0, -10.0
12876, 16, 73, 1.0, 0, -10.0
12876, 49, 93, 1.0, 0, -10.0
12876, 95, 98, 1.0, 0, -15.0
12876, 83, 32, 0.0, 1, 96.0
12876, 94, 4, 0.0, 1, 75.0
12876, 22, 51, 1.0, 0, -15.0
12876, 16, 63, 1.0, 0, -10.0
12876, 33, 44, 0.0, 1, 82.0
12876, 95, 77, 1.0, 0, -10.0
12876, 94, 62, 0.0, 1, 89.0
12876, 22, 79, 1.0, 0, -25.0
12876, 16, 80, 1.0, 0, -10.0
12876, 95, 48, 1.0, 0, -13.0
12876, 49, 92, 0.0, 1, 94.0
12876, 94, 46, 0.0, 1, 84.0
12876, 22, 11, 1.0, 0, -10.0
12876, 82, 48, 1.0, 0, -12.0
12876, 16, 9, 1.0, 0, -12.0
12876, 31, 26, 1.0, 0, -10.0
12876, 95, 52, 1.0, 0, -10.0
12876, 94, 66, 0.0, 1, 94.0
12876, 83, 21, 0.0, 1, 82.0
12876, 22, 3, 1.0, 0, -11.0
12876, 33, 50, 0.0, 1, 91.0
12876, 16, 19, 1.0, 0, -14.0
12876, 49, 30, 1.0, 0, -10.0
12876, 94, 45, 1.0, 0, -14.0
12876, 95, 61, 0.0, 1, 91.0
12876, 62, 32, 1.0, 0, -10.0
12876, 22, 34, 1.0, 0, -10.0
12876, 16, 7, 1.0, 0, -10.0
12876, 94, 5, 1.0, 0, -10.0
12876, 22, 93, 1.0, 0, -15.0
12876, 49, 15, 1.0, 0, -12.0
12876, 95, 47, 0.0, 1, 100.0
12876, 31, 69, 1.0, 0, -12.0
12876, 16, 99, 1.0, 0, -10.0
12876, 94, 56, 1.0, 0, -10.0
12876, 83, 12, 1.0, 0, -10.0
12876, 76, 27, 0.0, 1, 77.0
12876, 16, 68, 1.0, 0, -16.0
12876, 22, 92, 0.0, 1, 98.0
12876, 95, 67, 1.0, 0, -10.0
12876, 33, 24, 0.0, 1, 90.0
12876, 94, 40, 0.0, 1, 86.0
12876, 82, 52, 1.0, 0, -24.0
12876, 31, 64, 1.0, 0, -10.0
12876, 49, 23, 1.0, 0, -10.0
12876, 22, 30, 1.0, 0, -10.0
12876, 16, 65, 0.0, 1, 93.0
12876, 94, 26, 1.0, 0, 89.0
12876, 95, 1, 1.0, 0, -23.0
12876, 22, 15, 1.0, 0, -15.0
12876, 94, 69, 0.0, 1, 88.0
12876, 16, 14, 1.0, 0, 87.0
12876, 95, 82, 0.0, 1, 87.0
12876, 31, 88, 1.0, 0, -10.0
12876, 49, 83, 1.0, 0, -10.0
12876, 83, 16, 1.0, 0, -16.0
12876, 94, 64, 1.0, 0, -23.0
12876, 22, 23, 1.0, 0, -10.0
12876, 33, 8, 0.0, 1, 91.0
12876, 16, 94, 1.0, 0, -10.0
12876, 95, 60, 0.0, 1, 89.0
12876, 94, 88, 0.0, 1, 84.0
12876, 22, 83, 1.0, 0, -10.0
12876, 16, 4, 1.0, 0, -10.0
12876, 31, 28, 1.0, 0, -10.0
12876, 49, 35, 0.0, 1, 90.0
12876, 94, 28, 1.0, 0, -10.0
12876, 95, 36, 1.0, 0, -10.0
12876, 35, 3, 1.0, 0, -10.0
12876, 22, 35, 1.0, 0, -21.0
12876, 16, 62, 1.0, 0, -10.0
12876, 94, 27, 0.0, 1, 89.0
12876, 82, 61, 1.0, 0, -23.0
12876, 33, 81, 0.0, 1, 96.0
12876, 83, 49, 1.0, 0, -10.0
12876, 22, 13, 1.0, 0, -10.0
12876, 31, 27, 1.0, 0, -10.0
12876, 16, 46, 1.0, 0, -12.0
12876, 49, 13, 1.0, 0, -12.0
12876, 94, 10, 1.0, 0, -10.0
12876, 22, 44, 1.0, 0, -14.0
12876, 16, 66, 0.0, 1, 94.0
12876, 94, 41, 1.0, 0, -10.0
12876, 33, 97, 0.0, 1, 92.0
12876, 49, 44, 1.0, 0, -10.0
12876, 16, 45, 1.0, 0, -11.0
12876, 31, 10, 1.0, 0, -10.0
12876, 81, 90, 1.0, 0, -10.0
12876, 22, 50, 1.0, 0, -10.0
12876, 94, 75, 0.0, 1, 80.0
12876, 76, 10, 0.0, 1, 69.0
12876, 16, 5, 1.0, 0, -10.0
12876, 83, 18, 0.0, 1, 81.0
12876, 22, 24, 0.0, 1, 93.0
12876, 94, 57, 1.0, 0, -18.0
12876, 33, 70, 0.0, 1, 91.0
12876, 49, 50, 1.0, 0, -14.0
12876, 62, 21, 1.0, 0, -10.0
12876, 31, 41, 1.0, 0, -10.0
12876, 16, 56, 1.0, 0, -10.0
12876, 94, 39, 1.0, 0, 90.0
12876, 22, 8, 1.0, 0, -17.0
12876, 82, 47, 1.0, 0, -10.0
12876, 16, 40, 1.0, 0, -10.0
12876, 94, 71, 1.0, 0, -11.0
12876, 22, 81, 1.0, 0, -10.0
12876, 49, 24, 1.0, 0, -17.0
12876, 33, 90, 0.0, 1, 83.0
12876, 94, 85, 0.0, 1, 80.0
12876, 31, 75, 1.0, 0, -11.0
12876, 16, 26, 1.0, 0, 91.0
12876, 22, 97, 1.0, 0, -10.0
12876, 83, 89, 0.0, 1, 93.0
12876, 94, 87, 0.0, 1, 79.0
12876, 16, 69, 1.0, 0, -10.0
12876, 22, 70, 1.0, 0, -12.0
12876, 49, 8, 1.0, 0, -10.0
12876, 94, 95, 1.0, 0, -15.0
12876, 33, 22, 0.0, 1, 94.0
12876, 16, 64, 1.0, 0, -10.0
12876, 31, 57, 1.0, 0, -10.0
12876, 22, 90, 1.0, 0, -11.0
12876, 94, 37, 1.0, 0, -10.0
12876, 16, 88, 1.0, 0, -11.0
12876, 49, 81, 1.0, 0, -10.0
12876, 83, 100, 0.0, 1, 81.0
12876, 22, 22, 0.0, 1, 96.0
12876, 94, 17, 1.0, 0, -11.0
12876, 82, 67, 1.0, 0, -10.0
12876, 16, 28, 1.0, 0, -10.0
12876, 33, 54, 0.0, 1, 73.0
12876, 31, 39, 1.0, 0, -10.0
12876, 94, 6, 1.0, 0, -10.0
12876, 22, 54, 1.0, 0, -11.0
12876, 49, 97, 1.0, 0, -10.0
12876, 16, 27, 1.0, 0, -11.0
12876, 94, 91, 1.0, 0, -10.0
12876, 22, 58, 1.0, 0, -10.0
12876, 16, 10, 1.0, 0, -10.0
12876, 33, 58, 0.0, 1, 86.0
12876, 16, 41, 1.0, 0, -10.0
12876, 94, 74, 0.0, 1, 98.0
12876, 83, 25, 1.0, 0, -20.0
12876, 22, 76, 1.0, 0, -10.0
12876, 76, 41, 1.0, 0, -10.0
12876, 49, 70, 1.0, 0, -10.0
12876, 16, 75, 1.0, 0, -10.0
12876, 94, 72, 1.0, 0, 84.0
12876, 31, 71, 1.0, 0, -10.0
12876, 22, 84, 1.0, 0, -10.0
12876, 16, 57, 1.0, 0, -10.0
12876, 33, 76, 0.0, 1, 93.0
12876, 62, 12, 1.0, 0, -11.0
12876, 16, 39, 1.0, 0, -13.0
12876, 94, 31, 1.0, 0, -23.0
12876, 37, 36, 1.0, 0, -10.0
12876, 22, 38, 1.0, 0, -10.0
12876, 16, 71, 1.0, 0, -10.0
12876, 82, 1, 1.0, 0, -10.0
12876, 49, 90, 1.0, 0, -42.0
12876, 94, 51, 1.0, 0, 88.0
12876, 16, 85, 1.0, 0, -10.0
12876, 33, 84, 0.0, 1, 83.0
12876, 22, 86, 0.0, 1, 93.0
12876, 16, 87, 1.0, 0, -10.0
12876, 83, 2, 0.0, 1, 80.0
12876, 94, 79, 0.0, 1, 89.0
12876, 16, 95, 1.0, 0, -10.0
12876, 31, 85, 1.0, 0, -10.0
12876, 22, 43, 1.0, 0, -20.0
12876, 94, 11, 1.0, 0, -10.0
12876, 49, 22, 0.0, 1, 95.0
12876, 33, 38, 0.0, 1, 84.0
12876, 16, 37, 1.0, 0, -10.0
12876, 94, 3, 0.0, 1, 89.0
12876, 22, 33, 1.0, 0, -20.0
12876, 16, 17, 1.0, 0, -14.0
12876, 20, 99, 1.0, 0, -10.0
12876, 94, 34, 1.0, 0, -10.0
12876, 49, 54, 1.0, 0, -10.0
12876, 33, 86, 0.0, 1, 92.0
12876, 22, 32, 1.0, 0, 98.0
12876, 83, 55, 1.0, 0, 77.0
12876, 82, 82, 1.0, 0, -10.0
12876, 16, 6, 1.0, 0, -10.0
12876, 94, 93, 1.0, 0, -16.0
12876, 31, 87, 1.0, 0, -42.0
12876, 22, 21, 1.0, 0, -21.0
12876, 33, 43, 0.0, 1, 83.0
12876, 49, 58, 1.0, 0, -11.0
12876, 94, 92, 0.0, 1, 94.0
12876, 16, 91, 1.0, 0, -13.0
12876, 22, 12, 1.0, 0, -10.0
12876, 94, 30, 0.0, 1, 92.0
12876, 76, 75, 0.0, 1, 60.0
12876, 16, 74, 1.0, 0, -10.0
12876, 22, 16, 1.0, 0, -10.0
12876, 33, 33, 0.0, 1, 93.0
12876, 83, 96, 1.0, 0, -10.0
12876, 94, 15, 1.0, 0, -13.0
12876, 49, 76, 0.0, 1, 94.0
12876, 16, 72, 1.0, 0, -10.0
12876, 22, 49, 1.0, 0, -10.0
12876, 31, 95, 1.0, 0, -10.0
12876, 94, 23, 1.0, 0, -10.0
12876, 33, 32, 0.0, 1, 96.0
12876, 16, 31, 1.0, 0, -12.0
12876, 22, 18, 1.0, 0, -15.0
12876, 49, 84, 1.0, 0, -10.0
12876, 94, 83, 1.0, 0, -10.0
12876, 16, 51, 1.0, 0, -17.0
12876, 94, 35, 0.0, 1, 90.0
12876, 22, 89, 1.0, 0, -10.0
12876, 33, 21, 0.0, 1, 89.0
12876, 83, 53, 1.0, 0, -10.0
12876, 16, 79, 0.0, 1, 77.0
12876, 62, 16, 1.0, 0, -16.0
12876, 49, 38, 1.0, 0, -10.0
12876, 94, 13, 0.0, 1, 81.0
12876, 22, 100, 1.0, 0, -10.0
12876, 31, 37, 1.0, 0, -10.0
12876, 16, 11, 1.0, 0, -10.0
12876, 33, 12, 0.0, 1, 96.0
12876, 94, 44, 0.0, 1, 87.0
12876, 22, 25, 1.0, 0, -10.0
12876, 16, 3, 1.0, 0, -14.0
12876, 82, 60, 1.0, 0, -10.0
12876, 94, 50, 0.0, 1, 93.0
12876, 49, 86, 1.0, 0, -10.0
12876, 16, 34, 1.0, 0, -10.0
12876, 33, 16, 0.0, 1, 80.0
12876, 22, 2, 1.0, 0, -22.0
12876, 81, 22, 1.0, 0, -10.0
12876, 94, 24, 0.0, 1, 91.0
12876, 83, 29, 1.0, 0, 78.0
12876, 16, 93, 1.0, 0, -15.0
12876, 22, 55, 1.0, 0, -14.0
12876, 31, 17, 1.0, 0, -10.0
12876, 49, 43, 1.0, 0, -10.0
12876, 76, 57, 0.0, 1, 82.0
12876, 94, 8, 0.0, 1, 85.0
12876, 33, 49, 0.0, 1, 96.0
12876, 16, 92, 1.0, 0, -10.0
12876, 22, 96, 1.0, 0, -14.0
12876, 16, 30, 1.0, 0, -10.0
12876, 94, 81, 1.0, 0, -11.0
12876, 22, 53, 1.0, 0, -10.0
12876, 49, 33, 1.0, 0, -13.0
12876, 94, 97, 1.0, 0, -14.0
12876, 16, 15, 1.0, 0, -12.0
12876, 33, 18, 0.0, 1, 89.0
12876, 83, 78, 0.0, 1, 80.0
12876, 22, 29, 1.0, 0, -12.0
12876, 16, 23, 1.0, 0, -10.0
12876, 94, 70, 0.0, 1, 89.0
12876, 31, 6, 1.0, 0, -10.0
12876, 33, 89, 0.0, 1, 95.0
12876, 16, 83, 1.0, 0, -10.0
12876, 49, 32, 1.0, 0, -13.0
12876, 22, 78, 1.0, 0, -10.0
12876, 94, 90, 1.0, 0, -24.0
12876, 16, 35, 1.0, 0, -10.0
12876, 16, 13, 1.0, 0, -14.0
12876, 22, 20, 1.0, 0, -10.0
12876, 94, 22, 0.0, 1, 95.0
12876, 33, 100, 0.0, 1, 88.0
12876, 16, 44, 1.0, 0, 77.0
12876, 83, 20, 0.0, 1, 89.0
12876, 16, 50, 1.0, 0, -10.0
12876, 49, 21, 1.0, 0, -10.0
12876, 94, 54, 0.0, 1, 73.0
12876, 22, 42, 1.0, 0, -22.0
12876, 16, 24, 1.0, 0, -14.0
12876, 31, 91, 1.0, 0, -10.0
12876, 16, 8, 1.0, 0, -13.0
12876, 94, 58, 1.0, 0, -11.0
