Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
61987, 95, 78, 1.0, 0, 1.0
61987, 93, 74, 1.0, 0, 0.0
61987, 95, 20, 1.0, 0, 0.0
61987, 93, 72, 1.0, 0, 0.0
61987, 95, 42, 1.0, 0, 0.0
61987, 93, 31, 1.0, 0, 0.0
61987, 95, 59, 1.0, 0, 0.0
61987, 49, 92, 1.0, 0, 0.0
61987, 95, 98, 1.0, 0, 0.0
61987, 93, 51, 1.0, 0, 0.0
61987, 95, 77, 1.0, 0, 0.0
61987, 93, 79, 1.0, 0, 0.0
61987, 95, 48, 1.0, 0, 0.0
61987, 95, 52, 1.0, 0, 0.0
61987, 93, 11, 1.0, 0, 0.0
61987, 95, 61, 1.0, 0, 0.0
61987, 95, 47, 1.0, 0, 0.0
61987, 93, 3, 1.0, 0, 0.0
61987, 95, 67, 1.0, 0, 0.0
61987, 93, 34, 1.0, 0, 0.0
61987, 95, 1, 0.0, 1, 1.0
61987, 95, 82, 1.0, 0, 0.0
61987, 95, 60, 1.0, 0, 0.0
61987, 93, 93, 1.0, 0, 0.0
61987, 95, 36, 1.0, 0, 0.0
61987, 93, 92, 1.0, 0, 0.0
61987, 93, 30, 1.0, 0, 0.0
61987, 93, 15, 1.0, 0, 0.0
61987, 93, 23, 1.0, 0, 0.0
61987, 93, 83, 1.0, 0, 0.0
61987, 93, 35, 1.0, 0, 0.0
61987, 93, 13, 1.0, 0, 0.0
61987, 49, 30, 1.0, 0, 0.0
61987, 93, 44, 1.0, 0, 0.0
61987, 93, 50, 1.0, 0, 0.0
61987, 93, 24, 1.0, 0, 0.0
61987, 93, 8, 1.0, 0, 0.0
61987, 93, 81, 1.0, 0, 0.0
61987, 93, 97, 1.0, 0, 0.0
61987, 93, 70, 1.0, 0, 0.0
61987, 93, 90, 1.0, 0, 0.0
61987, 93, 22, 1.0, 0, 1.0
61987, 93, 54, 1.0, 0, 0.0
61987, 49, 15, 1.0, 0, 0.0
61987, 93, 58, 1.0, 0, 0.0
61987, 93, 76, 1.0, 0, 0.0
61987, 93, 84, 1.0, 0, 0.0
61987, 93, 38, 1.0, 0, 0.0
61987, 93, 86, 1.0, 0, 0.0
61987, 93, 43, 1.0, 0, 0.0
61987, 93, 33, 1.0, 0, 0.0
61987, 49, 23, 1.0, 0, 0.0
61987, 93, 32, 1.0, 0, 0.0
61987, 93, 21, 1.0, 0, 1.0
61987, 93, 12, 1.0, 0, 0.0
61987, 93, 16, 1.0, 0, 0.0
61987, 93, 49, 1.0, 0, 0.0
61987, 93, 18, 1.0, 0, 0.0
61987, 93, 89, 1.0, 0, 0.0
61987, 93, 100, 1.0, 0, 0.0
61987, 93, 25, 1.0, 0, 0.0
61987, 93, 2, 1.0, 0, 0.0
61987, 49, 83, 1.0, 0, 0.0
61987, 93, 55, 1.0, 0, 0.0
61987, 93, 96, 1.0, 0, 0.0
61987, 93, 53, 1.0, 0, 0.0
61987, 93, 29, 0.0, 1, 1.0
61987, 93, 78, 1.0, 0, 1.0
61987, 93, 20, 1.0, 0, 0.0
61987, 93, 42, 1.0, 0, 0.0
61987, 93, 59, 1.0, 0, 0.0
61987, 93, 98, 1.0, 0, 0.0
61987, 93, 77, 1.0, 0, 0.0
61987, 93, 48, 1.0, 0, 0.0
61987, 93, 52, 1.0, 0, 0.0
61987, 49, 35, 0.0, 1, 1.0
61987, 93, 61, 1.0, 0, 0.0
61987, 93, 47, 1.0, 0, 0.0
61987, 93, 67, 1.0, 0, 0.0
61987, 93, 1, 0.0, 1, 1.0
61987, 93, 82, 1.0, 0, 0.0
61987, 93, 60, 1.0, 0, 0.0
61987, 93, 36, 1.0, 0, 0.0
61987, 49, 13, 0.0, 1, 1.0
61987, 8, 73, 1.0, 0, 0.0
61987, 94, 14, 1.0, 0, 0.0
61987, 49, 44, 1.0, 0, 0.0
61987, 2, 73, 1.0, 0, 0.0
61987, 4, 19, 1.0, 0, 0.0
61987, 51, 97, 1.0, 0, 0.0
61987, 49, 50, 0.0, 1, 1.0
61987, 49, 24, 1.0, 0, 0.0
61987, 90, 85, 1.0, 0, 0.0
61987, 49, 8, 0.0, 1, 1.0
61987, 8, 63, 1.0, 0, 0.0
61987, 49, 81, 0.0, 1, 1.0
61987, 62, 18, 1.0, 0, 0.0
61987, 20, 62, 1.0, 0, 0.0
61987, 49, 97, 1.0, 0, 0.0
61987, 49, 70, 1.0, 0, 0.0
61987, 49, 90, 1.0, 0, 0.0
61987, 8, 80, 1.0, 0, 0.0
61987, 49, 22, 0.0, 1, 1.0
61987, 49, 54, 1.0, 0, 0.0
61987, 49, 58, 1.0, 0, 0.0
61987, 49, 76, 0.0, 1, 1.0
61987, 49, 84, 0.0, 1, 1.0
61987, 8, 9, 1.0, 0, 0.0
61987, 49, 38, 1.0, 0, 1.0
61987, 49, 86, 1.0, 0, 0.0
61987, 49, 43, 1.0, 0, 0.0
61987, 77, 53, 1.0, 0, 0.0
61987, 49, 33, 1.0, 0, 0.0
61987, 49, 32, 0.0, 1, 1.0
61987, 49, 21, 1.0, 0, 0.0
61987, 8, 19, 1.0, 0, 0.0
61987, 49, 12, 0.0, 1, 1.0
61987, 49, 16, 1.0, 0, 0.0
61987, 49, 49, 1.0, 0, 0.0
61987, 90, 87, 1.0, 0, 0.0
61987, 49, 18, 0.0, 1, 1.0
61987, 49, 89, 1.0, 0, 0.0
61987, 49, 100, 1.0, 0, 0.0
61987, 49, 25, 1.0, 0, 0.0
61987, 49, 2, 1.0, 0, 0.0
61987, 49, 55, 1.0, 0, 0.0
61987, 8, 7, 1.0, 0, 0.0
61987, 49, 96, 0.0, 1, 1.0
61987, 20, 46, 1.0, 0, 0.0
61987, 49, 53, 1.0, 0, 0.0
61987, 62, 89, 1.0, 0, 0.0
61987, 8, 99, 1.0, 0, 0.0
61987, 49, 29, 1.0, 0, 0.0
61987, 49, 78, 1.0, 0, 0.0
61987, 49, 20, 1.0, 0, 0.0
61987, 51, 70, 1.0, 0, 0.0
61987, 49, 42, 1.0, 0, 0.0
61987, 49, 59, 1.0, 0, 0.0
61987, 8, 68, 1.0, 0, 0.0
61987, 49, 98, 1.0, 0, 0.0
61987, 49, 77, 1.0, 0, 0.0
61987, 49, 48, 1.0, 0, 0.0
61987, 49, 52, 1.0, 0, 0.0
61987, 2, 63, 1.0, 0, 0.0
61987, 49, 61, 1.0, 0, 0.0
61987, 49, 47, 1.0, 0, 0.0
61987, 31, 64, 1.0, 0, 0.0
61987, 8, 65, 1.0, 0, 0.0
61987, 49, 67, 1.0, 0, 0.0
61987, 49, 1, 0.0, 1, 1.0
61987, 97, 80, 1.0, 0, 0.0
61987, 49, 82, 1.0, 0, 0.0
61987, 49, 60, 1.0, 0, 0.0
61987, 49, 36, 0.0, 1, 1.0
61987, 8, 14, 1.0, 0, 0.0
61987, 90, 95, 1.0, 0, 0.0
61987, 77, 29, 1.0, 0, 0.0
61987, 62, 100, 1.0, 0, 0.0
61987, 76, 57, 1.0, 0, 0.0
61987, 8, 94, 1.0, 0, 0.0
61987, 20, 66, 1.0, 0, 0.0
61987, 8, 4, 1.0, 0, 0.0
61987, 29, 73, 1.0, 0, 0.0
61987, 8, 62, 1.0, 0, 0.0
61987, 8, 46, 1.0, 0, 0.0
61987, 90, 37, 1.0, 0, 0.0
61987, 86, 61, 1.0, 0, 0.0
61987, 62, 25, 1.0, 0, 0.0
61987, 51, 90, 1.0, 0, 0.0
61987, 8, 66, 1.0, 0, 0.0
61987, 94, 94, 1.0, 0, 0.0
61987, 8, 45, 1.0, 0, 0.0
61987, 2, 80, 1.0, 0, 0.0
61987, 81, 84, 1.0, 0, 0.0
61987, 82, 67, 1.0, 0, 0.0
61987, 8, 5, 1.0, 0, 0.0
61987, 90, 17, 1.0, 0, 0.0
61987, 62, 2, 1.0, 0, 0.0
61987, 20, 45, 1.0, 0, 0.0
61987, 8, 56, 1.0, 0, 0.0
61987, 8, 40, 1.0, 0, 0.0
61987, 22, 31, 1.0, 0, 0.0
61987, 8, 26, 1.0, 0, 0.0
61987, 90, 6, 1.0, 0, 0.0
61987, 62, 55, 1.0, 0, 0.0
61987, 8, 69, 1.0, 0, 0.0
61987, 77, 78, 1.0, 0, 0.0
61987, 29, 63, 1.0, 0, 0.0
61987, 8, 64, 1.0, 0, 0.0
61987, 20, 5, 1.0, 0, 0.0
61987, 90, 91, 1.0, 0, 0.0
61987, 8, 88, 1.0, 0, 0.0
61987, 35, 23, 1.0, 0, 0.0
61987, 51, 22, 1.0, 0, 0.0
61987, 8, 28, 1.0, 0, 0.0
61987, 62, 96, 1.0, 0, 0.0
61987, 2, 9, 1.0, 0, 0.0
