Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
37012, 196, 3, 0.0, 1, 1.0
37012, 196, 8, 0.0, 1, 1.0
37012, 196, 2, 0.0, 1, 1.0
37012, 196, 1, 0.0, 1, 1.0
37012, 36, 9, 0.0, 1, 1.0
37012, 36, 7, 0.0, 1, 1.0
37012, 36, 4, 0.0, 1, 1.0
37012, 36, 5, 0.0, 1, 1.0
37012, 36, 10, 0.0, 1, 1.0
37012, 76, 10, 0.0, 1, 1.0
37012, 36, 6, 0.0, 1, 1.0
37012, 76, 6, 0.0, 1, 1.0
37012, 30, 8, 0.0, 1, 1.0
37012, 30, 2, 0.0, 1, 1.0
37012, 30, 1, 0.0, 1, 1.0
37012, 76, 3, 0.0, 1, 1.0
37012, 76, 8, 0.0, 1, 1.0
37012, 36, 3, 0.0, 1, 1.0
37012, 76, 2, 0.0, 1, 1.0
37012, 76, 1, 0.0, 1, 1.0
37012, 36, 8, 0.0, 1, 1.0
37012, 19, 1, 0.0, 1, 1.0
37012, 123, 9, 0.0, 1, 1.0
37012, 123, 7, 0.0, 1, 1.0
37012, 123, 4, 1.0, 0, 0.0
37012, 123, 5, 1.0, 0, 0.0
37012, 123, 10, 0.0, 1, 1.0
37012, 123, 6, 0.0, 1, 1.0
37012, 123, 3, 0.0, 1, 1.0
37012, 123, 8, 0.0, 1, 1.0
37012, 123, 2, 0.0, 1, 1.0
37012, 123, 1, 0.0, 1, 1.0
37012, 36, 2, 0.0, 1, 1.0
37012, 154, 2, 0.0, 1, 1.0
37012, 44, 7, 0.0, 1, 1.0
37012, 36, 1, 0.0, 1, 1.0
37012, 27, 6, 0.0, 1, 1.0
37012, 93, 3, 0.0, 1, 1.0
37012, 91, 9, 0.0, 1, 1.0
37012, 178, 9, 0.0, 1, 1.0
37012, 104, 5, 0.0, 1, 1.0
37012, 93, 8, 0.0, 1, 1.0
37012, 44, 4, 0.0, 1, 1.0
37012, 93, 2, 0.0, 1, 1.0
37012, 91, 7, 0.0, 1, 1.0
37012, 174, 1, 0.0, 1, 1.0
37012, 199, 9, 0.0, 1, 1.0
37012, 199, 7, 0.0, 1, 1.0
37012, 199, 4, 0.0, 1, 1.0
37012, 154, 1, 0.0, 1, 1.0
37012, 199, 5, 0.0, 1, 1.0
37012, 199, 10, 0.0, 1, 1.0
37012, 199, 6, 0.0, 1, 1.0
37012, 93, 1, 0.0, 1, 1.0
37012, 199, 3, 0.0, 1, 1.0
37012, 199, 8, 0.0, 1, 1.0
37012, 178, 7, 0.0, 1, 1.0
37012, 199, 2, 0.0, 1, 1.0
37012, 199, 1, 0.0, 1, 1.0
37012, 119, 4, 0.0, 1, 1.0
37012, 27, 3, 0.0, 1, 1.0
37012, 104, 10, 0.0, 1, 1.0
37012, 91, 4, 0.0, 1, 1.0
37012, 88, 9, 0.0, 1, 1.0
37012, 44, 5, 0.0, 1, 1.0
37012, 78, 9, 0.0, 1, 1.0
37012, 186, 7, 0.0, 1, 1.0
37012, 186, 4, 0.0, 1, 1.0
37012, 186, 5, 1.0, 0, 0.0
37012, 186, 10, 0.0, 1, 1.0
37012, 186, 6, 0.0, 1, 1.0
37012, 186, 3, 0.0, 1, 1.0
37012, 186, 8, 0.0, 1, 1.0
37012, 186, 2, 1.0, 0, 0.0
37012, 186, 1, 1.0, 0, 0.0
37012, 178, 4, 0.0, 1, 1.0
37012, 91, 5, 0.0, 1, 1.0
37012, 104, 6, 0.0, 1, 1.0
37012, 129, 9, 0.0, 1, 1.0
37012, 14, 6, 0.0, 1, 1.0
37012, 178, 5, 0.0, 1, 1.0
37012, 91, 10, 0.0, 1, 1.0
37012, 44, 10, 0.0, 1, 1.0
37012, 39, 10, 0.0, 1, 1.0
37012, 39, 6, 0.0, 1, 1.0
37012, 39, 3, 0.0, 1, 1.0
37012, 16, 4, 0.0, 1, 1.0
37012, 39, 8, 0.0, 1, 1.0
37012, 69, 2, 0.0, 1, 1.0
37012, 39, 2, 0.0, 1, 1.0
37012, 27, 8, 0.0, 1, 1.0
37012, 39, 1, 0.0, 1, 1.0
37012, 171, 9, 0.0, 1, 1.0
37012, 104, 3, 0.0, 1, 1.0
37012, 193, 9, 0.0, 1, 1.0
37012, 105, 9, 0.0, 1, 1.0
37012, 91, 6, 0.0, 1, 1.0
37012, 178, 10, 0.0, 1, 1.0
37012, 188, 5, 0.0, 1, 1.0
37012, 188, 10, 0.0, 1, 1.0
37012, 105, 7, 0.0, 1, 1.0
37012, 188, 6, 1.0, 0, 0.0
37012, 188, 3, 0.0, 1, 1.0
37012, 188, 8, 0.0, 1, 1.0
37012, 129, 7, 0.0, 1, 1.0
37012, 188, 2, 0.0, 1, 1.0
37012, 188, 1, 0.0, 1, 1.0
37012, 88, 7, 0.0, 0, 0.0
37012, 105, 4, 0.0, 1, 1.0
37012, 78, 7, 0.0, 0, 0.0
37012, 105, 5, 0.0, 1, 1.0
37012, 184, 3, 0.0, 1, 1.0
37012, 14, 3, 0.0, 1, 1.0
37012, 70, 9, 0.0, 1, 1.0
37012, 118, 9, 0.0, 1, 1.0
37012, 184, 8, 0.0, 1, 1.0
37012, 105, 10, 0.0, 1, 1.0
37012, 184, 2, 0.0, 1, 1.0
37012, 44, 6, 0.0, 1, 1.0
37012, 198, 9, 0.0, 1, 1.0
37012, 70, 7, 0.0, 1, 1.0
37012, 184, 1, 0.0, 1, 1.0
37012, 105, 6, 0.0, 1, 1.0
37012, 91, 3, 0.0, 1, 1.0
37012, 105, 3, 0.0, 1, 1.0
37012, 70, 4, 0.0, 1, 1.0
37012, 148, 9, 0.0, 1, 1.0
37012, 104, 8, 0.0, 1, 1.0
37012, 178, 6, 0.0, 1, 1.0
37012, 105, 8, 0.0, 1, 1.0
37012, 118, 7, 0.0, 1, 1.0
37012, 70, 5, 0.0, 1, 1.0
37012, 105, 2, 0.0, 1, 1.0
37012, 105, 1, 0.0, 1, 1.0
37012, 70, 10, 0.0, 1, 1.0
37012, 27, 2, 0.0, 1, 1.0
37012, 140, 9, 0.0, 1, 1.0
37012, 54, 1, 0.0, 1, 1.0
37012, 129, 4, 0.0, 1, 1.0
37012, 140, 7, 0.0, 1, 1.0
37012, 140, 4, 0.0, 1, 1.0
37012, 119, 5, 0.0, 1, 1.0
37012, 91, 8, 0.0, 1, 1.0
37012, 70, 6, 0.0, 1, 1.0
37012, 140, 5, 0.0, 1, 1.0
37012, 161, 9, 0.0, 1, 1.0
37012, 69, 1, 0.0, 1, 1.0
37012, 118, 4, 0.0, 1, 1.0
37012, 140, 10, 0.0, 1, 1.0
37012, 140, 6, 0.0, 1, 1.0
37012, 16, 5, 0.0, 1, 1.0
37012, 140, 3, 0.0, 1, 1.0
37012, 70, 3, 0.0, 1, 1.0
37012, 140, 8, 0.0, 1, 1.0
37012, 104, 2, 0.0, 1, 1.0
37012, 140, 2, 0.0, 1, 1.0
37012, 178, 3, 0.0, 1, 1.0
37012, 140, 1, 0.0, 1, 1.0
37012, 14, 8, 0.0, 1, 1.0
37012, 44, 3, 0.0, 1, 1.0
37012, 70, 8, 0.0, 1, 1.0
37012, 171, 7, 0.0, 0, 0.0
37012, 118, 5, 0.0, 1, 1.0
37012, 70, 2, 0.0, 1, 1.0
37012, 91, 2, 0.0, 1, 1.0
37012, 10, 9, 0.0, 1, 1.0
37012, 70, 1, 0.0, 1, 1.0
37012, 11, 9, 0.0, 1, 1.0
37012, 11, 7, 0.0, 1, 1.0
37012, 11, 4, 0.0, 1, 1.0
37012, 11, 5, 1.0, 0, 0.0
37012, 11, 10, 0.0, 1, 1.0
37012, 11, 6, 0.0, 1, 1.0
37012, 11, 3, 0.0, 1, 1.0
37012, 11, 8, 0.0, 1, 1.0
37012, 161, 7, 0.0, 1, 1.0
37012, 6, 8, 0.0, 1, 1.0
37012, 11, 2, 0.0, 1, 1.0
37012, 182, 9, 0.0, 1, 1.0
37012, 11, 1, 0.0, 1, 1.0
37012, 78, 4, 0.0, 1, 1.0
37012, 88, 4, 0.0, 1, 1.0
37012, 114, 7, 1.0, 0, 0.0
37012, 114, 4, 0.0, 1, 1.0
37012, 114, 5, 0.0, 1, 1.0
37012, 114, 10, 0.0, 1, 1.0
37012, 114, 6, 0.0, 1, 1.0
37012, 114, 3, 0.0, 1, 1.0
37012, 114, 8, 0.0, 1, 1.0
37012, 114, 2, 0.0, 1, 1.0
37012, 114, 1, 0.0, 1, 1.0
37012, 129, 5, 0.0, 1, 1.0
37012, 118, 10, 0.0, 1, 1.0
37012, 104, 1, 0.0, 1, 1.0
37012, 172, 9, 0.0, 1, 1.0
37012, 172, 7, 0.0, 1, 1.0
37012, 172, 4, 1.0, 0, 0.0
37012, 172, 5, 1.0, 0, 0.0
37012, 172, 10, 0.0, 1, 1.0
37012, 172, 6, 1.0, 0, 0.0
37012, 172, 3, 0.0, 1, 1.0
37012, 172, 8, 1.0, 0, 0.0
37012, 172, 2, 1.0, 0, 0.0
37012, 172, 1, 1.0, 0, 0.0
37012, 91, 1, 0.0, 1, 1.0
37012, 178, 8, 0.0, 1, 1.0
37012, 198, 7, 0.0, 0, 0.0
37012, 12, 2, 0.0, 1, 1.0
37012, 27, 1, 0.0, 1, 1.0
37012, 166, 10, 1.0, 0, 0.0
37012, 166, 6, 0.0, 1, 1.0
37012, 182, 7, 0.0, 1, 1.0
37012, 161, 4, 0.0, 1, 1.0
37012, 166, 3, 0.0, 1, 1.0
37012, 14, 2, 0.0, 1, 1.0
37012, 166, 8, 0.0, 1, 1.0
37012, 166, 2, 0.0, 1, 1.0
37012, 166, 1, 0.0, 1, 1.0
37012, 44, 8, 0.0, 1, 1.0
37012, 10, 7, 0.0, 1, 1.0
37012, 118, 6, 0.0, 1, 1.0
37012, 143, 9, 0.0, 1, 1.0
37012, 143, 7, 0.0, 1, 1.0
37012, 143, 4, 0.0, 1, 1.0
37012, 143, 5, 0.0, 1, 1.0
37012, 143, 10, 0.0, 1, 1.0
37012, 178, 2, 0.0, 1, 1.0
37012, 143, 6, 0.0, 1, 1.0
37012, 80, 9, 0.0, 1, 1.0
37012, 143, 3, 0.0, 1, 1.0
37012, 106, 6, 0.0, 1, 1.0
37012, 182, 4, 0.0, 1, 1.0
37012, 143, 8, 0.0, 1, 1.0
37012, 12, 1, 0.0, 1, 1.0
