Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
15098, 94, 73, 0.0, 1, 88.0
15098, 94, 63, 0.0, 1, 76.0
15098, 94, 80, 0.0, 1, 94.0
15098, 94, 9, 0.0, 1, 94.0
15098, 19, 62, 0.0, 1, 75.0
15098, 94, 19, 0.0, 1, 75.0
15098, 94, 7, 0.0, 1, 83.0
15098, 94, 99, 0.0, 1, 85.0
15098, 94, 68, 0.0, 1, 92.0
15098, 94, 65, 0.0, 1, 79.0
15098, 94, 14, 0.0, 1, 85.0
15098, 89, 10, 0.0, 1, 100.0
15098, 89, 41, 1.0, 0, -10.0
15098, 89, 75, 1.0, 0, -10.0
15098, 89, 57, 1.0, 0, 100.0
15098, 89, 39, 0.0, 1, 99.0
15098, 89, 71, 1.0, 0, -11.0
15098, 94, 94, 0.0, 1, 72.0
15098, 89, 85, 1.0, 0, 100.0
15098, 89, 87, 0.0, 1, 100.0
15098, 89, 95, 1.0, 0, -10.0
15098, 89, 37, 1.0, 0, -10.0
15098, 89, 17, 1.0, 0, -10.0
15098, 89, 6, 1.0, 0, -10.0
15098, 89, 91, 1.0, 0, -10.0
15098, 89, 74, 1.0, 0, -10.0
15098, 89, 72, 1.0, 0, -10.0
15098, 89, 31, 1.0, 0, -10.0
15098, 89, 51, 1.0, 0, -10.0
15098, 89, 79, 1.0, 0, -10.0
15098, 89, 11, 1.0, 0, -10.0
15098, 89, 3, 1.0, 0, -16.0
15098, 89, 34, 1.0, 0, -10.0
15098, 89, 93, 1.0, 0, -10.0
15098, 89, 92, 1.0, 0, -11.0
15098, 89, 30, 1.0, 0, -10.0
15098, 89, 15, 1.0, 0, -12.0
15098, 89, 23, 1.0, 0, -10.0
15098, 89, 83, 1.0, 0, -10.0
15098, 89, 35, 0.0, 1, 100.0
15098, 89, 13, 1.0, 0, -10.0
15098, 89, 44, 1.0, 0, -10.0
15098, 89, 50, 1.0, 0, -10.0
15098, 89, 24, 1.0, 0, 89.0
15098, 89, 8, 1.0, 0, -12.0
15098, 89, 81, 1.0, 0, 90.0
15098, 89, 97, 1.0, 0, -10.0
15098, 89, 70, 1.0, 0, 96.0
15098, 89, 90, 1.0, 0, -10.0
15098, 89, 22, 1.0, 0, -11.0
15098, 94, 4, 0.0, 1, 76.0
15098, 89, 54, 1.0, 0, -10.0
15098, 89, 58, 0.0, 1, 100.0
15098, 89, 76, 1.0, 0, -10.0
15098, 89, 84, 1.0, 0, -10.0
15098, 19, 46, 1.0, 0, 80.0
15098, 89, 38, 1.0, 0, -10.0
15098, 89, 86, 0.0, 1, 92.0
15098, 89, 43, 1.0, 0, -10.0
15098, 89, 33, 1.0, 0, 97.0
15098, 89, 32, 1.0, 0, -10.0
15098, 89, 21, 1.0, 0, -10.0
15098, 89, 12, 0.0, 1, 97.0
15098, 89, 16, 1.0, 0, -10.0
15098, 89, 49, 0.0, 1, 100.0
15098, 89, 18, 1.0, 0, -12.0
15098, 89, 89, 1.0, 0, -10.0
15098, 89, 100, 1.0, 0, -10.0
15098, 89, 25, 1.0, 0, -10.0
15098, 89, 2, 0.0, 1, 100.0
15098, 89, 55, 1.0, 0, -10.0
15098, 89, 96, 1.0, 0, -10.0
15098, 89, 53, 1.0, 0, -10.0
15098, 89, 29, 1.0, 0, -10.0
15098, 89, 78, 1.0, 0, -10.0
15098, 89, 20, 1.0, 0, -10.0
15098, 89, 42, 1.0, 0, -11.0
15098, 89, 59, 1.0, 0, -10.0
15098, 94, 62, 0.0, 1, 91.0
15098, 89, 98, 1.0, 0, -10.0
15098, 89, 77, 1.0, 0, -10.0
15098, 89, 48, 1.0, 0, -10.0
15098, 89, 52, 1.0, 0, 94.0
15098, 89, 61, 0.0, 1, 100.0
15098, 89, 47, 1.0, 0, -10.0
15098, 89, 67, 1.0, 0, -10.0
15098, 89, 1, 1.0, 0, -11.0
15098, 89, 82, 0.0, 1, 99.0
15098, 89, 60, 1.0, 0, -10.0
15098, 89, 36, 0.0, 1, 96.0
15098, 94, 46, 0.0, 1, 93.0
15098, 94, 66, 0.0, 1, 91.0
15098, 99, 73, 1.0, 0, -41.0
15098, 94, 45, 0.0, 1, 89.0
15098, 94, 5, 0.0, 1, 90.0
15098, 99, 63, 1.0, 0, -10.0
15098, 94, 56, 0.0, 1, 79.0
15098, 94, 40, 0.0, 1, 92.0
15098, 19, 66, 0.0, 1, 82.0
15098, 99, 80, 1.0, 0, -18.0
15098, 94, 26, 0.0, 1, 73.0
15098, 94, 69, 0.0, 1, 87.0
15098, 99, 9, 1.0, 0, -13.0
15098, 94, 64, 0.0, 1, 80.0
15098, 94, 88, 0.0, 1, 99.0
15098, 99, 19, 1.0, 0, -11.0
15098, 27, 91, 1.0, 0, -20.0
15098, 94, 28, 0.0, 1, 91.0
15098, 94, 27, 0.0, 1, 94.0
15098, 99, 7, 1.0, 0, -10.0
15098, 94, 10, 0.0, 1, 95.0
15098, 19, 45, 0.0, 1, 77.0
15098, 94, 41, 0.0, 1, 95.0
15098, 99, 99, 1.0, 0, -10.0
15098, 44, 22, 1.0, 0, -10.0
15098, 94, 75, 0.0, 1, 82.0
15098, 44, 54, 1.0, 0, -10.0
