Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
54321, 36, 70, 1.0, 0, 73.0
54321, 36, 90, 1.0, 0, -10.0
54321, 36, 22, 1.0, 0, -14.0
54321, 36, 54, 1.0, 0, -10.0
54321, 36, 58, 1.0, 0, -17.0
54321, 36, 76, 0.0, 1, 97.0
54321, 36, 84, 1.0, 0, -15.0
54321, 36, 38, 1.0, 0, -10.0
54321, 36, 86, 1.0, 0, -10.0
54321, 36, 43, 1.0, 0, -10.0
54321, 36, 33, 1.0, 0, -25.0
54321, 36, 32, 1.0, 0, -10.0
54321, 36, 21, 0.0, 1, 77.0
54321, 36, 12, 1.0, 0, -22.0
54321, 36, 16, 1.0, 0, -23.0
54321, 36, 49, 1.0, 0, -10.0
54321, 36, 18, 1.0, 0, -10.0
54321, 36, 89, 0.0, 1, 84.0
54321, 36, 100, 1.0, 0, -12.0
54321, 36, 25, 1.0, 0, -10.0
54321, 36, 2, 0.0, 1, 85.0
54321, 36, 55, 1.0, 0, -22.0
54321, 91, 12, 1.0, 0, -16.0
54321, 36, 96, 1.0, 0, -19.0
54321, 91, 16, 1.0, 0, -13.0
54321, 91, 49, 1.0, 0, -10.0
54321, 36, 53, 1.0, 0, -15.0
54321, 91, 18, 1.0, 0, -10.0
54321, 36, 29, 1.0, 0, -44.0
54321, 91, 89, 1.0, 0, -15.0
54321, 36, 78, 0.0, 1, 94.0
54321, 91, 100, 1.0, 0, -10.0
54321, 36, 20, 1.0, 0, -18.0
54321, 91, 25, 1.0, 0, -10.0
54321, 36, 42, 1.0, 0, -22.0
54321, 91, 2, 1.0, 0, -10.0
54321, 91, 55, 1.0, 0, -40.0
54321, 36, 59, 1.0, 0, -11.0
54321, 91, 96, 1.0, 0, -14.0
54321, 36, 98, 1.0, 0, -10.0
54321, 91, 53, 1.0, 0, -10.0
54321, 36, 77, 1.0, 0, -10.0
54321, 91, 29, 1.0, 0, -10.0
54321, 91, 78, 0.0, 1, 95.0
54321, 36, 48, 1.0, 0, -26.0
54321, 91, 20, 1.0, 0, -27.0
54321, 36, 52, 1.0, 0, -10.0
54321, 99, 20, 1.0, 0, -20.0
54321, 91, 42, 0.0, 1, 78.0
54321, 36, 61, 1.0, 0, -12.0
54321, 32, 36, 1.0, 0, -10.0
54321, 91, 59, 1.0, 0, -20.0
54321, 36, 47, 1.0, 0, -14.0
54321, 85, 73, 1.0, 0, -11.0
54321, 85, 63, 1.0, 0, -10.0
54321, 85, 80, 1.0, 0, -10.0
54321, 91, 98, 1.0, 0, -10.0
54321, 36, 67, 1.0, 0, -23.0
54321, 21, 10, 0.0, 1, 82.0
54321, 85, 9, 1.0, 0, -13.0
54321, 25, 62, 0.0, 1, 85.0
54321, 85, 19, 0.0, 1, 100.0
54321, 85, 7, 1.0, 0, -10.0
54321, 91, 77, 1.0, 0, -10.0
54321, 85, 99, 1.0, 0, -10.0
54321, 36, 1, 1.0, 0, -12.0
54321, 85, 68, 1.0, 0, -10.0
54321, 21, 41, 0.0, 1, 81.0
54321, 85, 65, 1.0, 0, 95.0
54321, 91, 48, 1.0, 0, -31.0
54321, 36, 82, 1.0, 0, 78.0
54321, 85, 14, 1.0, 0, -10.0
54321, 85, 94, 1.0, 0, -21.0
54321, 91, 52, 1.0, 0, -10.0
54321, 85, 4, 1.0, 0, -10.0
54321, 36, 60, 1.0, 0, -10.0
54321, 21, 75, 1.0, 0, -19.0
54321, 85, 62, 1.0, 0, -10.0
