Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
789, 94, 73, 1.0, 0, 0.0
789, 94, 63, 1.0, 0, 0.0
789, 94, 80, 1.0, 0, 0.0
789, 94, 9, 1.0, 0, 0.0
789, 94, 19, 1.0, 0, 0.0
789, 94, 7, 1.0, 0, 0.0
789, 94, 99, 1.0, 0, 0.0
789, 94, 68, 1.0, 0, 0.0
789, 94, 65, 1.0, 0, 0.0
789, 94, 14, 1.0, 0, 0.0
789, 94, 94, 1.0, 0, 0.0
789, 19, 46, 1.0, 0, 0.0
789, 94, 4, 1.0, 0, 0.0
789, 19, 66, 1.0, 0, 0.0
789, 94, 62, 1.0, 0, 0.0
789, 19, 45, 1.0, 0, 0.0
789, 94, 46, 1.0, 0, 0.0
789, 94, 66, 1.0, 0, 0.0
789, 89, 10, 0.0, 1, 1.0
789, 19, 5, 1.0, 0, 0.0
789, 94, 45, 1.0, 0, 0.0
789, 89, 41, 0.0, 1, 1.0
789, 19, 56, 1.0, 0, 0.0
789, 94, 5, 1.0, 0, 0.0
789, 89, 75, 1.0, 0, 0.0
789, 19, 40, 1.0, 0, 0.0
789, 94, 56, 1.0, 0, 0.0
789, 89, 57, 0.0, 1, 1.0
789, 19, 26, 1.0, 0, 0.0
789, 89, 39, 0.0, 1, 1.0
789, 94, 40, 1.0, 0, 0.0
789, 19, 69, 1.0, 0, 0.0
789, 94, 26, 1.0, 0, 0.0
789, 89, 71, 0.0, 1, 1.0
789, 94, 69, 1.0, 0, 0.0
789, 89, 85, 0.0, 1, 1.0
789, 19, 64, 1.0, 0, 0.0
789, 94, 64, 1.0, 0, 0.0
789, 89, 87, 0.0, 1, 1.0
789, 19, 88, 1.0, 0, 0.0
789, 94, 88, 1.0, 0, 0.0
789, 89, 95, 1.0, 0, 0.0
789, 19, 28, 1.0, 0, 0.0
789, 94, 28, 1.0, 0, 0.0
789, 89, 37, 0.0, 1, 1.0
789, 94, 27, 1.0, 0, 0.0
789, 19, 27, 1.0, 0, 0.0
789, 89, 17, 0.0, 1, 1.0
789, 94, 10, 1.0, 0, 0.0
789, 19, 10, 1.0, 0, 1.0
789, 94, 41, 1.0, 0, 0.0
789, 89, 6, 1.0, 0, 0.0
789, 19, 41, 1.0, 0, 0.0
789, 94, 75, 1.0, 0, 0.0
789, 89, 91, 0.0, 1, 1.0
789, 19, 75, 1.0, 0, 0.0
789, 94, 57, 1.0, 0, 0.0
789, 89, 74, 0.0, 1, 1.0
789, 94, 39, 1.0, 0, 0.0
789, 19, 57, 1.0, 0, 0.0
789, 89, 72, 0.0, 1, 1.0
789, 27, 74, 1.0, 0, 0.0
789, 27, 72, 1.0, 0, 1.0
789, 27, 31, 1.0, 0, 0.0
789, 27, 51, 1.0, 0, 0.0
789, 27, 79, 1.0, 0, 0.0
789, 27, 11, 1.0, 0, 0.0
789, 27, 3, 1.0, 0, 0.0
789, 27, 34, 1.0, 0, 0.0
789, 27, 93, 1.0, 0, 0.0
789, 27, 92, 1.0, 0, 0.0
789, 27, 30, 1.0, 0, 0.0
789, 27, 15, 1.0, 0, 0.0
789, 27, 23, 1.0, 0, 0.0
789, 94, 71, 1.0, 0, 0.0
789, 27, 83, 1.0, 0, 0.0
789, 27, 35, 1.0, 0, 0.0
789, 27, 13, 1.0, 0, 0.0
789, 27, 44, 1.0, 0, 0.0
789, 27, 50, 1.0, 0, 1.0
789, 27, 24, 1.0, 0, 0.0
789, 27, 8, 1.0, 0, 0.0
789, 27, 81, 1.0, 0, 0.0
789, 27, 97, 1.0, 0, 0.0
789, 27, 70, 1.0, 0, 1.0
789, 27, 90, 0.0, 1, 1.0
789, 89, 31, 0.0, 1, 1.0
789, 27, 22, 0.0, 1, 1.0
789, 19, 39, 1.0, 0, 1.0
789, 27, 54, 1.0, 0, 0.0
789, 27, 58, 1.0, 0, 0.0
789, 27, 76, 1.0, 0, 0.0
789, 27, 84, 1.0, 0, 0.0
789, 27, 38, 1.0, 0, 0.0
789, 27, 86, 1.0, 0, 0.0
789, 27, 43, 1.0, 0, 0.0
789, 27, 33, 1.0, 0, 0.0
789, 27, 32, 1.0, 0, 0.0
789, 27, 21, 1.0, 0, 0.0
789, 27, 12, 1.0, 0, 0.0
789, 27, 16, 1.0, 0, 0.0
789, 27, 49, 1.0, 0, 0.0
789, 27, 18, 1.0, 0, 0.0
789, 27, 89, 1.0, 0, 0.0
789, 94, 85, 1.0, 0, 0.0
789, 27, 100, 1.0, 0, 0.0
789, 27, 25, 1.0, 0, 0.0
789, 27, 2, 1.0, 0, 0.0
789, 27, 55, 1.0, 0, 0.0
789, 27, 96, 1.0, 0, 1.0
789, 27, 53, 1.0, 0, 0.0
789, 27, 29, 1.0, 0, 0.0
789, 27, 78, 1.0, 0, 0.0
789, 27, 20, 1.0, 0, 0.0
789, 27, 42, 1.0, 0, 0.0
789, 27, 59, 0.0, 1, 1.0
789, 27, 98, 1.0, 0, 0.0
789, 27, 77, 1.0, 0, 0.0
789, 27, 48, 1.0, 0, 0.0
789, 89, 51, 0.0, 1, 1.0
789, 27, 52, 1.0, 0, 0.0
789, 27, 61, 1.0, 0, 0.0
789, 27, 47, 0.0, 1, 1.0
789, 19, 71, 1.0, 0, 0.0
789, 27, 67, 1.0, 0, 0.0
789, 27, 1, 1.0, 0, 0.0
789, 27, 82, 1.0, 0, 0.0
789, 27, 60, 1.0, 0, 0.0
789, 27, 36, 1.0, 0, 0.0
789, 94, 87, 1.0, 0, 0.0
789, 89, 79, 0.0, 1, 1.0
789, 19, 85, 0.0, 1, 1.0
789, 94, 95, 1.0, 0, 0.0
789, 89, 11, 1.0, 0, 0.0
789, 32, 73, 1.0, 0, 0.0
789, 19, 87, 1.0, 0, 0.0
789, 94, 37, 1.0, 0, 0.0
789, 89, 3, 0.0, 1, 1.0
789, 94, 17, 1.0, 0, 0.0
789, 19, 95, 1.0, 0, 0.0
789, 89, 34, 0.0, 1, 1.0
789, 94, 6, 1.0, 0, 0.0
789, 19, 37, 1.0, 0, 0.0
789, 89, 93, 0.0, 1, 1.0
789, 94, 91, 1.0, 0, 0.0
789, 89, 92, 1.0, 0, 0.0
789, 19, 17, 1.0, 0, 0.0
789, 94, 74, 1.0, 0, 0.0
789, 32, 63, 1.0, 0, 0.0
789, 94, 72, 1.0, 0, 0.0
789, 89, 30, 0.0, 1, 1.0
789, 19, 6, 1.0, 0, 0.0
789, 94, 31, 1.0, 0, 0.0
789, 89, 15, 0.0, 1, 1.0
789, 19, 91, 0.0, 1, 1.0
789, 94, 51, 1.0, 0, 0.0
789, 89, 23, 0.0, 1, 1.0
789, 19, 74, 1.0, 0, 0.0
789, 94, 79, 1.0, 0, 0.0
789, 32, 80, 1.0, 0, 0.0
789, 89, 83, 0.0, 1, 1.0
789, 94, 11, 1.0, 0, 0.0
789, 96, 23, 1.0, 0, 0.0
789, 19, 72, 0.0, 1, 1.0
789, 89, 35, 0.0, 1, 1.0
789, 94, 3, 1.0, 0, 0.0
789, 19, 31, 1.0, 0, 0.0
789, 89, 13, 1.0, 0, 0.0
789, 94, 34, 1.0, 0, 0.0
789, 19, 51, 1.0, 0, 0.0
789, 89, 44, 0.0, 1, 1.0
789, 94, 93, 1.0, 0, 0.0
789, 32, 9, 1.0, 0, 1.0
789, 89, 50, 0.0, 1, 1.0
789, 94, 92, 1.0, 0, 0.0
789, 19, 79, 0.0, 1, 1.0
789, 94, 30, 1.0, 0, 0.0
789, 89, 24, 0.0, 1, 1.0
789, 19, 11, 1.0, 0, 0.0
789, 94, 15, 1.0, 0, 0.0
789, 19, 3, 1.0, 0, 0.0
789, 89, 8, 0.0, 1, 1.0
789, 94, 23, 1.0, 0, 0.0
789, 32, 19, 1.0, 0, 0.0
789, 19, 34, 1.0, 0, 0.0
789, 94, 83, 1.0, 0, 0.0
789, 89, 81, 0.0, 1, 1.0
789, 19, 93, 1.0, 0, 0.0
789, 94, 35, 1.0, 0, 0.0
789, 89, 97, 0.0, 1, 1.0
789, 19, 92, 1.0, 0, 0.0
789, 94, 13, 1.0, 0, 0.0
789, 89, 70, 0.0, 1, 1.0
789, 94, 44, 1.0, 0, 0.0
789, 19, 30, 1.0, 0, 0.0
789, 32, 7, 1.0, 0, 0.0
789, 94, 50, 1.0, 0, 0.0
789, 89, 90, 0.0, 1, 1.0
789, 19, 15, 1.0, 0, 0.0
789, 94, 24, 1.0, 0, 0.0
789, 96, 83, 1.0, 0, 0.0
789, 89, 22, 0.0, 1, 1.0
789, 94, 8, 1.0, 0, 0.0
789, 19, 23, 0.0, 1, 1.0
789, 89, 54, 0.0, 1, 1.0
789, 94, 81, 1.0, 0, 0.0
789, 19, 83, 1.0, 0, 0.0
789, 89, 58, 0.0, 1, 1.0
789, 94, 97, 1.0, 0, 0.0
789, 32, 99, 1.0, 0, 0.0
789, 89, 76, 0.0, 1, 1.0
789, 19, 35, 1.0, 0, 0.0
789, 94, 70, 1.0, 0, 0.0
789, 89, 84, 0.0, 1, 1.0
789, 19, 13, 1.0, 0, 0.0
789, 94, 90, 1.0, 0, 0.0
789, 89, 38, 0.0, 1, 1.0
789, 94, 22, 1.0, 0, 0.0
789, 19, 44, 0.0, 1, 1.0
789, 89, 86, 0.0, 1, 1.0
789, 94, 54, 1.0, 0, 0.0
789, 32, 68, 1.0, 0, 0.0
789, 19, 50, 0.0, 1, 1.0
789, 89, 43, 0.0, 1, 1.0
789, 94, 58, 1.0, 0, 0.0
789, 19, 24, 1.0, 0, 0.0
789, 89, 33, 1.0, 0, 0.0
789, 94, 76, 1.0, 0, 0.0
789, 19, 8, 1.0, 0, 0.0
789, 76, 49, 1.0, 0, 0.0
789, 94, 84, 1.0, 0, 0.0
789, 89, 32, 0.0, 1, 1.0
789, 30, 59, 0.0, 1, 1.0
789, 19, 81, 1.0, 0, 0.0
789, 32, 65, 1.0, 0, 0.0
789, 94, 38, 1.0, 0, 0.0
789, 30, 98, 1.0, 0, 0.0
789, 89, 21, 0.0, 1, 1.0
789, 30, 77, 1.0, 0, 0.0
789, 76, 18, 1.0, 0, 0.0
789, 30, 48, 1.0, 0, 0.0
789, 19, 97, 1.0, 0, 0.0
789, 94, 86, 1.0, 0, 0.0
789, 89, 12, 0.0, 1, 1.0
789, 30, 52, 1.0, 0, 0.0
789, 30, 61, 1.0, 0, 0.0
789, 94, 43, 1.0, 0, 0.0
789, 19, 70, 0.0, 1, 1.0
789, 30, 47, 1.0, 0, 0.0
789, 89, 16, 0.0, 1, 1.0
789, 76, 89, 1.0, 0, 0.0
789, 30, 67, 1.0, 0, 0.0
789, 94, 33, 1.0, 0, 0.0
