Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
8967, 36, 52, 1.0, 0, 0.0
8967, 36, 61, 1.0, 0, 0.0
8967, 36, 47, 1.0, 0, 0.0
8967, 36, 67, 1.0, 0, 0.0
8967, 36, 1, 1.0, 0, 0.0
8967, 36, 82, 1.0, 0, 0.0
8967, 36, 60, 1.0, 0, 0.0
8967, 36, 36, 1.0, 0, 0.0
8967, 48, 40, 0.0, 1, 1.0
8967, 48, 26, 0.0, 1, 1.0
8967, 48, 69, 0.0, 1, 1.0
8967, 48, 64, 1.0, 0, 1.0
8967, 48, 88, 1.0, 0, 1.0
8967, 48, 28, 0.0, 1, 1.0
8967, 48, 27, 1.0, 0, 0.0
8967, 48, 10, 1.0, 0, 0.0
8967, 48, 41, 1.0, 0, 0.0
8967, 48, 75, 0.0, 1, 1.0
8967, 48, 57, 0.0, 1, 1.0
8967, 48, 39, 1.0, 0, 0.0
8967, 48, 71, 0.0, 1, 1.0
8967, 48, 85, 0.0, 1, 1.0
8967, 48, 87, 1.0, 0, 0.0
8967, 48, 95, 0.0, 1, 1.0
8967, 48, 37, 1.0, 0, 0.0
8967, 48, 17, 1.0, 0, 0.0
8967, 48, 6, 1.0, 0, 0.0
8967, 48, 91, 0.0, 1, 1.0
8967, 48, 74, 1.0, 0, 0.0
8967, 48, 72, 0.0, 1, 1.0
8967, 48, 31, 0.0, 1, 1.0
8967, 48, 51, 1.0, 0, 0.0
8967, 48, 79, 0.0, 1, 1.0
8967, 48, 11, 0.0, 1, 1.0
8967, 48, 3, 0.0, 1, 1.0
8967, 48, 34, 0.0, 1, 1.0
8967, 48, 93, 1.0, 0, 0.0
8967, 48, 92, 0.0, 1, 1.0
8967, 48, 30, 0.0, 1, 1.0
8967, 48, 15, 0.0, 1, 1.0
8967, 48, 23, 1.0, 0, 1.0
8967, 48, 83, 0.0, 1, 1.0
8967, 48, 35, 0.0, 1, 1.0
8967, 48, 13, 1.0, 0, 0.0
8967, 48, 44, 1.0, 0, 0.0
8967, 48, 50, 1.0, 0, 0.0
8967, 48, 24, 1.0, 0, 0.0
8967, 48, 8, 1.0, 0, 1.0
8967, 48, 81, 0.0, 1, 1.0
8967, 48, 97, 0.0, 1, 1.0
8967, 48, 70, 1.0, 0, 0.0
8967, 48, 90, 1.0, 0, 0.0
8967, 48, 22, 0.0, 1, 1.0
8967, 48, 54, 0.0, 1, 1.0
8967, 48, 58, 0.0, 1, 1.0
8967, 48, 76, 1.0, 0, 0.0
8967, 48, 84, 0.0, 1, 1.0
8967, 48, 38, 1.0, 0, 0.0
8967, 48, 86, 1.0, 0, 0.0
8967, 48, 43, 1.0, 0, 0.0
8967, 48, 33, 0.0, 1, 1.0
8967, 48, 32, 1.0, 0, 0.0
8967, 48, 21, 0.0, 1, 1.0
8967, 48, 12, 0.0, 1, 1.0
8967, 48, 16, 1.0, 0, 0.0
8967, 48, 49, 0.0, 1, 1.0
8967, 48, 18, 0.0, 1, 1.0
8967, 48, 89, 0.0, 1, 1.0
8967, 48, 100, 1.0, 0, 0.0
8967, 48, 25, 0.0, 1, 1.0
8967, 48, 2, 0.0, 1, 1.0
8967, 48, 55, 1.0, 0, 0.0
8967, 48, 96, 1.0, 0, 0.0
8967, 48, 53, 1.0, 0, 0.0
8967, 48, 29, 1.0, 0, 0.0
8967, 48, 78, 0.0, 1, 1.0
8967, 48, 20, 1.0, 0, 0.0
8967, 48, 42, 0.0, 1, 1.0
8967, 48, 59, 1.0, 0, 0.0
8967, 48, 98, 1.0, 0, 0.0
8967, 48, 77, 0.0, 1, 1.0
8967, 48, 48, 0.0, 1, 1.0
8967, 48, 52, 1.0, 0, 0.0
8967, 48, 61, 0.0, 1, 1.0
8967, 48, 47, 1.0, 0, 0.0
8967, 48, 67, 1.0, 0, 0.0
8967, 48, 1, 1.0, 0, 0.0
