Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
61987, 36, 2, 0.0, 1, 1.0
61987, 36, 1, 0.0, 1, 1.0
61987, 9, 5, 0.0, 1, 1.0
61987, 42, 3, 0.0, 1, 1.0
61987, 9, 3, 0.0, 1, 1.0
61987, 24, 3, 0.0, 1, 1.0
61987, 9, 2, 0.0, 1, 1.0
61987, 74, 3, 0.0, 1, 1.0
61987, 26, 1, 0.0, 1, 1.0
61987, 9, 1, 0.0, 1, 1.0
61987, 22, 5, 0.0, 1, 1.0
61987, 24, 2, 0.0, 1, 1.0
61987, 42, 2, 1.0, 0, 0.0
61987, 64, 4, 0.0, 1, 1.0
61987, 74, 2, 0.0, 1, 1.0
61987, 24, 1, 0.0, 1, 1.0
61987, 54, 2, 0.0, 1, 1.0
61987, 85, 5, 0.0, 1, 1.0
61987, 58, 1, 0.0, 1, 1.0
61987, 42, 1, 0.0, 1, 1.0
61987, 74, 1, 0.0, 1, 1.0
61987, 3, 2, 0.0, 1, 1.0
61987, 15, 3, 0.0, 1, 1.0
61987, 78, 4, 0.0, 1, 1.0
61987, 85, 3, 0.0, 1, 1.0
61987, 22, 3, 0.0, 1, 1.0
61987, 69, 4, 0.0, 1, 1.0
61987, 21, 3, 0.0, 1, 1.0
61987, 64, 5, 0.0, 1, 1.0
61987, 85, 2, 0.0, 1, 1.0
61987, 84, 4, 0.0, 1, 1.0
61987, 3, 1, 0.0, 1, 1.0
61987, 25, 5, 0.0, 1, 1.0
61987, 85, 1, 0.0, 1, 1.0
61987, 18, 4, 0.0, 1, 1.0
61987, 22, 2, 0.0, 1, 1.0
61987, 54, 1, 0.0, 1, 1.0
61987, 64, 3, 0.0, 1, 1.0
61987, 69, 5, 0.0, 1, 1.0
61987, 15, 2, 0.0, 1, 1.0
61987, 22, 1, 0.0, 1, 1.0
61987, 30, 4, 0.0, 1, 1.0
61987, 100, 1, 0.0, 1, 1.0
61987, 64, 2, 0.0, 1, 1.0
61987, 69, 3, 0.0, 1, 1.0
61987, 78, 5, 0.0, 1, 1.0
61987, 21, 2, 0.0, 1, 1.0
61987, 60, 4, 0.0, 1, 1.0
61987, 15, 1, 0.0, 1, 1.0
61987, 96, 4, 0.0, 1, 1.0
61987, 64, 1, 0.0, 1, 1.0
61987, 69, 2, 0.0, 1, 1.0
