Seed, Env#, Task#, #Lava, #AgentToGoal, #Reward
8967, 94, 4, 0.0, 1, 86.0
8967, 94, 5, 0.0, 1, 82.0
8967, 94, 3, 0.0, 1, 74.0
8967, 19, 5, 0.0, 1, 73.0
8967, 94, 2, 0.0, 1, 85.0
8967, 94, 1, 0.0, 1, 86.0
8967, 36, 4, 0.0, 1, 95.0
8967, 36, 5, 1.0, 0, -10.0
8967, 36, 3, 0.0, 1, 95.0
8967, 36, 2, 1.0, 0, 94.0
8967, 36, 1, 1.0, 0, 93.0
8967, 19, 3, 0.0, 1, 64.0
8967, 44, 1, 0.0, 1, 83.0
8967, 65, 4, 0.0, 1, 94.0
8967, 65, 5, 1.0, 0, -10.0
8967, 65, 3, 0.0, 1, 93.0
8967, 65, 2, 0.0, 1, 92.0
8967, 65, 1, 1.0, 0, 94.0
8967, 19, 2, 0.0, 1, 78.0
8967, 96, 2, 0.0, 1, 60.0
8967, 88, 4, 0.0, 1, 86.0
8967, 19, 1, 0.0, 1, 82.0
8967, 88, 5, 0.0, 1, 81.0
8967, 78, 4, 0.0, 1, 76.0
8967, 88, 3, 0.0, 1, 73.0
8967, 88, 2, 0.0, 1, 83.0
8967, 21, 4, 0.0, 1, 76.0
8967, 75, 5, 0.0, 1, 78.0
8967, 88, 1, 0.0, 1, 87.0
8967, 75, 3, 0.0, 1, 70.0
8967, 3, 4, 0.0, 1, 83.0
8967, 86, 2, 1.0, 0, -10.0
8967, 86, 1, 1.0, 0, 94.0
8967, 75, 2, 0.0, 1, 82.0
8967, 78, 5, 0.0, 1, 64.0
8967, 75, 1, 0.0, 1, 84.0
8967, 3, 5, 0.0, 1, 75.0
8967, 8, 3, 0.0, 1, 48.0
8967, 21, 5, 0.0, 1, 64.0
8967, 29, 1, 0.0, 1, 76.0
8967, 3, 3, 0.0, 1, 67.0
8967, 97, 4, 0.0, 1, 76.0
8967, 34, 4, 0.0, 1, 83.0
8967, 3, 2, 0.0, 1, 80.0
8967, 96, 1, 0.0, 1, 65.0
8967, 34, 5, 0.0, 1, 75.0
8967, 3, 1, 0.0, 1, 82.0
8967, 56, 3, 0.0, 1, 89.0
8967, 56, 2, 0.0, 1, 91.0
8967, 56, 1, 0.0, 1, 93.0
8967, 8, 2, 0.0, 1, 72.0
8967, 78, 3, 0.0, 1, 49.0
8967, 20, 3, 0.0, 1, 80.0
8967, 98, 4, 0.0, 1, 86.0
8967, 20, 2, 0.0, 1, 87.0
8967, 20, 1, 0.0, 1, 89.0
8967, 34, 3, 0.0, 1, 67.0
8967, 98, 5, 0.0, 1, 82.0
8967, 21, 3, 0.0, 1, 49.0
8967, 39, 5, 0.0, 1, 67.0
8967, 98, 3, 0.0, 1, 74.0
8967, 97, 5, 0.0, 1, 64.0
8967, 98, 2, 0.0, 1, 85.0
8967, 34, 2, 0.0, 1, 80.0
8967, 46, 4, 0.0, 1, 81.0
8967, 98, 1, 0.0, 1, 86.0
8967, 18, 1, 0.0, 1, 66.0
8967, 34, 1, 0.0, 1, 82.0
8967, 8, 1, 0.0, 1, 75.0
8967, 42, 4, 0.0, 1, 88.0
8967, 78, 2, 0.0, 1, 71.0
8967, 42, 5, 0.0, 1, 84.0
8967, 46, 5, 0.0, 1, 74.0
8967, 42, 3, 0.0, 1, 79.0
8967, 39, 3, 0.0, 1, 54.0
8967, 21, 2, 0.0, 1, 71.0
8967, 42, 2, 0.0, 1, 87.0
8967, 30, 4, 0.0, 1, 72.0
8967, 42, 1, 0.0, 1, 89.0
8967, 91, 4, 0.0, 1, 64.0
8967, 46, 3, 0.0, 1, 62.0
8967, 97, 3, 0.0, 1, 49.0
8967, 78, 1, 0.0, 1, 75.0
8967, 89, 3, 0.0, 0, -90.0
8967, 69, 4, 0.0, 1, 80.0
8967, 39, 2, 0.0, 1, 73.0
8967, 46, 2, 0.0, 1, 78.0
8967, 21, 1, 0.0, 1, 75.0
8967, 76, 4, 0.0, 1, 88.0
8967, 19, 4, 0.0, 1, 82.0
8967, 76, 5, 0.0, 1, 84.0
8967, 66, 5, 0.0, 1, 90.0
8967, 76, 3, 0.0, 1, 79.0
8967, 46, 1, 0.0, 1, 81.0
8967, 66, 3, 0.0, 1, 90.0
8967, 66, 2, 0.0, 1, 92.0
8967, 66, 1, 0.0, 1, 94.0
8967, 76, 2, 0.0, 1, 87.0
8967, 69, 5, 0.0, 1, 70.0
8967, 26, 4, 0.0, 1, 87.0
8967, 76, 1, 0.0, 1, 89.0
8967, 26, 5, 0.0, 1, 84.0
8967, 62, 4, 0.0, 1, 71.0
8967, 39, 1, 0.0, 1, 77.0
8967, 97, 2, 0.0, 1, 71.0
8967, 77, 5, 0.0, 1, 37.0
8967, 16, 4, 0.0, 1, 64.0
8967, 30, 5, 0.0, 1, 60.0
8967, 26, 3, 0.0, 1, 78.0
8967, 27, 2, 0.0, 1, 47.0
8967, 95, 2, 0.0, 1, 78.0
8967, 26, 2, 0.0, 1, 86.0
8967, 26, 1, 0.0, 1, 87.0
8967, 69, 3, 0.0, 1, 60.0
8967, 95, 1, 0.0, 1, 81.0
8967, 11, 1, 0.0, 1, 68.0
8967, 1, 4, 0.0, 1, 74.0
8967, 97, 1, 0.0, 1, 75.0
8967, 69, 2, 0.0, 1, 77.0
8967, 72, 1, 0.0, 1, 66.0
8967, 59, 4, 0.0, 1, 74.0
8967, 12, 2, 0.0, 1, 52.0
8967, 69, 1, 0.0, 1, 79.0
8967, 62, 5, 0.0, 1, 57.0
8967, 30, 3, 0.0, 1, 45.0
8967, 53, 5, 0.0, 1, 62.0
8967, 1, 5, 0.0, 1, 62.0
8967, 59, 5, 0.0, 1, 61.0
8967, 84, 4, 0.0, 1, 67.0
8967, 33, 4, 0.0, 1, 68.0
